id,eng__001,eng__002,eng__003,eng__004,afr__001,afr__002,afr__003,afr__004,afr__005,zul__001,zul__002,zul__003,xho__001,xho__002,xho__003,xho__004,ssw__001,ssw__002,ssw__003,ssw__004,ssw__005,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,nso__001,nso__002,nso__003,sot__001,sot__002,sot__003,sot__004,ven__001,ven__002,ven__003,ven__004,tso__001,tso__002,tso__003,tso__004
dsac_multi_hum_00068,collateral,,,,kollateraal,aanvullende sekuriteit,,,,isibambiso,,,isibambiso,,,,sibambiso,,,,,isibambiso,,,,tlamothoto,,,kholatherale,tšhireletšo ka dithoto,,setshwarisi,kholatherale,,,tshifarelamulandu,,,,xikhomelanandzu,,,
dsac_multi_hum_00069,command economy,,,,bevelsekonomie,sentaalbeheerde ekonomie,,,,umnotho olawulwa nguhulumeni,,,uqoqosho olulawulwa ngurhulumente,,,,umnotfo lolawulwa nguhulumende,,,,,umnotho olawulwa ngurhulumende,,,,ikonomipuso,,,ikonomi ya go laolwa ke mmušo,,,moruo o laolwang ke puso,,,,ikonomi tetshelwa,,,,ikhonomi ya ndzeriso,,,
dsac_multi_hum_00070,commerce <n.>,,,,handel,,,,,uhwebo,,,urhwebo,,,,kutsengiselana,kuhwebelana,,,,ukurhweba,ukuthengiselana,,,kgwebo,,,kgwebo,,,kgwebo,,,,vhuvhambadzi,makwevho,,,nxaviselano,bindzu,nxavonxaviso,
dsac_multi_hum_00071,commercial agriculture {economics},,,,kommersiële landbou,,,,,ezolimo zokuhweba,,,urhwebo ngezolimo,,,,kuhweba ngetekulima,,,,,ukulimela ukuthengisa,,,,temothuokgwebo,,,temokgwebo,kgwebo ya tša bolemi,,saense ya bohwai kgwebong,,,,vhulimivhufuwi ha vhuvhambadzi,vhulimivhufuwi ha makwevho,,,vurimi bya swa bindzu,,,
dsac_multi_hum_00072,commercial airline,,,,kommersiële lugdiens,kommersiële lugredery,,,,ibhizinisi lezindiza,,,urhwebo lwezophapho,,,,kuhweba ngetindizamshini,,,,,ibhizinisi yeemphaphamtjhini,ibhizinisi yaboflayi,,,phofisikgwebo,tirelophofokgwebo,,tirelofofane ya kgwebo,kgwebo ya ditirelo tša difofane,,kgwebo ka difofane,,,,vhufhufhi ha vhuvhambadzi,vhufhufhi ha makwevho,,,vuhahisi bya swa bindzu,,,
dsac_multi_hum_00073,commercial bank,,,,kommersiële bank,handelsbank,,,,ibhange lokuhweba,,,ibhanki yezoshishino,ibhanki yezorhwebo,,,libhange lekuhwebelana,,,,,ibhanga,,,,bankakgwebo,polokelokgwebo,,panka ya kgwebo,,,banka ya kgwebo,,,,bannga ya vhuvhambadzi,,,,bangi ya swa bindzu,,,
dsac_multi_hum_00074,commercial farming,,,,kommersiële boerdery,,,,,ukulima nokufuyela ukuhweba,,,urhwebo ngokulima nokufuya,,,,ibhizinisi yetekulima,kuhweba ngetekulima,,,,ukulima nokufuyela ukuthengisa,,,,temothuokgwebo,,,bolemikgwebo,kgwebo ka tša bolemi,,kgwebo ya bohwai,,,,vhulimivhufuwi ha vhuvhambadzi,vhulimivhufuwi ha makwevho,,,vurimivufuwi bya swa bindzu,,,
dsac_multi_hum_00075,commodity,,,,kommoditeit,,,,,impahla yokuhweba,umkhiqizo,,imveliso ekrwada,impahla yorhwebo,,,umkhicito,imphahla yekuhwebelana,imphahla yekutsengiselana,,,ipahla yokusetjenziswa nokukhiqiza,,,,setlhagiswa,kuno,,setšwatemong,thoto,,thepa,,,,tshivhambadzwathanzi,tshibveledzwathanzi,,,xixavisiwa,,,
dsac_multi_hum_00076,communal ownership,,,,gemeenskaplike eienaarskap,,,,,okulawulwa umphakathi,ubunikazi obuhlanganyelwe,,okuphantsi kolawulo lwabahlali,,,,bunikati bemmangotsite,,,,,okulawulwa mphakathi,,,,kopanelobong,-baagi,,thoto ya setšhaba,,,thepa ya kopanelo,,,,vhuṋe ha vhoṱhe,,,,vun’wininhlanganelo,vun’winixinghwana,,
dsac_multi_hum_00077,community savings {e.g. plan, organisation},,,,gemeenskapspaarplan,,,,,ukongela umphakathi,,,ukuzongela koluntu,,,,konga kwemmango,,,,,isikhwama sabadingako,isikhwama sabatlhagileko,,,dipolokwa tsa baagi,,,polokelokimollo ya setšhaba,,,letlole la setjhaba,,,,mbulungelo ya vhapo,,,,malimbekisonhlanganelo,malimbekisoxinghwana,,
dsac_multi_hum_00078,comparative advantage,,,,vergelykende voordeel,komparatiewe voordeel,,,,ukukhiqiza ngokonga,ukukhiqiza ngezindleko ezincani,,ukuvelisa ngokonga,,,,lukhicitokonga,,,,,ikghono lokukhiqiza ngcono,,,,kgaisanothekotlase,,,bokgoni bja go tšweletša go phala bangwe,,,tlhahiso e ipabolang,tlhahiso e hlodisang,,,vhubveledzi nga zwishumiswa zwiṱuku,,,,xipfunompimanyisontsengo,,,
dsac_multi_hum_00079,compensation,,,,vergoeding,,,,,isinxephezelo,,,imbuyekezo,imbuyiselo,,,sincesitelo,sikhaliso,sililiso,,,isililiso,,,,phimolakeledi,tlhatswadiatla,,putseletšo,kimollo,,ditlhapiso,,,,ndiliso,,,,ndziriso,,,
dsac_multi_hum_00080,compound interest,,,,saamgestelde rente,,,,,inzalo enzalweni,,,inzala ephindeneyo,,,,intalosamba,intalo lehlanganiswe nesamba,,,,amakonyana abuyelelekileko,,,,morokotsotswako,kokoanotsalo,,tswala ya go hlatlaganywa,,,tswala ya moella,tswala e holang,,,nzwalelombumbano,muingoingo,,,ntswalontatiso,,,
dsac_multi_hum_00081,consolidated amount,,,,gekonsolideerde bedrag,,,,,inani elihlanganisiweyo,inani elipheleleyo,,isixa-mali esihlanganisiweyo,,,,samba sako konkhe,,,,,inani elihlanganisiweko,,,,tlhotlhwagotlhe,,,palomoka ya ditefo,,,palokgoboka,,,,mutengoguṱe,,,,ntsengo lowu katsakanyiweke,mali leyi katsakanyiweke,,
dsac_multi_hum_00082,consumer,,,,verbruiker,gebruiker,,,,umsebenzisinto,,,umthengi,umsebenzisi-nkonzo,,,umtsengi,umsebentisi,,,,umthengi,umsebenzisipahla,,,modirisi,,,modiriši,mošomiši,,moreki,,,,murengi,mushumisi,,,mutirhisi,muxavi,,
dsac_multi_hum_00083,consumer confidence,,,,verbruikersvertroue,,,,,uzinzo ngokwabasebenzisimkhiqizo,,,ukuthembeka koqoqosho kubathengi,,,,lizinga lekutetsemba kwebatsengi,,,,,ikomba yethemba emnothweni,,,,tshepobodirisi,,,tshepo ya badiriši,tshepo ya bareki,,letshepa la moreki,,,,fulufhelo ḽa murengi,fulufhelo ḽa vhashumisi,,,vutitshembi bya vatirhisi,vutitshembi bya vaxavi,,
dsac_multi_hum_00084,consumer council,,,,verbruikersraad,,,,,umkhandlu wabasebenzisimkhiqizo,,,ibhunga lezabathengi,ibhunga lezabasebenzisi-nkonzo,,,umkhandlu lomela batsengi,umkhandlu lovikela batsengi,,,,umkhandlu wabathengi,,,,lekgotla la badirisi,khansele ya badirisi,,khantshele ya badiriši,khantshele ya bareki,,khansele ya bareki,,,,khoro ya vharengi,khoro ya vhashumisi,,,khansele ya vatirhisi,khansele ya vaxavi,,
dsac_multi_hum_00085,consumer education,,,,verbruikersopvoeding,,,,,ukufundiswa kwabasebenzisimkhiqizo,,,imfundiso kubathengi,imfundiso kubasebenzisi-nkonzo,,,kufundziswa kwebatsengi,kufundziswa kwebasebentisi,,,,ifundiso yabathengi,,,,thutobodirisi,,,thuto ya badiriši,thuto ya bareki,,thuto ya bareki,,,,pfunzo ya vharengi,pfunzo ya vhashumisi,,,dyondzo ya vatirhisi,dyondzo ya vaxavi,,
dsac_multi_hum_00086,consumer goods,,,,verbruikersgoedere,,,,,izimpahla,imikhiqizo,,impahla esebenzisekayo,,,,umkhicito,tisetjentiswa tebatsengi,,,,okuthengiswako,,,,direkwa,,,dithoto tša badiriši,dithoto tša bareki,,thepa ya bareki,,,,zwirengwa,,,,switirhisiwa,,,
dsac_multi_hum_00087,consumer knowledge,,,,verbruikerskennis,,,,,ulwazi lwabasebenzisimveliso,,,ulwazi lwabathengi,ulwazi lwabasebenzisi-nkonzo,,,lwati lwekuhlomisa batsengi,lwati lwekuhlomisa basebentisi,,,,ilwazi elihlomisa abathengi,ilwazi elihlomisa abasebenzisi,,,kitsobodirisi,,,tsebo ya badiriši,tsebo ya bareki,,tsebo ya bareki,,,,nḓivho ya vharengi,nḓivho ya vhashumisi,,,vutivi bya vatirhisi,vutivi bya vaxavi,,
dsac_multi_hum_00088,consumer price index,,,,verbruikersprysindeks,VPI,,,,inkombamanani yabasebenzisimveliso,i-CPI,,isalathisi sonyuko-maxabiso,i-CPI,i-RPI,,inkhombantsengo yetidzingonchanti,i-CPI,inkhombantsengo yebatsengi,,,ikomba yetjhugulukontengo yabathengi,i-CPI,,,tshupanetheko ya modirisi,CPI,,kelotšhupetšo ya theko ya badiriši,kelotšhupetšo ya bareki,,tekanyo ya ditheko,CPI,,,tshikalamutengo wa vharengi,CPI,RPI,tshikalamutengo wa vhashumisi,xikombanxavo xa vatirhisi,xikombanxavo xa vaxavi,XNV,
dsac_multi_hum_00089,consumer protection,,,,verbruikersbeskerming,,,,,ukuvikelwa kwabasebenzisimveliso,,,ukhuselo lomthengi,ukhuselo lomsebenzisi-nkonzo,,,kuvikelwa kwebatsengi,,,,,ukuvikelwa kwabathengi,,,,tshireletsomodirisi,,,tšhireletšo ya badiriši,tšhireletšo ya bareki,,tshireletso ya bareki,,,,tsireledzo ya vharengi,tsireledzo ya vhashumisi,,,nsirhelelo wa vatirhisi,nsirhelelo wa vaxavi,,
dsac_multi_hum_00090,consumer rights n.,,,,verbruikersregte,,,,,amalungelo abasebenzisimveliso,,,amalungelo omthengi,amalungelo omsebenzisi-nkonzo,,,emalungelo emtsengi,emalungelo emsebentisi,,,,amalungelo wabathengi,,,,ditshwanelomodirisi,,,ditokelo tša badiriši,ditokelo tša bareki,,ditokelo tsa bareki,,,,pfanelo dza vharengi,pfanelo dza vhashumisi,,,timfanelo ta vatirhisi,timfanelo ta vaxavi,,
dsac_multi_hum_00091,consumer surplus n.,,,,verbruikersurplus,,,,,intengosengezo yabasebenzisimveliso,,,intsalela kobekulindelwe ngumthengi,intsalela kobekulindelwe ngumsebenzisi,,,imalingetiwe,,,,,ukuzuza komthengi,,,,tshalelotšhentšhimodirisi,,,tšhentšhi yeo e sego ya letelwa,,,phapang ya theko e lebelletsweng,,,,mbuelo ya vharengi,mbuelo ya vhashumisi,,,nsalo wa muxavi,,,
dsac_multi_hum_00092,consumption expenditure n.,,,,verbruiksbesteding,,,,,izindleko zokusetshenzisiwe,,,inkcitho kwizinto ngexesha elifutshane,,,,tindlekomkhicito,tindleko talokusetjentisiwe,,,,iindleko zokusebenza,,,,tirisomadi,,,ditshenyegelo tša tšhomišo,,,ditshenyehelo tsa boreki,,,,tsheledemviswa ya zwishumiswa,,,,tihakelo ta switirhisiwa,,,
dsac_multi_hum_00093,corporation n.,,,,korporasie,,,,,ukopolotsheni,,,iqumrhu,ukopoletyeni,,,lubanjiswano,ikoporasi,,,,ihlangano,ikhampani,,,koporasi,,,koporase,,,koporasi,,,,koporasi,,,,koporasi,,,
dsac_multi_hum_00094,cost of capital n.,,,,koste van kapitaal,,,,,izindleko zengqalabhizinisi,,,iindleko zenkunzi,,,,tindleko tekuchuba ibhizinisi,,,,,iindleko zokusekela ibhizinisi,,,,ditshenyegelo,,,theko ya dithoto,khephetlele ya ditshenyegelo,,ditjeo tsa khapitale,ditshenyehelo tsa khapitale,,,ndifho ya zwibindudzisi,,,,ntsengo wo sungula bindzu,,,
dsac_multi_hum_00095,cost of production n.,,,,produksiekoste,,,,,izindleko zokukhiqiza,,,iindleko zokuvelisa,,,,tindlekokukhicita,,,,,iindleko ezipheleleko zokukhiqiza,,,,ditshenyegelotlhagiso,,,ditshenyagalelo tša tšweletšo,,,ditjeo tsa tlhahiso,ditshenyehelo tsa tlhahiso,,,ndifho ya vhubveledzi,mutengo wa vhubveledzi,,,ntsengo wa andziso,,,
dsac_multi_hum_00096,cost price n.,,,,kosprys,,,,,intengiso engafakiwe inzuzo,,,ixabiso lokuthenga,ixabiso lemveliso,,,intsengomkhicito,,,,,indleko zokukhiqiza,,,,tlhotlhwa,,,poreisi ya tšweletšo,theko ya tšweletšo,,theko,,,,mutengo wa vhubveledzi,,,,ntsengo wa nxavo,,,
dsac_multi_hum_00097,cost-push inflation n.,,,,koste-inflasie,,,,,ukwenyuka kwezindleko,,,unyuko-maxabiso ngokweendleko zokuvelisa,,,,lwenyukomanani ngekwetindleko,,,,,itjhugulukontengo egandelelwako,,,,tlhatlosotlhotlhwa,,,inifoleišene yeo e hlolwago ke theko ya tšweletšo,,,infleishene e qobellehang,,,,inflesheni nga vhubveledzi,tshikala mutengo wa vharengisi,,,inifulexini yo vangiwa hi ntsengo wa andziso,,,
dsac_multi_hum_00098,credit n.,,,,krediet,,,,,ukuthenga ngesikweletu,,,ukuthenga ngetyala,ukuthenga ngesikweliti,,,kutsenga ngesikweleti,,,,,ukuthenga ngesikolodo,ukuthenga ngesikwelede,,,molato,sekoloto,,mokitlana,sekoloto,,mokitlane,krediti,,,thendela tshikolodo,khiredithi,,,xikweleti,,,
dsac_multi_hum_00099,credit agreement n.,,,,kredietooreenkoms,,,,,isivumelwano sokuthenga ngesikweletu,,,isivumelwano setyala,isivumelwano sesikweliti,,,sivumelwanosikweleti,,,,,isivumelwano sokubhadala isikolodo,isivumelwano sokubhadala isikwelede,,,tumelanolato,tumelanokoloto,,tumelelano ya mokitlana,tumelelano ya sekoloto,,tumellano ya mokitlane,tumellano ya krediti,,,thendelano ya khredithi,thendelo ya thendela tshikolodo,,,ntwanano wa xikweleti,,,
dsac_multi_hum_00100,credit bureau n.,,,,kredietburo,,,,,uphiko olugcina imininingwane yabathengi,,,ibhunga logcino-zinkcukacha zabathengi,,,,sikhungomininingwane yebatsengi,i-credit bureau,inkampanimininingwane yebatsengi,,,iziko leenkolodo,iziko leenkwelede,,,birolato,birokoloto,,piro ya mekitlana,piro ya dikoloto,,biro ya mekitlane,biro ya krediti,,,birou ya zwikolodo,birou ya khiredithi,,,byuro ya swikweleti,,,
dsac_multi_hum_00101,credit card n.,,,,kredietkaart,,,,,ikhadi lokuthenga ngesikweletu,,,ikhadi lokuthenga ngetyala,ikhadi lokuthenga ngesikweliti,,,likhadisikweleti,,,,,ikarada lokuthenga ngesikolodo,ikarada lokuthenga ngesikwelede,,,karatalato,karatakoloto,,karata ya kheretiti,,,karate ya mokitlane,karete ya krediti,,,garaṱa ya thendela tshikolodo,garaṱa ya thendela khiredithi,khadi ya khiredithi,,khadi ra xikweleti,,,
dsac_multi_hum_00102,credit limit n.,,,,kredietperk,kredietlimiet,,,,umkhawulokuthenga ngesikweletu,,,umlinganiselo wetyala,,,,umkhawulosikweleti,,,,,isilinganiselo sesikolodo,umkhawulelo wesikwelede,,,tekanyetsolato,tekanyetsokoloto,,tekanyetšo ya mokitlana,tekanyetšo ya sekoloto,,moedi wa mokitlane,moedi wa krediti,,,phimo ya khiredithi,,,,mpimohenhla wa xikweleti,,,
dsac_multi_hum_00103,creditor n.,,,,krediteur,,,,,umbolekisi,umkweletwa,,otyala,umtyalwa,,,umkweletisi,,,,,umkolodisi,umkweledisi,,,mokolelwa,sekolotwa,,mokolelwa,mokotelediwang,,mokolelwa,mokangwe,,,mukolotisi,,,,mufambisi wa bindzu,,,
dsac_multi_hum_00104,creditors journal n.,,,,krediteurejoernaal,,,,,ijenali yababolekisi,ijenali yabakweletisi,,ijenali yamatyala,,,,ijenali yebakweletisi,,,,,ijenali yabakolodisi,ijenali yabakweledisi,,,jenalelato,jenalekoloto,,tšenale ya bakolotwa,,,jenale ya bakolotwa,,,,dzhenaḽa ya vhatendela tshikolodo,,,,jenala ya vakolotiwa,,,
dsac_multi_hum_00105,credit provider n.,,,,kredietverskaffer,,,,,umbolekisi,umkweletisi,,umniki-tyala,umbolekisi-mali,,,umkweletisi,umniketisikweleti,,,,umkolodisi,ukweledisi,,,mokolotisi,,,moabi wa mokitlana,mokolotiši,,mofani wa mokitlane,mofani wa krediti,,,mukhiredithi,muṋea tshikolodo,,,mukolotisi,,,
dsac_multi_hum_00106,credit rating n.,,,,kredietgradering,,,,,ukuhlolelwa ukufaneleka ukukweleta,,,ukuhlola amandla okuhlawula,,,,silinganisosikweleti,silinganisomandla ekubhadala,luhlolomandla ekubhadala,,,ukuhlolelwa ukulungela isikolodo,ukulinganiselwa ukulungela isikwelede,,,kelokabolato,kelokabokoloto,,kelo ya maloka a go kolotišwa,,,tekolo ya phumantsho ya mokitlane,tekolo ya phumantsho ya krediti,,,phimavhukolodi,,,,xipimamukoloti,,,
dsac_multi_hum_00107,credit record n.,,,,kredietrekord,,,,,imininingwane yokukweleta,,,irekhodi yetyala,irekhodi yesikweliti,,,lirekhodisikweleti,,,,,irekhodi lesikolodo,irekhodi lesikwelede,,,rekotolato,rekotokoloto,,rekhoto ya mokitlana,rekhoto ya sekoloto,,rekoto ya mokitlane,rekoto ya krediti,,,rekhodo ya khiredithi,,,,rhekhodo ya xikweleti,,,
dsac_multi_hum_00108,credit score n.,,,,kredietgradering,,,,,isibalosilinganiso sokufaneleka ukukweleta,,,inqaku lomlinganiselo wamandla okuhlawula,,,,liphuzukuhlola lesikweleti,liphuzukulinganisa emandla ekubhadala,,,,amaphuzu wokunikelwa isikolodo,amaphuzu wokunikelwa isikwelede,,,palelolato,palelokoloto,,palokalo ya mokolotišwa,palokalotšhupetšo ya maswanedi a mokoloti,,matshwao a phumantsho ya mokitlane,matshwao a phumantsho ya krediti,,,tshikalo tsha thendela tshikolodo,,,,nkutlunya wa xikweleti,,,
dsac_multi_hum_00109,credit squeeze n.,,,,kredietdruk,kredietbeperking,kredietvernouing,,,ungabazane lokukweleta,,,ukuqingqelwa ityala,ukuqingqelwa isikweliti,,,lunswinyosikweleti,luncishosikweleti,,,,ukuzaza ukukolodisa,ukuzaza ukukweledisa,,,kiletsolato,kiletsokoloto,,kgokgono ya kabo ya mokitlana,kgokgono ya kabo ya sekoloto,,lesisitheho la ho fana ka mokitlane,lesisitheho la ho fana ka krediti,,,nyofho dza u kolodisa,,,,ku nga lavi ku lombisa,ku nga lavi ku kolotisa,,
dsac_multi_hum_00110,credit transaction n.,,,,krediettransaksie,,,,,ukuthengiselana ngokukweleta,,,uthengiselwano ngetyala,uthengiselwano ngesikweliti,intengiselwano ngetyala,intengiselwano ngesikweliti,kutsengiselana ngesikweleti,,,,,ukuthengiselana ngesikolodo,ukuthengiselana ngesikwelede,,,kapodiso,kolotiso,,thekišetšano ka mokitlana,thekišetšano ka sekoloto,,transekshene ya mokitlane,transekshene ya krediti,,,vhukolodisi,,,,nxaviselano hi xikweleti,,,
dsac_multi_hum_00111,creditworthiness n.,,,,kredietwaardigheid,,,,,ukufaneleka ukuba nesikweletu,,,ukulungela ukunikwa ityala,ukulungela ukunikwa isikweliti,,,kufaneleka kutfola sikweleti,kulungela kukweleta,,,,ukulungela isikolodo,ukulungela isikwelede,,,kapodisega,kolotisega,,maswanedi a go kolotišwa,maloka a go kolotišwa,,tshwanelo ya phumantsho ya mokitlane,tshwanelo ya phumantsho ya krediti,,,ndugelo ya u kolodisa,ndugelo ya u khiredithiwa,,,vukolotekisi,,,
dsac_multi_hum_00112,crowding out n.,,,,verdringing,,,,,ukwenyuswa kwezinganzalo,,,uphazamiso-rhwebo ngurhulumente,,,,kukhushulwa kwesilinganisontalo,,,,,isimuku seemalimboleko,,,,koketsokelotsadiso,,,tlhahlošo ya kelo ya tswala,,,kotelo phumantshong ya mokitlane,kotelo phumantshong ya sekoloto,,,tsumba vhukolodi,,,,ntikisovulombisi hi ntswalo,,,
dsac_multi_hum_00113,current account n.,,,,lopende rekening,,,,,i-akhawunti esebenza noma nini,,,i-akhawunti yetshekhi,,,,i-akhawunti lesebenta njalo,i-akhawunti lengenamigomo,,,,i-akhawundi esebenzako,,,,akhaontetšheke,,,akhaonte ya tšheke,,,akhaonte ya tlhokatswala,kharent akhaonte,,,akhaunthu ya tsheke,,,,akhawunti ya cheke,,,
dsac_multi_hum_00114,current income n.,,,,huidige inkomste,lopende inkomste,,,,ingeniso lotshalomali,,,ingeniso,,,,imali lengenako,,,,,ingeniso yamasiso,,,,poelopeeletso,,,letseno la bjale,,,lekeno la letsete,,,,mbuelo ya zwino,,,,malinghena ya sweswi,,,
dsac_multi_hum_00115,current liability n.,,,,bedryfslas,,,,,isikweletu sesikhashana,,,ityala,isikweliti,,,sikweleti lonaso,,,,,isikolodo sanje,isikwelede sanje,,,melato,dikoloto,,mekitlana ya bjale,dikoloto tša bjale,,sekoloto sa nakwana,,,,tshikolodo tsha zwino,,,,xikweleti xa nkarhinyana,,,
dsac_multi_hum_00116,customer n.,,,,klant,,,,,umthengi,,,umthengi,,,,umtsengi,likhasitamende,likhasitama,,,umthengi,ikhastama,,,moreki,,,moreki,,,moreki,,,,murengi,mushumisi,,,muxavi,khasimende,,
dsac_multi_hum_00117,customs duty n.,,,,doeanereg,,,,,intela yempahla engenayo,,,irhafu yempahla ebuya ngaphandle,,,,intselamphahla lengenako,umtselomphahla lengenako,,,,umthelo wepahla evela ngaphandle,,,,kgethisoditswantle,,,motšhelo wa ditšwantle,,,lekgetho la direkwantle,lekgetho la matshelanokana,,,muthelo wa zwiṱunḓwa,,,,xibalo xa switundziwa,,,
dsac_multi_hum_00118,debit n.,,,,debiet,,,,,idebhithi,,,utsalo-ntlawulo,,,,imbadalo,idebithi,,,,idebhithi,,,,tsenyo,,,depiti,,,debiti,,,,debithi,,,,debiti,,,
dsac_multi_hum_00119,debit n. {banking},,,,debiet,,,,,imali edonswa yibhange,,,utsalo-ntlawulo,,,,imali ledvonswako,,,,,imali edoswako,,,,kgogo,,,tšhelete yeo e tšwago,tšhelete yeo e gogwago,,debiti,,,,u kokodza,mukokodzo,debithi,,mali leyi humeke,debiti,,
dsac_multi_hum_00120,debit <v.> {banking},,,,debiteer,,,,,ukudonsa imali yibhange,,,tsala intlawulo,,,,dvonsa imali,,,,,dosa imali,,,,goga,,,ntšha tšhelete,goga tšhelete,,-debita,,,,u kokodza,,,,ku humesa mali,ku debita,,
dsac_multi_hum_00121,debt n.,,,,skuld,,,,,isikweletu,,,ityala,isikweliti,,,sikweleti,,,,,isikolodo,isikwelede,,,molato,sekoloto,,sekoloto,,,sekoloto,molato,,,mulandu,tshikolodo,,,xikweleti,,,
dsac_multi_hum_00122,debt counselling n.,,,,skuldberading,,,,,ukwelulekelwa izikweletu,,,iingcebiso ngamatyala,iingcebiso ngezikweliti,,,kwelulekwa ngesikweleti,,,,,ukwelulekwa komkolodi,ukwelulekwa komkweledi,,,kgakolololato,kgakololokoloto,,keletšo go tša mekitlana,keletšo go tša dikoloto,,thobo ya maikutlo ka dikoloto,thobo ya maikutlo ka melato,,,ngeletshedzo ya zwikolodo,,,,ntsundzuxo wa swa swikweleti,,,
dsac_multi_hum_00123,debtor n.,,,,debiteur,skuldenaar,,,,umboleki,,,otyalayo,okwelitayo,,,umkweleti,,,,,umkolodi,umkweledi,,,mokoloti,,,mokoloti,,,mokoloti,,,,mukolodwa,muvhilwa,,,mukoloti,,,
dsac_multi_hum_00124,debtors journal n.,,,,debiteurejoernaal,,,,,ijenali yababoleki,ijenali yabakweleti,,ijenali yabatyalayo,ijenali yabakwelitayo,,,ijenali yalabakweletako,,,,,ijenali yabakolodi,ijenali yabakweledi,,,jenalebakoloti,,,tšenale ya bakoloti,,,jenale ya bakoloti,,,,dzhenaḽa ya vhakolodi,,,,jenala ya vakoloti,,,
dsac_multi_hum_00125,debt relief n.,,,,skuldverligting,,,,,ukukhululwa ezikweletini,,,ukophulelwa ityala,ukophulelwa isikweliti,,,kukhululeka etikweletini,kusitwa ngetikweleti,,,,izwelo ngesikolodo,iphumuzo ngesikwelede,,,kimolololato,namolokoloto,,kimollo sekolotong,,,kimollo ya sekoloto,kimollo ya molato,,,thulo ya tshikolodo,,,,ku vevukiseriwa xikweleti,,,
dsac_multi_hum_00126,default <n.>,,,,wanbetaling,,,,,ukuhluleka ukukhokha ngesikhathi,,,ukusilela ekuhlawuleni,ukusilela ekubhataleni,ukubhatala kakubi,,kungwenya,kungabhadali kahle,kusilela ngembadalo,kusilela esikweletini,,ukweqisa imbadalo,ukweqisa imbadelo,,,itlhokomolosotuelo,,,go tshediša go lefela,,,ho hloleha ho lefa,,,,u sa badela,,,,ku tlula ku hakela,,,
dsac_multi_hum_00127,deflation n.,,,,deflasie,,,,,ukwehla kwamandla emali,,,ukwehla kwamaxabiso,,,,kwehla kwemanani,kwehla kwentsengo,,,,ukwehla kwetjhugulukontengo,,,,kwelotlasetlhotlhwa,phokotsotlhotlhwa,,phokotšego ya diporeisi,phokotšego ya ditheko,,thutleho ya moruo,difleishene,,,vhutsamitengo,,,,difulexini,,,
dsac_multi_hum_00128,demand n. {for goods},,,,vraag,,,,,inani elidingekayo,,,imfuno,,,,sidzingo,,,,,ifuneko,,,,tlhokego,,,tlhokego,,,tlhoko,,,,ṱhoḓea,,,,xilaviwa,,,
dsac_multi_hum_00129,demand curve {economics},,,,vraagkromme,,,,,isikhombanani lesidingo,igobela eliyisikhombizidingo,,isalathi-tshintsho ngokweemfuno,isalathi-nguqu ngokweemfuno,,,sikhombisitidzingo,,,,,isitjengisifuneko,,,,seropotlhokego,kerafotlhokego,,kerafo ya taetšo ya tlhokego,,,mothinya wa tlhoko,,,,tsumbaṱhoḓea,,,,girafu ya swilaviwa,,,
dsac_multi_hum_00130,demand decrease n.,,,,vraagafname,,,,,ukwehla kwenani elidingekayo,,,ukwehla kweemfuno,,,,kwehla kwelizingatidzingo,,,,,ukwehla kwefuneko,,,,phokotsegotlhokego,,,phokotšego ya tlhokego,,,phokotseho ya tlhoko,,,,phungudzeo ya ṱhoḓea,,,,hunguteko wa swilaviwa,,,
dsac_multi_hum_00131,dependency ratio n.,,,,afhanklikheidsverhouding,,,,,isilinganisokondliwa ngokweminyaka,,,umyinge woxhomekeko,ireshiyo yoxhomekeko,,,kwelamalamana kwalabasebentako nalabangasebenti,ireshiyo yalabasebentako nalabangasebenti,,,,isilinganiso sabondliwako,,,,keloikaego,,,tekanyotšhupetšo ya bašomi le ba go se šome,rešiyo ya bašomi le ba go se šome,,reshio ya bohlokomedi,,,,ndivhanele ya u ḓitika,,,,mpimoxiave wa lava tirhaka na lava nga tirhiki,,,
dsac_multi_hum_00132,depreciation n. {foreign exchange},,,,depresiasie,waardevermindering,,,,ukwehla kwezinganani,,,ukwehla kwamandla emali,,,,kwehla kwemandla emali,kwehla kwebungakomali,kwehla kwentsengo,,,ukwehla kobungako,,,,kwelotlase,phokotsego,,phokotšego ya boleng,,,phokolo,,,,vhutsandeme,,,,ku wa ka mali ya ncincano,ku wa ka kharensi,,
dsac_multi_hum_00133,depression n. {economy},,,,depressie,,,,,ukuntenga komnotho,,,udodobalo-qoqosho,,,,kuwa kwemnotfo,,,,,ukuwa komnotho,,,,phutlhamo,kgatelelo,,phuhlamo ya ikonomi,,,putlamo ya moruo,,,,mutsiko wa ikonomi,,,,ntshikelelo wa ikhonomi,,,
dsac_multi_hum_00134,devaluation n. {e.g. currency},,,,devaluasie,,,,,ukwehliswa kobunani,,,ukwehliswa kwamandla emali,ukuthotywa kwamandla emali,,,kwehliswa kwemandla emali,,,,,ukwehliswa kwamandla wemali yenarha,ukwehliswa kwamandla wemali yelizwe,,,phokotsoboleng,,,theošo ya boleng,,,phokotso ya boleng,,,,vhutsandeme,,,,hunguteko wa nkoka wa mali,hunguteko wa kharensi,,
