id,eng__001,eng__002,afr__001,afr__002,afr__003,afr__004,zul__001,zul__002,xho__001,xho__002,xho__003,xho__004,xho__005,xho__006,ssw__001,ssw__002,ssw__003,ssw__004,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,tsn__004,nso__001,nso__002,nso__003,sot__001,sot__002,ven__001,ven__002,ven__003,tso__001,tso__002,tso__003
dsac_multi_art_00077,brass {musical instrument},brass instrument,koperblaasinstrument,,,,izinsimbi ezifuthwayo zethusi,,izixhobo zomculo zexina,isikhaliso sebrasi,,,,,licilongo,,,,ibhrasi,ibhorompita,,,diphala,borase,,,diphala,,,brase,,porompiṱa,,,porompita,,
dsac_multi_art_00078,brass band,,koperblaasorkes,,,,ibhendi yebhrasi,,iqela leentambula zexina,iqela leentambula lezikhaliso zebrasi,,,,,ibhendi yemacilongo,,,,ibhendi yebhrasi,,,,setlhopha sa diphala,bente ya borase,bente ya diphala,,sehlopha sa diphala,,,bente ya brase,,bennde ya porompiṱa,,,bende ya tiporompita,,
dsac_multi_art_00079,brochure,,brosjure,,,,ibhukwana,,ibhrowutsha,incwadana yeengcaciso,,,,,liphephabhukwana,ibhrosha,,,ibhrowutjha,incwajana ehlathulula okuthileko,,,bukana,boroutšha,,,poroutšha,pukwana,,brotjha,,burotshara,tshivhambadzi,,buroxara,,
dsac_multi_art_00080,brooch,,borsspeld,,,,isiqhano esihlobisayo,ibhroshi,ibhrotshi,isipeliti sokuhomba,,,,,sipeledi lesihlotjisiwe,sipenedi lesihlotjisiwe,,,ibhrowutjhi,isiqobotjhelo sesifubeni,,,kgokelo ya mokgabo,sepelete sa mokgabo,,,boroutšhe,sepelete sa go ikgabiša,,broutjhu,,tshipereṱe,,,xipeneti,xipereta,
dsac_multi_art_00081,bubble-gum {music},,bubblegum-musiek,borrelgommusiek,,,umculo osheshe uphuphe,,umculo webubble-gum,umculo wolutsha,umculo wepop,,,,umculo losheshe uphuphe,,,,umvumo wabatjha,umvumo webhabulgamu,umvumo ophelelwako,,mminorekere,,,,mmino wa go tswapoga,,,mmino wa bubble-gum,,muzika wa phopho,,,vuyimbeleri bya xibabulugamu,,
dsac_multi_art_00082,bulb-shaped basket {basket making},,bolvormige mandjie,,,,isichumo,,umnyazi oliselwa,,,,,,lichaga,,,,imantji endulungu,umantji ondulungu,,,tlatlanagwere,,,,manki wa sebopego sa pšere,motšegana wa sebopego sa pšere,,seroto,,muthatha,,,ntundwana,,
dsac_multi_art_00083,bust,,borsbeeld,,,,umfanekiso oqoshiwe,,umfanekiso oqingqiweyo womntla womntu,,,,,,umfanekiso welingetulu lemuntfu,,,,umfanekiso welingehla lomuntu,,,,sefikafatla,,,,sebetlwa sa hlogo le magetla a motho,,,sefika sa hlooho le mahetla,baste,tshiṱwandoima tsha khana,tshivhaḓaive tsha khana,,xifaniso xo vatliwa,photireti yo vumbiwa,
dsac_multi_art_00084,cabaret,,kabaret,,,,ikhabhareyi,,ikhabhareyi,ikhabharethi,,,,,sinandzisisilibatisi,ikhabareyi,,,ikhabhareyi,umgidi walapho kudlelwa khona,,,khabarete,,,,khaparete,mmino wa ge go lewa,,khabarei,,khabarethe,,,ntlangu wa khabareta,,
dsac_multi_art_00085,cadenza {classical music},,cadenza,,,,ikhadenza,,isiqukumbelo sengoma,ikhadenza,,,,,ikhadenza,,,,ikhadenza,,,,khadensa,,,,khatentsha,baopelanoši ba gare ga sehlopa sa mmino,,khadensa,,khadentsa,vhuimbawoga,soḽo,khadenza,,
dsac_multi_art_00086,call-and-response {African music},,vraag-en-antwoordsang,vraag-antwoordsang,,,umculozilandelo,,umculo wemibuzo neempendulo,,,,,,umculo wekuphendvulana,,,,umvumombuzopendulo,,,,pitsokarabo,,,,koša ya dipotšišo le dikarabo,,,sediadia,pina ya neeletsano,muzika wa mbudziso na phindulo,,,nhlavelelo,,
dsac_multi_art_00087,camera lens,,kameralens,,,,ilensi yesithwebulizithombe,ilensi yekhamera,ilensi yesithatha-mfanekiso,ilensi yekhamera,,,,,liso lesitfwebuli,liso lekhamera,,,ilensi yekhamera,ilensi lesithathiinthombe,ilensi lesifodi,,lense ya khemera,lense ya setsayaditshwantsho,,,lentshe ya khamera,,,lense ya khemera,,ḽentsi ya khamera,,,lense ya khamera,,
dsac_multi_art_00088,CD album,,CD-album,,,,i-albhamu eyicwecwe,i-albhamu eyisidi,ialbham yecwecwe,ialbham yecwecwana,,,,,i-albhamu ye-CD,,,,i-albhamu ye-CD,,,,kokoanyopapetla ya CD,kokoanyo ya CD,,,alepamo ya CD,,,albamo ya CD,,aḽibamu ya siidii,,,alibamu ya CD,,
dsac_multi_art_00089,CD cover,,CD-omslag,,,,ikhava yecwecwe,ikhava yesidi,isingxobo secwecwe,ikhava ye-CD,,,,,siphutseli se-CD,ikhava ye-CD,,,ikhava ye-CD,,,,sefatlapapetla,sefatla CD,,,khabara ya CD,,,khava ya CD,,tshiputelasiidii,,,khavhara ya CD,,
dsac_multi_art_00090,cellist,,tjellis,tjellospeler,,,umdlaliselo,,umdlali wetshelo,,,,,,umshayi weselo,,,,umbethitjhelo,,,,moletsaselo,,,,sebapadi sa šelo,,,sebapadi sa tjhelo,,mulidzatshelo,,,muchayi wa selo,,
dsac_multi_art_00091,cello {musical instrument},,tjello,,,,iselo,,itshelo,,,,,,iselo,,,,itjhelo,,,,selo,,,,šelo,,,tjhelo,,tshelo,,,selo,,
dsac_multi_art_00092,chamber music,,kamermusiek,,,,umculo wedlanzana,,umculo wabadlali abambalwa,,,,,,umculo welicenjana,,,,umvumo wangekorweni,umvumo wedlanzana,,,mmino wa tšhemba,,,,mmino wa tšhampa,mmino wa go ngwalelwa dihlophana tša diletšo tša go diragatša mafelong a mannyane,,mmino wa tjhemba,,muzika wa lufherani,,,vuyimbeleri bya switlawana,,
dsac_multi_art_00093,chamber music festival,,kamermusiekfees,,,,umgidi womculo wendlanzana,,umbhiyozo womculo wabadlali abambalwa,isiyunguma somculo sabadlali abambalwa,umsitho womculo wabantu abambalwa,,,,sibhimbi semculo wemacenjana,,,,ifestivali yomvumo wangekorweni,ifestivali yomvumo wedlanzana,,,moletlo wa mmino wa tšhemba,,,,moletlo wa mmino wa tšhampa,,,mokete wa mmino wa tjhemba,,vhuṱambo ha muzika wa lufherani,,,nkhuvo wa vuyimbeleri bya switlawana,,
dsac_multi_art_00094,chant <n.> {song},,cantus,koraalgesang,kantus,dreunsang,impindwa,,ingoma,itshanti,iculo,igwaba,,,sicubulo,ingoma,,,isiqubulo,isihlabelelo,,,poeletswa,,,,motšhantho,koša ya go rethetha mantšu a go swana,,phetane,tjhante,u tshanta,,,mbuyelelo,,
dsac_multi_art_00095,chant <v.>,,kantilleer,dreun-sing,sing-praat,,ukuphindaphinda,,tshanta,cula,gwaba,,,,cubula,hlabela,,,-qubula,-hlabelela,-tjhanta,,-boeletsa,,,,-tšhantha,-opela koša ya go rethetha mantšu a go swana,,-phetapheta,-tjhanta,tshanta,,,vuyalela,,
dsac_multi_art_00096,chime <n.> {instrument},,klokke,klokkespel,,,isinqenqethi,,iintsimbi ezivumelana ngesandi,itshayim,,,,,sincelencele,,,,isimbisililiswa,itjhayimu,,,tleloko,tšhaeme,,,seletšo sa ditšhitswana,,,lingenengene,,tshaimi,,,chayimi,,
dsac_multi_art_00097,Chinese dance,,Chinese dans,,,,umdanso wamaShayina,,umdaniso wamaTshayina,,,,,,umdanso weMashayina,,,,umdanso wamaTjhayina,,,,moretelediane wa Setšhaena,,,,motantsho wa Setšhaena,,,motjeko wa Tjhaena,,mutshino wa Tshitshaina,,,ncino wa Xichayina,,
dsac_multi_art_00098,choral <adj.>,,koor,,,,okwamakwaya,,-kwayara,-kwayala,,,,,-wemakhwaya,,,,-kwekhaya,,,,-khwaere,,,,-khwaere,,,-khwaere,,-khwairi,,,-khwayere,,
dsac_multi_art_00099,chorale <n.>,,koraal,,,,iculo lokudumisa,,iculo lenkonzo,ikhorale,,,,,liculo lasesontfweni,liculo lasenkonzweni,,,ingoma yekhwaya nebandla,ikhorali,,,sefela,,,,sefela,,,sefela,,ngosha,luimbo,,risimu,,
dsac_multi_art_00100,choral work,,koorsang,,,,umculo wekwaya,,iculo lekwayara,iculo lekwayala,,,,,liculo lekhwaya,,,,imisebenzi yamakhwaya,umsebenzi wekhwaya,,,kopelo,,,,mmino wa khwaere,,,mmino wa dikhwaere,,u imbisa,,,ntirho wa vuyimbeleri,,
dsac_multi_art_00101,circus,,sirkus,,,,isekisi,,isekhasi,isekisi,,,,,liselekisi,,,,iserigisi,,,,sorokisi,sekhase,,,disorokisi,serekisi,,diserekisi,,sorogisi,sekhasi,,sekhasi,sorokisi,
dsac_multi_art_00102,clap <v.>,,klap,,,,ukushaya izandla,,qhwaba,,,,,,shaya tandla,,,,-wahla,,,,opa diatla,phaphatha diatla,,,-opa magoswi,-phaphatha matsogo,,-opa,,vhanda,,,phokotela,ba mavoko,
dsac_multi_art_00103,clarinettist,,klarinetspeler,,,,umdlali womtshingo iklarinethi,,umdlali weklarinethi,,,,,,umshayimntjingo,umdlalimntjingo,umshayiklarinethi,,umdlalitlarinethi,umbethitlarinethi,,,moletsatlelarinete,,,,sebapala tlelarinete,,,moletsatlelarinete,,mulidzakiḽarinethe,,,muchayi wa tlilarinete,muchayi wa nanga ya rihlanga,
dsac_multi_art_00104,classical <adj.>,,klassiek,,,,ezingasoze zabuna,okwezinga eliphezulu,-kudala-dala,-klasikhi,-mandulo,-mthonyama,-emveli,,-kwakadzeni,-kwasendvulo,,,-kwamagugu wakade angatjhugulukiko,-kwetlasiki,,,-lekgoro,,,,-bogologolo,-setlelasiki,,-tlelasiki,,-kiḽasiki,,,-xitlilasiki,,
dsac_multi_art_00105,classical art,,klassieke kuns,,,,ubuciko obungasoze babuna,ubuciko obusezingeni eliphezulu,ubugcisa bakudala-dala,ubugcisa bamandulo,ubugcisa bomthonyama,ubugcisa beklasikhi,ubugcisa bemveli,,buciko basendvulo,buciko bakadzeni,,,ubukghwari bamagugu wakade,,,,botsweretshi jwa lekgorokgoro,botaki jwa lekgorokgoro,,,bokgabo bja bogologolo,bokgabo bja setlelasiki,,bonono ba tlelasiki,,vhutsila ha kiḽasiki,,,vutshila bya xitlilasiki,,
dsac_multi_art_00106,classical melody,,klassieke melodie,,,,imvunge engasoze yabuna,imvunge yezinga eliphezulu,umongo wengoma wakudala-dala,umongo wengoma wamandulo,umongo wengoma womthonyama,umongo wengoma weklasikhi,umongo wengoma wemveli,,indlelaculo yakadzeni,indlelaculo yasendvulo,,,umdumomvumo wesikade oligugu,itjhadamvumo lakade,,,molodi wa lekgorokgoro,,,,molodi wa bogologolo,molodi wa setlelasiki,,molodi wa tlelasiki,,muungo wa kiḽasiki,,,mpfumawulo wa xitlilasiki,,
dsac_multi_art_00107,classical music,,klassieke musiek,,,,umculo osezingeni eliphezulu,,umculo wemveli,umculo wamandulo,umculo womthonyama,umculo weklasikhi,umculo wakudala-dala,,umculo wakadzeni,umculo wasendvulo,,,umvumo wesikade oligugu,itlasikhi,,,mmino wa lekgorokgoro,,,,mmino wa bogologolo,mmino wa setlelasiki,,mmino wa tlelasiki,,muzika wa kiḽasiki,,,vuyimbeleri bya xitlilasiki,,
dsac_multi_art_00108,classical performer,,klassieke uitvoerende kunstenaar,,,,iciko elisezingeni eliphezulu,,umdlali wemveli,umdlali wakudala-dala,umdlali wamandulo,umdlali womthonyama,umdlali weklasikhi,,umdlali wekwadzeni,umdlali wekwasendvulo,umlingisi wakadzeni,umlingisi wasendvulo,umqedisizungu wesikade esiligugu,,,,modiragatsi wa lekgorokgoro,,,,mmapadi wa bogologolo,mmapadi wa setlelasiki,,sebapadi sa tlelasiki,,mutambi wa kiḽasiki,,,mutlangi wa xitlilasiki,,
dsac_multi_art_00109,classical saxophone,,klassieke saksofoon,,,,icilongo elisezingeni eliphezulu,,ixilongo lemveli,ixilongo lomthonyama,ixilongo lamandulo,ixilongo lakudala-dala,ixilongo leklasikhi,,iseksofoni yakadzeni,iseksofoni yasendvulo,,,isekzofoni yesikade esiligugu,,,,sekesofouno ya lekgorokgoro,,,,sekisofoune ya bogologolo,sekisofoune ya setlelasiki,,seksofounu ya tlelasiki,,porompiṱa ya kiḽasiki,saxophone ya kiḽasiki,,sekizofoni ya xitlilasiki,,
dsac_multi_art_00110,classical saxophonist,,klassieke saksofoonspeler,,,,umfuthicilongo osezingeni eliphezulu,,umdlali wexilongo lemveli,umdlali wexilongo lomthonyama,umdlali wexilongo lamandulo,umdlali wexilongo lakudala-dala,umdlali wexilongo leklasikhi,,umdlaliseksofoni wakadzeni,umdlaliseksofoni wasendvulo,,,umdlalisekzofoni wetlasikhi,,,,moletsasakesofounu wa lekgorokgoro,,,,sebapadi sa sekisofoune ya segologolo,sebapadi sa sekisofoune ya setlelasiki,,seletsi sa seksofounu ya tlelasiki,,mutambaporompiṱa ya kiḽasiki,mutambaporompiṱa ya saxophone,,muchayi wa sekizofoni ya xitlilasiki,,
dsac_multi_art_00111,classical singer,,klassieke sanger,,,,ocula ezingasoze zabuna,,umculi wemveli,umculi womthonyama,umculi wamandulo,umculi wakudala-dala,imvumi yomculo weklasikhi,,umculi wakadzeni,umculi wasendvulo,,,umvumimvumo wesikade esiligugu,umvumitlasikhi,,,seopedi sa lekgorokgoro,,,,seopedi sa segologolo,seopedi sa setlelasiki,,sebini sa tlelasiki,,muimbi wa kiḽasiki,,,muyimbeleri wa xitlilasiki,,
dsac_multi_art_00112,classical technique,,klassieke tegniek,,,,indlela yokwenza yasemandulo,,ubuchule bemveli,ubuchule bamandulo,ubuchule bakudala-dala,ubuchule bomthonyama,ubuchule beklasikhi,,indlela yakadzeni,ithekniki yakadzeni,indlela yasendvulo,ithekniki yasendvulo,indlela yokwenza yesikade esiligugu,,,,mokgwa wa lekgorokgoro,,,,thekiniki ya segologolo,thekiniki ya setlelasiki,,lewa la tlelasiki,mokgwa wa tlelasiki,thekhiniki ya kiḽasiki,maitele a kiḽasiki,,xithekiniki xa xitlilasiki,,
dsac_multi_art_00113,cleanse {culture},,reinig,,,,ukuhlambulula,ukugeza,hlambulula,,,,,,hlambulula,chinsa,gez’emanti,,-hlambulula,-geza,,,tlhatsosefifi,,,,go kgaya,,,-hlwekisa,,handulula,kumulula,,xuva,,
dsac_multi_art_00114,click <n.> {sound},,klik,kliek,,,iklikhi,,isiqhakancu,,,,,,ngwacabatfwa,,,,umdumo oqhwarhazako,itliki,,,mothwantsho,,,,modumo wa go thulantšha diletšo tše pedi,,,qaqatho,ho qaqatha,kiḽiki,,,ntlokolo,,
dsac_multi_art_00115,click song,,kliklied,klieklied,,,iculo longwaqabathwa,,ingoma eneziqhakancu,,,,,,liculo labongwacabatfwa,ingoma yabongwacabatfwa,,,ingoma yomdumo oqhwarhazako,,,,pinathwantsho,,,,koša ya medumo ya go thunya,,,pina ya qaqatho,pina ya ho qaqatha,luimbo lwa kiḽiki,,,risimu ra ntlokolo,,
dsac_multi_art_00116,clown,,nar,harlekyn,,,umhlekisi,,utiki,iklawuni,umhlekisi,,,,somahlaya,,,,usomahlaya,itlawuni,,,motlaopi,,,,moswaswi,,,seswaswi,,murengenyeli,,,muhlekisi,,
dsac_multi_art_00117,colander,,vergiettes,,,,ikholanda,,intluzo yokutya,isefu yokutya,,,,,sisefo,,,,isefo,ikholenda,,,mogoposefo,kholenda,,,sefo,kholanta,,sefe,,sefo,,,sefo,,
dsac_multi_art_00118,comedian,,komediant,,,,usomahlaya,,umhlekisi,iyolisa,,,,,somahlaya,,,,usomahlaya,umhlekisi,,,motlaupi,,,,modirametlae,,,seqabodi,rametlae,ramiswaswo,ramidai,ramiḓai,n’wamafenya,n’wamisawu,
dsac_multi_art_00119,community arts organization,,gemeenskapskuns-organisasie,,,,inhlangano yezobuciko yomphakathi,,iqumrhu lezobugcisa loluntu,iqumrhu lezobugcisa labahlali,iqumrhu lezobugcisa lasekuhlaleni,,,,inhlangano yetebuciko bemmango,,,,ihlangano yezobukghwari emphakathini,ihlangano yezobugwali emphakathini,,,mokgatlho wa baagi,,,,mokgatlo wa bokgabo wa setšhaba,,,mokgatlo wa bonono wa setjhaba,,dzangano ḽa vhutsila ḽa tshitshavha,dzangalo ḽa vhutsila ḽa vhadzulapo,,nhlangano wa swa vutshila wa vaakatiko,,
dsac_multi_art_00120,composite choir {e.g. church choir},,saamgestelde koor,,,,ikhwaya,,ikwayara,ikwayala,,,,,ikhwaya lephelele,,,,ikhwaya epheleleko,,,,diopedi,,,,khwaere,,,khwaere,,khwairi ya muṱanganelano,,,khwayerexiheri,,
dsac_multi_art_00121,composition {artwork},,komposisie,komponering,,,ukuqamba,,ingoma,ubhalo,,,,,umsebenti,,,,umtlamo wobukghwari,,,,tlhamo,,,,tlhamo,,,boqapi,,tshisikwa,,,risimu,,
dsac_multi_art_00122,composition {process},,komposisie,,,,okuqanjiwe,,uqamba,uyilo,,,,,kucamba,,,,ukutlama,,,,tlhamo,,,,tlhamo,,,ho qapa,,vhusiki,,,ntumbuluxo,,
dsac_multi_art_00123,composition {arrangement},,komposisie,samestelling,,,ukuhleleka,,ucwangciso emfanekisweni,ulwakheko,,,,,kwakheka,,,,isakheko,ukwakheka,,,tshimololo,,,,tlhamo,,,popeho,,mbekanywa,nzudzanyo,,nxaxameto,,
dsac_multi_art_00124,concerto <Italian>,,concerto,,,,ikhonsetho,,umculo wesixhobo esinye esikhatshwa yiokhestra,ikhonshetho,,,,,ikhonsetho,,,,ikhonsetho,,,,pina ya bongwe kgotsa go feta,khonsetho,,,khonsetho,koša ya go ngwalelwa seletšo sa moopelanoši,,khonseto,,khontseto,,,khonseto,,
dsac_multi_art_00125,concert stage,,konsertverhoog,,,,isiteji sekhonsathi,,iqonga lekonsathi,,,,,,siteji sekhonsathi,,,,isiteji sekhonsadi,,,,serala sa khonsata,,,,sefala sa khonsate,,,sebae sa khonsete,sethala sa khonsete,vhugalatenga ha khontsati,tshiṱeidzhi tsha khotsati,tshiteidzhi tsha khotsati,xiteji xa khonsati,,
dsac_multi_art_00126,conductor {music},,dirigent,,,,umbhidisi,,umbhexeshi,umculisi,,,,,umbhidisi,umhlabelisi,,,umvumisi,umbhidisi,,,motshwaratakata,moopedisi,,,moopediši,,,sebintshi,ramolangwana,muimbisi,,,muyimbelerisi,,
dsac_multi_art_00127,congregation {religion},,gemeente,,,,ibandla,,irhamente,ibandla,,,,,libandla,,,,ibandla,,,,phuthego,,,,phuthego,,,phutheho,,tshivhidzo,,,nhlengeletano,,
dsac_multi_art_00128,conservatory,,konservatorium,,,,isikhungo sezobuciko,,isikolo sezobugcisa,,,,,,sikolo setebuciko,,,,isikolo somvumo nokulingisa,,,,sekolo sa mmino,,,,sekolo sa mmino,sekolo sa botaki,,sekolo sa bonono,,tshikolo tsha vhutsila,,,xikolo xa vutshila,,
dsac_multi_art_00129,contemporary art,,hedendaagse kuns,kontemporêre kuns,,,ubuciko besimanjemanje,,ubugcisa bala maxesha,ubugcisa banamhla,,,,,buciko balomuhla,buciko banyalo,buciko besimanje,,ubukghwari banje,ubukghwari besikhathi sanje,,,botsweretshi jwa segompieno,botaki jwa segompieno,,,bokgabo bja sebjalebjale,botaki bja sebjalebjale,,bonono ba sejwalejwale,,vhutsila ha musalauno,vhutsila ha tshizwinozwino,,vutshila bya manguvalawa,,
dsac_multi_art_00130,contemporary music,,eietydse musiek,kontemporêre musiek,,,umculo wesimanjemanje,,umculo wala maxesha,umculo wanamhla,,,,,umculo wesimanje,umculo wanyalo,umculo walomuhla,,umvumo wanamhlanje,umvumo wesikhathi sanje,,,mmino wa segompieno,,,,motantsho wa sebjalebjale,,,mmino wa sejwalejwale,,muzika wa musalauno,muzika wa tshizwinozwino,,vuyimbeleri bya manguvalawa,,
dsac_multi_art_00131,coronation dance,,kroningsdans,,,,umdanso wokugcoba,umdanso wokubeka esikhundleni,umdaniso wothwesosithsaba lwenkosi,,,,,,umgidvo wekubekwa kwenkhosi,,,,umgido wokubekwa kwekosi,,,,moretelediane wa tlhomo,,,,motantsho wa peo ya kgoši,,,motjeko wa tlhomamiso,,mutshino wa u vhea vhuhosi,,,ncino wo veka hosi,,
dsac_multi_art_00132,coterie {friends},,kliek,koterie,,,abangani,,amakholwane,,,,,,umfelandzawonye,sigejane,,,isiqhema sabangani,,,,diselammapa,dijammogo,khotheri,,sehlopha sa bagwera,,,lemulwana,,khonani,khotheri,ṱhama,vatirhisani,,
dsac_multi_art_00133,Council of African Museums,,Raad vir Afrika-museums,,,,Umkhandlu Wezilondolozimagugu wase-Afrika,,iBhunga leeMyuziyam zaseAfrika,,,,,,Sigungu Semisamo yase-Afrika,,,,uMkhandlu wamaMyuziyamu we-Afrika,,,,Khansele ya Dimusiamo tsa Aforika,,,,Lekgotla la Dimusiamo tša Afrika,Khansele ya Dimusiamo tša Afrika,,Khansele ya Dimosiamo tsa Afrika,,Khoro ya Miziamu ya Afrika,,,Huvo ya Miziyamu ya Afrika,,
dsac_multi_art_00134,cover artist,,nie-oorspronklike kunstenaar,,,,umculi ocula ingoma yomunye,,imvumi ecula iingoma zabanye,,,,,,umlingisi,,,,umvumi othathelako,ovuma ingoma yomunye,,,mokopisi,,,,seopedi sa go opela koša yeo e gatišitšwego ke seopedi se sengwe,,,sebini sa nketsisane,,mutsilamuedziseli,,,mutshila wo encenyeta,,
dsac_multi_art_00135,craft industry,,kunshandwerkbedryf,handwerkbedryf,,,imboni yomsebenzi wezandla,,ushishino lomsebenzi wezandla,,,,,,imboni yemsebenti wetandla,,,,ibubulo lezesino,,,,bodirelo jwa bobetli,bodirelotirodiatla,,,intaseteri ya tiroatla,intaseteri ya bobetli,,indasteri ya bobetli,,nḓowetshumo ya mishumo ya zwanḓa,nḓowetshumo ya vhutsila ha zwanḓa,,vumaki bya swa mavoko,,
dsac_multi_art_00136,craft knife,,kunshandwerkmes,handwerkmes,,,ummese womsebenzi wezandla,,imela yomsebenzi wezandla,isitshetshe somsebenzi wezandla,,,,,umukhwa wekusebenta,,,,umukhwa kasosino,umukhwa womsebenzi wezandla,,,thipapetla,phalo,,,mphaka wa go betla,thipa ya go betla,,thipa ya ho betla,,lufhanga lwa vhutsila ha zwanḓa,lufhanga lwa mishumo ya zwanḓa,,mukwana wa swa mavoko,,
dsac_multi_art_00137,crêpe paper,,krinkelpapier,crêpe-papier,,,iphepha lokuhlobisa,,iphepha lokuhombisa,,,,,,liphepha lekuhlobisa,,,,isiphutheli sezipho,,,,sephuthedi sa pampiri ya khiripi,,,,pampiri ya go phuthela,pampiri ya go kgabiša,,pampiri ya ho phuthela,,bammbiri ḽa khripi,,,phepha ro phutsela tinyiko,,
dsac_multi_art_00138,crescent <adj.>,,sekelvormig,,,,umumo osanhlendla,,okumile okweceba lenyanga,iceba lenyanga,,,,,-kwelucetusiyingi,,,,-saqephe,,,,-kgogoropo,-khrisente,,,-sebopego sa lenalana,,,-lekekema,,luṅwedzana,khrisenthe,,-xiphemun’weti,,
dsac_multi_art_00139,crucifixion <often capital letter>,,kruisiging,,,,ukubethelwa,,ukubethelelwa emnqamlezweni,ukubethelela emnqamlezweni,,,,,kubetselwa esiphambanweni,,,,ukubethelwa esiphambanweni,,,,papolo,,,,papolo,,,thakgiso,,u vhambiwa,,,ku vambiwa,,
dsac_multi_art_00140,cultural activist,,kultuuraktivis,,,,isishoshovu sezamasiko,,itshantliziyo lezenkcubeko,,,,,,umlwelimasiko,sishoshovu semasiko,,,umlwelimasiko,,,,molwelasetso,,,,molwelasetšo,,,molwanelabotjhaba,molwelabotjhaba,mulwelamvelele,,,mugingirikelamfuwo,,
dsac_multi_art_00141,cultural activity,,kulturele aktiwiteit,kultuuraktiwiteit,,,umcimbi wezamasiko,,umsebenzi wezenkcubeko,isiyunguma,,,,,umsebenti wetemasiko,,,,umsebenzi wezamasiko,,,,tiro ya setso,,,,tiro ya setšo,,,mosebetsi wa botjhaba,,nyito ya mvelele,mushumo wa mvelele,,nghingiriko wa swa mfuwo,,
dsac_multi_art_00142,cultural asset,,kulturele bate,kultuurbate,,,okwamasiko,,ubutyebi bezenkcubeko,,,,,,imphahla yetemasiko,,,,ilifa lezamasiko,,,,letlotlo la setso,,,,thoto ya setšo,lefa la setšo,,thepa ya botjhaba,,ndaka ya mvelele,thundu ya mvelele,,ndzhaka ya swa mfuwo,,
dsac_multi_art_00143,cultural institution,,kulturele instelling,,,,isikhungo sezamasiko,,iziko lezenkcubeko,,,,,,sikhungo setemasiko,,,,isikhungo sezamasiko,iziko lezamasiko,,,setheo sa setso,,,,institušene ya setšo,,,setheo sa botjhaba,,tshiimiswa tsha mvelele,,,nhlangano wa swa mfuwo,,
dsac_multi_art_00144,cultural pride,,kultuurtrots,,,,ukuzigqaja ngamasiko,,ukuzingca ngenkcubeko yakho,iqhayiya ngenkcubeko yakho,,,,,ligcabho ngemasiko,,,,ukuzikhakhazisa ngesiko,ikhakhaziso yesiko,,,boipelo ka setso,,,,boikgantšho bja setšo,,,boikgantsho ba botjhaba,,vhuḓihudzi nga mvelele,vhuḓikukumusi nga mvelele,vhuḓiṱongisi nga mvelele,vutinyungubyisi hi swa mfuwo,,
dsac_multi_art_00145,curator,,kurator,,,,umbhekisilondolozimagugu,umbhekisakhiwo sokukhangisa ngobuciko,umgcini-mafa emveli,,,,,,umgcinibuciko,,,,umphathisino,ikhyureyitha,,,motlhokomelamusiamo,motsamaisamusiamo,,,mohlokomedi wa ditšweletšwa tša bokgabo,mohlokomedi wa ditšweletšwa tša botaki,,khureitha,,muṱhogomeli wa vhutsila,,,muhlayisi wa swa mfuwo,,
dsac_multi_art_00146,cycad,,broodboom,sikadee,,,isigqiki somkhovu,,isayikhadi,imfingo,umphanga,,,,isayikhadi,,,,i-cycad,,,,saekhate,,,,saekhate,mohlare wa go swana le mopalema,,saekhate,,tshifhanga,tshiṱonḓolo,,mubilgomu,mugamusi,
dsac_multi_art_00147,cymbal,,simbaal,,,,isimbali,,ixina ekhenkcezayo,isimbali,,,,,isimbali,,,,isimbali,,,,simbale,,,,simpale,mohuta wa seletšo sa go bodulela,,simbale,,simbaḽa,,,xiphambati,simbala,
dsac_multi_art_00148,dance floor,,dansvloer,,,,isigcawu,inkundla,inkundla yokudanisela,inkundla yokujayivela,inkundla yokuxhentsela,inkundla yokungqungqela,,,indzawo yekudansela,,,,indawo yokugidela,indawo yokudansela,indawo yokujayivela,,seralaretelediane,boaloretelediane,,,lefelo la go binela,lefelo la go tantshetša,,sebae sa ho tjeka,,luvhanḓe lwa u tshinela,,,ndhawu yo cinela,,
dsac_multi_art_00149,dance group,,dansgroep,,,,iqembu lengoma,iqembu lomdanso,iqela lomdaniso,iqela lomngqungqo,iqela lomxhentso,,,,licembu lekugidza,licembu lemdanso,,,isiqhema somdanso,,,,setlhopha sa moretelediane,setlhopha sa modikwadikwane,,,sehlopha sa go bina,sehlopha sa go tantsha,,sehlopha sa motjeko,,tshigwada tsha u tshina,,,ntlawa wo cina,,
dsac_multi_art_00150,dance program,,dansprogram,,,,uhlelo lwengoma,uhlelo lomdanso,isicwangciso-nkqubo somdaniso,isicwangciso-nkqubo somngqungqo,isicwangciso-nkqubo somxhentso,,,,luhlelo lwemgidvo,luhlelo lwemdanso,,,ihlelo lokudansa,ihlelo lokujayiva,ihlelo lokugida,,lenaneo la moretelediane,lenaneo la modikwadikwane,,,lenaneo la go bina,lenaneo la go tantsha,,lenaneo la motjeko,,mbekanyamushumo ya mitshino,,,nongonoko wo cina,,
