"eng__001","eng__002","eng__003","afr__001","afr__002","afr__003","afr__004","afr__005","afr__006","xho__001","xho__002","xho__003","xho__004","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","Syonym__-","nso__002","nso__003","nso__004","sot__001","sot__002","sot__003","ven__001","ven__002","ven__003","ven__004","ven__005","ven__006","tso__001","tso__002","tso__003","tso__004"
"circulatory shock","","","sirkulatoriese skok","sirkulasieskok","","","","","ucothogazi lwethutyana","","","","sitsikametilutungelelongati","","","","ukuthikamezeka komzombe weengazi","ukuthikaziseka komzombe weengazi","","tlhabego ya kelelomadi","","","","kgaotšo tshepetšo madi","","kgaotšo kabomadi","","","kgaolo ya phallo ya madi","","","nyimelo ya u ya u ongolowa i so ngo ḓoweleaho","","","","","","hunguteko wa ndzhendzeleko wa ngati","","",""
"circulatory system","","","bloedsomloopstelsel","bloedvatstelsel","bloedvaatstelsel","","","","inkqubo yojikeleziso gazi","","","","luhlelo lwekutungeleta kwengati","","","","irherho lokukhanjiswa kweengazi","ihlelo lokusebenza kwehliziyo","","matlhamaganyane a kelelomadi","","","","mokgwapeakanyo madi","","","","","taolo ya phallo ya madi","","","sisiteme ya nyelelo ya malofha","","","","","","sisiteme ya ndzhendzeleko wa ngati","","",""
"cleaning agent","","","skoonmaakmiddel","reinigingsmiddel","","","","","isicoci","","","","umutsi sihlanti","umutsi sigezi","","","isihlwengisi","","","sephepafatsi","setlhwekisi","","","sehlwekiši","","","","","sehlwekisi","","","tshikunakisi","","","","","","xibasisi","","",""
"clinical","","","klinies","","","","","","-phathelene nonyango","","","","-phatselene nekwelashwa","","","","-phathelene nesenzo sokwelapha","","","-kalafi","","","","-kalafo","","-bongaka","","","-kalafo","","","ilafha","","","","","","-xitlilinikali","","",""
"clinical response","","","kliniese reaksie","kliniese uitwerking","","","","","ukusabela kunyango","","","","kusebenta kwekwelashwa","","","","umphumela wokwelatjhwa","","","tsibogelokalafi","","","","phetogotšwa kalafong","","","","","kamohelo ya kalafo","","","u shuma ha ngalafho","","","","","","anguloxitlilinikali","","",""
"closed joined length","CJL","","lengte ná verseëling","","","","","","ubude bekhephsuli","","","","budze beliphilisisalibhosho","","","","ubude bekhepsuli elipheleleko","ubude bekhepsuli","","boleeletswalo","","","","khephisulutelele","","","","","botelele ba khepsule e sa buleheng","","","vhulapfu ha khephusulu","","","","","","vulehinkatsanompfaleko","","",""
"coagulation","","","stolling","koagulering","koagulasie","","","","ukujiya kwegazi","","","","lushubongati","lutiyongati","","","ukujiya kweengazi","ukwakheka kwehlwili","","kgatlho ya madi","tlholefalo","themo","","themišomadi","","kgahlišomadi","","","tlhwebo ya madi","","","u khekha ha malofha","","","","","","ntiyangati","","",""
"coating","","","bedekking","","","","","","ukuhombisa","ukugudisa ipilisi","","","luhucophilisi","","","","ukweleka ipilisi","","","rethefatsa","goma","","","thetofatšo philisi","","go khoutha philisi","","","ho khouta pidisi","","","u khoutha","nḓodzaluvhemba","","","","","ntinto","","",""
"coca leaf","","","kokablaar","","","","","","igqabi lekhowukha","","","","licembe lekhokha","","","","ikari lekhowukha","","","letlhare khoukha","","","","letlakala khoukha","","","","","lehlaku la khokha","","","ṱari ḽa khokhe","","","","","","tluka ra khokha","","",""
"coconut oil","","","klapperolie","kokosolie","","","","","ioli yekhokhonathi","","","","emafutsa ekhokhonathi","i-oyili yekhokhonathi","","","amafutha wekhokhonathi","i-oli yekhokhonathi","","oli ya khokhonate","","","","oli ya khokhonate","","","","","oli ya khokhonate","","","oiḽi ya khokhonati","","","","","","mafurha ya khokhonati","","",""
"cod liver oil","","","lewertraan","visolie","","","","","ioli yentlanzi","ikhodiliva oyile","","","emafutsa esibindzi sekhodi","i-oyili yesibindzi sekhodi","","","amafutha wesibindi sekhodi","i-oli yesibindi sekhodi","","oli ya khoteliva","","","","olibetelapikhoto","","olibetekhoto","","","oli ya sebete sa tlhapi","oli ya khoteliva","","mapfura a tshivhindi tsha khovhe","","","","","","mafurha ya xivindzi xa getle","","",""
"coeliac disease","celiac disease","","seliakie","seliaksiekte","","","","","ukwaliwa yigluthini","ukuguliswa yigluthini","","","sifo sekwaliwa yigluthini","","","","ubulwele obubangwa yidlhuthini","isifo esibangwa yidlhuthini","","bolwetse jwa seliaka","","","","aletšitluluthene","","","","","lefu la seliaka","bohloko ba seliaka","","vhulwadze vhu vhangwaho nga glutheni","","","","","","rinyenyadlilutheni","","",""
"colic","","","koliek","","","","","","imfuxwa","injeqane","","","inongwana","mankhatjana","ikholikhi","","ikholikhi","ummoya ongemathunjini","","kgadikego","selomo","","","go longwa","","kholiki","","","mahlaba a ka mpeng ya lesea","kholiki","","tshilala","","","","","","rivisana","","",""
"combination product","","","kombinasieproduk","kombineermiddel","kombinasiemiddel","","","","imveliso eyintlanganisela","","","","sidzakamiva lesiyinhlanganisela","","","","umtjhoga","umdidiyelo","","molemotswako","","","","sehlaretswakophodišo","","","","","motswako","","","tshibveledzwaṱhanganywa","mushongavanganywa","","","","","ximakiwankatsano","","",""
"common cold","cold","","gewone verkoue","verkoue","","","","","umkhuhlane","imfuxane","","","umkhuhlane","","","","umgomani","umkhuhlani","","mofikela","mokgotlhwane","","","mokgohlane","","mpshikela","","","sefuba","mokgohlane","ntaramane","mukhushwane","duda","mphigela","","","","mukhuhlwana","","",""
"co-morbid condition","co-morbidity","","komorbiede toestand","komorbiditeit","newesiektetoestand","","","","isigulo esibangelwa sesinye","","","","kugula lokukuphatsa kanye kanye","kugula lokuhambisanako","","","isifo esikhambisana nesinye","ubulwele obukhambisana nobunye","","seemo sa tlhatlagano ya makoa","","","","malwetšitšhikammogo","","malwetšikgwerano","","","boemo ba mafu a mang mothong","","","vhulwadzembangwa nga vhuṅwe","","","","","","vuvabyifambisana","","",""
"compounding","","","bereiding","samestelling","","","","","ukuxuba amachiza","","","","luhlanganisongco lwemitsi","ludidiyelongco lwemitsi","","","ukudidiyela isihlahla","","","tswako","tlhakantsho","tlhakanyo","","tswakantšho philisi","","tlhakantšho hlare","","","ho tswaka meriana","","","thimbwana","u ṱanganyisa","","","","","vuhlanganisi","","",""
"compressed tablet","","","tablet","","","","","","ipilisi ecinezelweyo","","","","liphilisi lelicindzetelwe","liphilisi lelingcingciwe","","","ipilisi eligangadelweko","","","pilisi papetla","","","","philisipateletšwa","","","","","pidisi e thatafaditsweng","","","philisiphanwa","philisiwe","","","","","philisiwe","","",""
"concomitant medication","","","bygaande medikasie","medewerkende medisyne","","","","","iyeza eliselwa nelinye","","","","imitsi lesetjentiswa kanye kanye","","","","iinhlahla ezingalaniko","","","kalafipate","","","","dihlarenwewammogo","","","","","meriana e ka nowang mmoho","","","mishonga mishumiswa yoṱhe","mishongatshumiswanyaredzi","","","","","mirhifambisana","","",""
"congenital","","","aangebore","kongenitaal","","","","","-vele nayo","-zelwe nayo","","","-telwe nako","","","","-belethwe nakho","-bangelwe libhoduluko","","{bokoa jwa}-botswatsalong","","","","-belegago nabjo","","-tswalwago nabjo","-tlhago","","-tlhaho","","","doledza","bebwa naho","","","","","-tekeleriwa","-velekiwanabyo","",""
"congestion","","","stuwing","kongestie","","","","","ukuxinana","","","","kuvimbana","kucinana","","","ukuvaleka","ukuvaleka","","petagano {sk. thibano ya dinko}","","","","go thibana","","","","","ho thibana","ho kwaleha","","u valea","u thivhea","","","","","mpfaleko","","",""
"constipation","","","hardlywigheid","konstipasie","","","","","ukuqhinwa","","","","kucumba","kucinana kwesisu","","","ukuparelwa","","","pipelo","ngakego","","","pharelo","","","","","ho soka","ho siba","ho farela","muzwimbelo","","","","","","mpfimbelo","nqumbho","",""
"containment","","","inperking","","","","","","uthintelo xubano","","","","luvikelomitsi","luvikelosimo lwemitsi","","","ivikeleko bhoduluko leenhlahla","","","thibelelo sere","tshireletso sere","","","tšhireletšo hlare","","","","","tshireletso","","","tsireledzo ya fhethu ha zwidzidzivhadzi","","","","","","nsirhelelanthyakiso","","",""
"continuity of care","","","aaneenlopendheid van sorg","kontinuïteit van sorg","","","","","unyango oluqhubayo","","","","lunakekelokwelashwa loluchubekako","","","","itjhejo lokwelatjhwa eliragela phambili","","","kalafotsweletso","","","","tlhokomelotšwetšopele","","","","","tswelopele ya tlhokomelo","","","ndondolomvelaphanḓa","","","","","","ku yisiwa emahlweni ka vuongori","ku yisiwa emahlweni ka vutshunguri","ku yisiwa emahlweni ka nhlayiso",""
"contraindication","counter-indication","","teenaanduiding","kontraïndikasie","kontra-indikasie","","","","ukhabano kunyango","","","","simo lesivimbela kwelashwa","simo lesingavumeli kwelashwa","","","okuphambana nobujamo","okungavumelani nobujamo","","tshupakgano","","","","thulano kalafo","","tšhupo thulano","","","tshitisokalafo","","","nyiledza dzilafho","","","","","","nkantirhisano","","",""
"controlled trial","","","gekontroleerde proef","beheerde proef","","","","","ulingoyeza ngothelekiso","","","","lucwaningokulinganisa","","","","ilingelelomadaniso elilawulwako","ilingelelolinganiso elilawulwako","","tekelelo e e laotsweng","","","","tekopapišo","","","","","phuputsopapiso","","","ndingo mbambedza mashumele","","","","","","ndzingeto lowu lawuriwaka","","",""
"co-payment","","","bybetaling","","","","","","ugcwalisontlawulo","","","","inkhokhelo leyengetwa sigulane","inkhokhelo lebhadalwa sigulane","","","imbadalongezelelo","imbadalohlanganyela","","tuelelopate","tuelelommogo","","","tefelotlaleletšo","","","","","tefo ya tlatsetso","tefommoho","","mbadelo nyingwa","mbadelo phaphwa","","","","","hakeloengetelo","hakelontlhandlekelo","",""
"coronary heart disease","","","koronêre hartsiekte","hartvatsiekte","","","","","isifo semithambo yentliziyo","","","","sifo semitsambo yenhlitiyo","","","","ubulwele bemithambo yehliziyo","isifo semithambo yehliziyo","","bolwetse jwa tshikapelo","","","","bolwetši tshikapelo","","","","","lefu la methapo ya pelo","","","vhulwadze ha tsinga dza mbilu","","","","","","vuvabyi bya misiha ya mbilu","","",""
"cost-free medicine","","","gratis medisyne","gratis medikasie","","","","","iyeza elingahlawulelwayo","","","","umutsi wamahhala","umutsi longakhokhelwa","","","isihlahla esingabhadalwako","","","molemowa mahala","","","","di hlarehlokatefo","","","","","meriana ya mahala","","","mushonga wa mahala","mushongatshaya mbadelo","","","","","mirhi ya mahala","","",""
"cough","","","hoes","","","","","","ukhohlokhohlo","","","","kukhwehlela","","","","ukukhohlela","","","kgotlholo","","","","go gohlola","","","","","ho kgohlela","ho hohlola","","tshihoṱola","","","","","","nkhohlolo","","",""
"counterfeit medicine","","","vervalste medisyne","","","","","","iyeza lomgunyathi","","","","umutsi mbumbulu","","","","isingasihlahla","","","molemowa mokokotelo","","","","dihlarefeiki","","dihlarebofora","","","moriana wa thetsane","","","mishonga i si ya vhukuma","","","","","","mufututu","murhi wa vuxisi","",""
"cross contamination","","","kruiskontaminering","kruiskontaminasie","","","","","ungcoliswano","","","","kusulelana kwetidzakamiva","","","","iqaphazelelwano","ithelelwano","","tshwaetsano","tshelano","","","tshwaetšano","","tshwaetšoputla","","","thunthetsano","tshilafatsano","","tshikafhadzano ya mishonga","","","","","","nthyakisano","ntluletano","",""
"culture medium","","","kweekmedium","kweekbodem","kultuurmedium","","","","isivundisintsholongwane","","","","imbiliso","","","","isikhulisi semayikhrooganizimu","","","kgodisasere","","","","segodišapaketheria","","sefepapaketheria","","","sehodisadikokwanahloko","","","tshialusasele","","","","","","xikurisi xa switsongwatsongwana","","",""
"curative dose","CD","","genesende dosis","","","","","","umlinganiselo olingene ukuphilisa","","","","silinganisomutsi leselaphako","umtsamomutsi lowelaphako","","","isilinganiso esipholisako","","","mothamokalafo","tekanyetsamolemokalafo","","","tekanyo hlare phodišo","","","","","tekanyo e fodisang","","","phimo fhodzi","","","","","","mpimamurhi wo horisa","","",""
"cystic fibrosis","CF","","sistiese fibrose","","","","","","iqhuma elinamanzi esibelekweni","","","","simila lesinemanti","isistiki fayibhrosisi","","","isistikhifayibhrosisi","i-cystic fibrosis","","tlhagalatlhale","","","","sisitiki faeporosisi","","sisitiki faeporosisi","","","sistiki faebrosese","","","sistikifaiburosisi","","","","","","tshumba xifayiburosisi","sisitiki fayiburosisi","",""
"cytotoxin","","","sitotoksien","selgif","sitotoksine","","","","isityhefiseli","","","","butsitinhlayiya","","","","itjhefu esemaselini","isayithothokzini","","botlholesele","","","","mpholosele","","","","","tjhefu diseleng","","","mulimo kha tsiki","mulimo kha sele","","","","","chefu ya tisele","","",""
"day hospital","","","daghospitaal","","","","","","isibhedlele sasemini","","","","sibhedlela lesingalalisani","","","","isibhedlela semini","","","kokelo ya motshegare","","","","bookelotšatši","","","","","kokelo e sa robatseng","","","sibadela tsha ḓuvha","vhuongelo ha ḓuvha","","","","","xibedhlelenkalato","","",""
"decontamination","","","dekontaminering","dekontaminasie","","","","","ukususa ungcoliseko","","","","kuhlanta","kuhlobisa","","","ihlwengiso","","","tlhwekiso","","","","tlhwekišo","","","","","tlhwekisiso","","","u bvisa tshikafhadzo","vhubvisatshikafhadzo","","","","","ntengiso","","",""
"decreasing dosage","tapering dosage","","afnemende dosis","","","","","","ucuthomlinganiselo","","","","kunciphisa silinganisomutsi","kwehlisa umtsamomutsi","","","isilinganiso esiphungukako","","","phokotsothamo","","","","phokotšotekanetšosehlare","","","","","phokotso ya tekanyetso","","","phungudzaphimamushonga","","","","","","mpimamurhi wo hunguteka","","",""
"defined daily dose","DDD","","gedefinieerde daaglikse dosis","vasgestelde daaglikse dosis","","","","","umlinganiselo omiselweyo ngosuku","","","","silinganisomutsi selilanga","umtsamomutsi welilanga","","","isilinganiso sokuselwa ngelanga","","","mothamotlharetsatsi","","","","tekanyohlaretšatši","","","","","tekanyo ya letsatsi","","","phimamushongatiwa ya ḓuvha","","","","","","mpimamurhi hi sikulowu vekiweke","","",""
"depot","","","depot","","","","","","isitofu esihlalayo emzimbeni","idepho","","","umutsi lohlala sikhatsi emtimbeni","idepho","","","umjovo ohlala isikhathi emzimbeni","idepho","","sefala","letlhabopoloko","","","bokgobelo","","depho","","","depho","","","depo","vhufaredzi","","","","","depo","","",""
"desiccant","","","uitdroogmiddel","droogmiddel","","","","","isithintelikufuma","","","","sisusamhwamuko","","","","isirhwamisi","isomisi","","seomisi","","","","semonamonola","","desikhente","","","seomisi","desikhente","","tshikokodzamuṋula","tshiomisi","","","","","xiomisi","","",""
"dextromethorphan","DXM","","dekstrometorfaan","","","","","","idextromethorphan","","","","umutsi wekukhwehlela lotsite","idekthromethofani","","","isihlahla somgomani esingakhobongiko","isihlahla somgomani esingalalisiko","","sethibelamokgotlhane","","","","dekeseteromethorofene","","","","","dekstromethofene","","","mushonga wa mukhushwane","dextromethorphan","","","","","dekisitiromethofene","","",""
"dextrose","dextroglucose","","dekstrose","dekstroglukose","","","","","iswekile yendalo","idekstrosi","","","shukela wemvelo","idekthrosi","","","umhlobo wetjhukela","ideksithrosi","","sukiritlhago","dekeseterouse","","","dekeseterouse","","mohutaswikiri","","","dekstrouse","","","dekiṱirosi","dextrose","","","","","dekisitirosi","","",""
"diagnostic agent","","","diagnostiese middel","diagnostiese agens","","","","","isifumanisisifo","isixilongisifo","","","siphengulisifo","sibonisisifo","inkhombasifo","","isiphenguli","isipopoli","","sebontshatwatsi","temosatwatsi","","","selemošalwetši","","","","","sethusatlhahlobo","","","tshithusa ngwanavhulwadze","","","","","","xifembi","","",""
"dialysis","","","dialise","","","","","","ucocogazi","idayalasisi","","","luhlantongati lwekwentiwa","idayalisisi","","","isihlambulukisi","idayalisisi","","munometsi","munoleswe","","","tlhwekišomadi","","daelesese","","","tlhwekisomadi ka motjhini","dayalesese","","vhuṱanzwa malofha","daiḽisisi","","","","","nhlantswangati hi muchini","mbhasisangati hi muchini","",""
"diffusion","","","diffusie","","","","","","ukusasazeka","ukunwena","","","kusabalala","","","","idifuyitjhini","","","phatlhalatso","","","","phatlalalo","","","","","phatlallo","","","u phaḓalalo","phaḓalalo","phaḓaladzo","phaḓaladza","","","hangalako","","",""
"digestant","digestive","","spysverteringsmiddel","verteermiddel","","","","","isicolikutya","","","","insitakugaya","setjisi","","","isigayisi","","","sethusatshilo","sesidisi","","","sethušatšhilo","","","","","sethusatshilo","","","tshithusatsukanyo","","","","","","xipfunetanghayelo","xipfunetampfuvelo","",""
"diluent","dilutent","","verdunner","verdunmiddel","","","","","isingxengi","isiqungi","","","sikhulisiphilisi","sengetiphilisi","","","isitjhujisi","","","kgodisapilisi","kgogomosapilisi","","","setswaki","","","","","seqhibidihisi","","","tshihudzaphilisi","diḽuwenthi","","","","","xitimuri","","",""
"dilution","","","verdunning","","","","","","ungxengo ngokwemilinganiselo","","","","kuntempula","","","","umqarho","","","tlhapholo","tlhaoloso","","","timolo","","","","","tlhaphollo","","","nzimulo","","","","","","ntimulo","","",""
"direct compression {in e.g. tablet production}","","","regstreekse saampersing","","","","","","velisopilisi","","","","indlelalula yekukhicita liphilisi","","","","indlela yokwenza ipilisi","","","papetlotlhamalalo","","","","patišothwii","","","","","thatafatso e tobileng","","","vhukwanyaphilisitswii","","","","","","gandlelonkongomo","","",""
"disaccharide {chemistry}","","","disakkaried","disakkaride","","","","","intlanganisela yeeswekile ezimbini","idayisakharayidi","","","inhlanganisela yaboshukela lababili","idayisakharayidi","","","ihlanganisela yeentjhukela ezimbili","idayisakharayidi","","sukiri ya mefutamebedi","","","","swikirimehutamebedi","","daesakharaete","","","daesakharaete","","","daisakharaidi","","","","","","dayisakharayiti","","",""
"disintegrant","disintegrating agent","disintegrator","disintegreermiddel","disintegreeragens","","","","","isinyibilikisipilisi","","","","sincitsiti","sincibilikisi","","","isincibilikisi","","","sethusatlhaologo","","","","senyaoši","","searogantšhi","","","searohanyi","","","tshikwashaphilisi","","","","","","xin'okisi","","",""
"dispense {medication}","","","resepteer","","","","","","ukukhupha amayeza","","","","kukhipha imitsi","","","","khupha iinhlahla","phuthelisa iinhlahla","","aba melemo","","","","kabohlare","","","","","-aba moriana","","","vhuṋea mushonga","vhuṋetshedzamushonga","","","","","ku nyika mirhi","","",""
"dispensing doctor","","","resepterende dokter","resepterende geneesheer","","","","","ugqirha onegunya lokukhupha amayeza","","","","dokodela logunyatwe kukhipha imitsi","","","","udorhodere okhupha iinhlahla","udorhodere ophuthelisa iinhlahla","udorhodere onikela iinhlahla","ngakamoabamelemo","ngakamontshaditlhare","","","ngakaabahlare","","","","","ngaka e abang meriana","","","dokotela muṋeamushonga","","","","","","dokodela wo nyika mirhi","","",""
"dispensing fee","","","resepteerfooi","resepteergeld","","","","","umrhumo wokukhutshwa kwamayeza","","","","imali yekukhipha umutsi","imali yekunikwa umutsi","","","imbadalo yokunikelwa iinhlahla","imali yokuphutheliswa iinhlahla","","tuelokabelomelemo","tuelokabeloditlhare","","","tefelobaabihlare","","tefelokabohlare","","","tefiso ya ho abelwa moriana","","","mbadelo ya vhuṋeamushonga","","","","","","hakelo yo nyikiwa mirhi","","",""
"diuretic {to promote the production of urine}","","","diuretikum","urienafdrywer","urineafdrywer","","","","isikhamimanzi ngokuchama","","","","lokuchamisanako","lokutfundzisanako","","","okukhuthaza ukwakheka komhlambuluko","","","sefetlhamotlhapo","sefetlhamoroto","","","sefehlamoroto","","","","","setlhotlametsimmeleng","","","mushonga wa u ṱuṱuwedza u ṱambuluwa","ṱhuṱhuwedzamuṱambuluwo","","","","","xitsakamisisi","","",""
"diverticulitis","","","divertikulitis","","","","","","ukudumba kobhobhosi","","","","sifo semabhamuta ematfunjini","sifo sekuvuvuka ematfunjini","idayivethikhulayilathisi","","amatjhatjhazi angemathunjini","idayivethikhyulayithisi","","thurugo ya lelalegolo","","","","tšhatšhamelothurugole lalegolo","","daevethikhulaesese","","","borurusi ba kholone","daevethikhulaethisi","","nzwimbaḽila","daivethikhulaitisi","","","","","mpfimbo eka rhumbukulu","ndzhumbelo eka nkulungwana","",""
"divided dose","fractionated dose","","verdeelde dosis","","","","","","ukwahlulwa komlinganiselo wosuku","","","","silinganisomutsi lesihlukanisiwe","","","","isilinganiso esihlukanisiweko","","","mothamo wa molemo o arogantsweng","tekanyetsamolemo sa molemo o o arogantsweng","","","tekanyohlarearogantšhwa","","","","","tekanyo e arohantsweng","","","phimamushongakhethe kanywa","","","","","","mpimamurhi hi nkavanyiso","","",""
"dizziness","","","duiseligheid","vertigo","","","","","isiyezi","isizunguzane","incilikithi","","siyeti","inzululwane","","","isiyezi","isiyeziyezi","","sedidi","maibi","","","modikologo","","letšokwane","ledietšane","","motsekelo","modikwadikwane","","dzungu","","","","","","nsululwana","","",""
"dosage formulation","","","doseerformulering","doseerformulasie","doseervorm","","","","ulwakhekomlinganiselo weyeza","","","","kwakheka kwesilinganisomutsi","kwakheka kwemtsamomutsi","","","isakheko sesilinganiso","","","tlhamo ya mothamo wa molemo","tlhamo ya tekanyetsamolemo sa molemo","","","tlhamegohlare","","","","","sebopeho sa meriana","","","tshivhumbeo tsha mushonga","","","","","","xivumbeko xa mpimamurhi","","",""
"dosage group {in clinical trial}","","","dosisgroep","","","","","","iqela ngokomlinganiseloyeza","","","","licembu lelitfola silinganisomutsi lesifanako","","","","isiqhema sesilinganiso esifanako","","","setlhopha sa mothamo wa molemo","setlhopha sa tekanyetsamolemo sa molemo","","","sehlophafiwatekanyohlare","","","","","sehlopha sa bafuputswa","","","tshigwada tsha mushonga phiṅwa","","","","","","ntlawa wa mpimamurhi","","",""
"dosage strength","","","dosissterkte","","","","","","amandla omlinganiseloyeza","","","","emandla esilinganisomutsi","","","","amandla wesilinganiso sesihlahla","","","maatla a mothamo wa molemo","maatla a selekanyetso sa molemo","","","maatlatekanyohlare","","","","","matla a tekanyetso","","","vhuhali ha mushonga","maanḓa a mushonga","","","","","matimba ya mpimamurhi","ntamu wa mpimamurhi","",""
"double-blind study","","","dubbelblinde studie","","","","","","uphononongo olufihlwe macala","","","","lucwaningo lolufihlwe nhlangotsi totimbili","","","","irhubhululo elifihlelwe iinqhema zombili","","","phitlhelapeditekelelo","","","","nyakišišophihlegopedi","","","","","phuputso e patetsweng bobedi","","","ngudotshipofu ya vhadzheneli na vhaṱoḓisisi","","","","","","ndzavisiso wo tumbelela mitlawa hamimbirhi","","",""
"Down's syndrome","","","downsindroom","Down se sindroom","","","","","imongolo","","","","lufutotsite lwekukhubateka","i-Down syndrome","","","isindromu kaDown","ubumongolo","ubudalwa","segopalwetse sa ga Down","","","","Sinteromo ya Down","","","","","pokello ya matshwao a bohole a Down","Down syndrome","","Sinḓiromu ya Down","Down's syndrome","","","","","ritsanu ra Down","ntsanomiehleketo","",""
"dressing {wound}","","","verband","wonddekking","","","","","isibophisilonda","isigqumisilonda","ibhandeji","","ibhandishi","","","","ibhanditjhi","","","sebofi","sefaphi","","","khupetšontho","","","","","setlamisi","","","banditsha","","","","","","xipfalambanga","xipfalaxilondza","",""
"dropper {medicine}","","","drupper","","","","","","isithontsizisiyeza","isiqabaziyeza","","","sitfonsiseli","","","","isithontisisihlahla","","","serothetsi","sethothetsi","","","serothetšasehlare","","","","","serothetsi","","","tshirothedzamushonga","","","","","","xithoniselamurhi","","",""
"drug delivery","","","middeltoediening","medisynetoediening","medikasietoediening","","","","ungenisochiza","ungenisoyeza","","","lungenisomutsi emtimbeni","","","","indlela yokufaka isihlahla emzimbeni","","","mofutamoneelokalafi","moneelokalafi","","","phihlišohlaremmeleng","","","","","phano ya moriana","","","kushumisele kwa u tshidzidzi vhudzhenisamus honga","","","","","","vunghenisamurhimirini","","",""
"drug-drug interaction","","","geneesmiddelinteraksie","middelinteraksie","middelwisselwerking","","","","ungquzulwanomachiza emzimbeni","","","","kwalana kwemitsi","","","","ukurhagana kwemitjhoga","ukunyefisana kweenhlahla","","kopano - thulanoritibatsi","","","","tsenelelanohlare","","","","","twantshano ya meriana mmeleng","","","thithisano ya mishonga","","","","","","ntirhisanonkokelano wa mirhi","","",""
"drug product","","","geneesmiddelproduk","medisyne","","","","","ichiza","","","","umutsi","","","","isihlahla","","","kunoritibatsi","","","","sehlare","","","","","sehlahiswa sa moriana","","","tshibveledzwa tsha tshidzidzivhadzi","","","","","","ximakiwa xa murhi","","",""
"dry granulation {of powders}","","","droë granulering","droë granulasie","droë korrelvorming","","","","uhlalutyisomgubo olungenamanzi","","","","kuhhaya","","","","ukubumba iinthoro ngaphandle kwetlelezi","","","thorofatsokomiso","","","","thorofatšokomišo","","","","","popeho ya dithollo","","","vhudzhenisamushonga","","","","","","ndzhohohato hi ku omisa","njhorhohato hi ku omisa","",""
"dysentery","","","disenterie","","","","","","utyatyazo","","","","sisu leselekako","umsheko lonengati","","","isirhudo","indenebomvu","","malamahibidu","","","","mokokomalo","","tengkhwibidu","","","letshollo le lefubedu","","","ṋowakhulu","","","","","","nchuluko","hudo {nhlamba}","",""
"dysmenorrhoea {painful menstruation}","","","dismenorree","menstruasiepyn","pynlike maandstonde","","","","isiluma","","","","silumo","","","","isilumo","","","selomikgweding","selomitlhatso","","","selomi","","disimenoriya","","","selomi","","","tshilumi","","","","","","xilumi","","",""
"earache","otalgia","","oorpyn","otalgie","","","","","okuqaqamba kweendlebe","","","","buhlungu bendlebe","","","","ubuhlungu bendlebe","","","kopelotsebe","","","","bohlokotsebe","","","","","ho opa ha tsebe","","","vhuṱungu ha nḓevhe","vhuṱungu ha nḓevhe","","","","","ku vava ka ndleve","","",""
"ear drops","","","oordruppels","","","","","","iyeza lendlebe","","","","ematfonsi endlebe","","","","isihlahla sokuthontisela ngeendlebeni","amathosana weendlebe","","marothoditsebe","","","","sehlarerothetšatsebe","","","","","meriana e rothetsang ka ditsebeng","","","mushonga wa nḓevhe","","","","","","xithoniselwandleveni","","",""
"earplug","","","oorpluisie","oorprop","","","","","isivingcindlebe","","","","sivalindlebe","","","","isivalindlebe","","","sethibatsebe","","","","sethibatsebe","","","","","sethibatsebe","","","tshithivhanḓevhe","tshivalanḓevhe","","","","","xipfalandleve","","",""
"effective dose","ED","","doeltreffende dosis","doelmatige dosis","effektiewe dosis","","","","umlinganiselo osebenzayo","","","","silinganisomutsi lesisebentako","","","","isilinganiselosihlahla esisebenzako","","","mothamo wa kalafo","tekanyetsamolemo sa kalafo","","","tekanyohlarephodišo","","","","","tekanyo e fodisang","","","phimotswikelandivho","","","","","","mpimamurhindzinganelo","","",""
"effervescent tablet","","","bruistablet","","","","","","ipilisi ehlwahlwazayo","","","","liphilisi leliphuphumako","liphilisi lelibilako","","","ipilisi elibhubhudlhako","ipilisi elibilako","","pilisitlhaologi","","","","philisipilošameetse","","","","","pidisi e tshikgunyang","","","philisiphuphumi","","","","","","philisin'okisiwa","","",""
"elastic adhesive bandage","","","rekbare kleefverband","elastiese kleefverband","","","","","ibhandeji encamathelayo enwebekayo","","","","ibhandishi lenamatsela ibuye inwebeke","","","","ibhanditjhi enamathelako etamulukako","","","sefapo sa semamaredi-sengaologi","","","","pandetšekgomarelotaramologa","","","","","setlamisi se kgomarelang","bandeije e kgomarelang","petjhe","banditshitatamuwa","","","","","","bandichintsanyukadama","","",""
"elastic stocking {e.g. for patients with varicose veins}","compression stocking","","rekkous","elastiese kous","","","","","iikawusi ezihambisa igazi","","","","lisokisi lelicindzetelako","","","","ikowusi lokwelapha","","","kaususengaologi","","","","makušatshepetšomadi","","","","","kausu e sarolohang","","","swogisitatamuwa","","","","","","sokisiximanyela","","",""
"electrodialysis","ED","","elektrodialise","","","","","","ucocogazi esibhedlele","ucocogazi ngomatshini","","","kuhanjiswa kwemamolekhuli ngagezi","","","","indlela yokuhlambulukisa","i-ilekthrodayilisisi","","munoleswe ka motlakase","munometsi ka motlakase","","","elekhetherodaelesese","","","","","monyolloditshila mading ka motjhini","eletrodaelesese","","eḽekitrodaiḽisisi","eḽektrodaiḽisisi","","","","","elekitirodayilisisi","","",""
