id,eng__001,eng__002,eng__003,afr__001,afr__002,afr__003,afr__004,afr__005,afr__006,xho__001,xho__002,xho__003,xho__004,ssw__001,ssw__002,ssw__003,ssw__004,nde__001,Setswana__-,nde__002,nde__003,nso__001,Sesotho__-,nso__002,nso__003,nso__004,ven__001,ven__002,ven__003,ven__004,ven__005,ven__006,tso__001,tso__002,tso__003,tso__004
dsac_pharm_first_00087,bioequivalence,biological equivalence,BE,bioëkwivalensie,bio-ekwivalensie,biologiese ekwivalensie,biologiese gelykwaardigheid,,,ukusebenza ngokufanayo kwamachiza,,,,kusebentakufana kwetidzakamiva,,,,ukusebenza ngokufana kweenhlahla,,,,tekantšhohlaremmele,,,,,mbambedzo ya kushumele kwa mishonga kha zwi tshilaho,,,,,,ndzinganomatirhelo emirini,,,
dsac_pharm_first_00088,biohazard,biological hazard,,biogevaar,biologiese gevaar,,,,,ubungozi kokuphilayo,,,,bungoti kulokuphilako,,,,ubungozi kokuphilako,,ingozi kokuphilako,,kotsipheding,,,,,khombo kha zwi tshilaho,,,,,,swa nghozi eka swihanyi,xungetarihanyo,,
dsac_pharm_first_00089,biological indicator {pharmacology},bio-indicator,BI,biologiese aanwyser,bioaanwyser,,,,,isiqinisekisimo yokusebenza komzimba,,,,inkhombakuhlanteka,inkhomba yekungabi nemagciwane,,,ikombakuhlwengeka,,ikombakuphepha,,tšhupotlhweko,,,,,tsumba u kuna ha tshibveledzwa,,,,,,xikombanxuviwo,,,
dsac_pharm_first_00090,biological marker,biomarker,,biologiese merker,biomerker,,,,,isiphawuli semompilo,,,,luphawu lwesimomphilo,,,,isitjengiso sokulawuleka kwesifo,,,,taetšopaktheria,,,,,tsumbanyimele ya mutakalo,,,,,,xikombaxiyimo xa rihanyo,,,
dsac_pharm_first_00091,biological medicine,biomedicine,,biologiese medisyne,biomedisyne,,,,,iyeza elenziwa ngokuphilayo,,,,umutsi lowentiwe ngalokuphilako,,,,isihlahla esenziwe ngokuphilako,,ukwelapha ngokwesayensi,,sehlaresetšwadipheding,,,,,mushinga u bvaho kha zwi tshilaho,,,,,,murhi wo huma eka xihanyi,,,
dsac_pharm_first_00092,bioprocessing,biological processing,,bioprosessering,biologiese prosessering,,,,,ukuvelisa kokuphilayo,,,,kukhicita ngalokuphilako,,,,ukukhiqiza ngokuphilako,,ukwenza ngokuphilako,,go tšwadiphedi,,,,,mveledza mushonga kha zwi tshilaho,,,,,,k’endla murhi hi swihanyi,,,
dsac_pharm_first_00093,biopsy,,,biopsie,,,,,,uxilongosicwibi,,,,kukhishelwalucwaningo kwelintfweshu,ibhayopsi,,,ukuhlola ngokutshephula isitho,,ibhayopsi,,nyakišišothišu,,payopisi,,,u bvisa kupiḓa kwa u ṱola,bayopisi,,,,,bayopisi,,,
dsac_pharm_first_00094,biosimilar,biological similar medical product,,biogelyksoortige middel,,,,,,umyelelachiza,umyelelayeza,,,umkhicitofana,,,,ukufana kweenhlahla,,,,tšwanohlarepheding,,,,,mishongamveledzwa nga zwitshilaho i no fana,,,,,,swiendliwafanana hi swihanyi,swimakiwafanana hi swihanyi,,
dsac_pharm_first_00095,biowaiver,biological waiver,,biokwytskelding,biotoetskwytskelding,,,,,ibhayoweyiva,imvume ekhethekileyo yovelisoyeza,,,imvumo lekhetsekile yekusebenta kufana kwetidzakamiva,ibhayoweyiva,,,ukungenzi ilingelelo lokusebenza kwesihlahla,,,,tshelohlahlobohlare,,,,,ṋetshedzo ya thendelo ya u shuma nga zwi no fana,thendelo ya u linga mishonga,,,,,mpfumelelo wa ndzingetoxitlilinikali,,,
dsac_pharm_first_00096,bipolar disorder,,,bipolêre versteuring,bipolêre steurnis,,,,,iqwakaza,iphuku,,,buncobodvo,ibhayiphola,,,isivukavukani,,ipherhupherhukomizwa,,matsogedi,,baephola,,,vhulwadze ha baiphoḽa,,,,,,vuvabyi bya swipfukelwa,,,
dsac_pharm_first_00097,birth defect,,,geboortedefek,geboorte-afwyking,,,,,ukuzalwa unesiphako,ubulima ozelwe nabo,,,kuchwala,kukhubateka,,,uburhole,,,,bogoletlhago,,,,,vhuhole ha u mbebo naho,vhuholefhalimbebwanaho,,,,,vutsoniwa,,,
dsac_pharm_first_00098,black-box warning {on the drug's label},,,gevaarwaarskuwing,swartraamwaarskuwing,,,,,isilumkiso sobungozi beyeza,,,,secwayiso sebungoti lobukhulu besidzakamiva,,,,isiyeleliso somphumela ongakalindeleki,,isiyeleliso somphumela wangeqadi,,selemošakotsi,,,,,tsivhudzamasiandaitwa,,,,,,xilemukisanghozi,,,
dsac_pharm_first_00099,bladder {organ},,,blaas,,,,,,isiniyi,,,,sinye,,,,isinye,,,,sebudula,,senya,,,dundelo,,,,,,thundelo,ndzhundzelo {nhlamba},,
dsac_pharm_first_00100,blindness,,,blindheid,,,,,,ubumfama,,,,bumphumphutse,kungaboni emehlweni,,,ubuphofu,,,,bofofu,,,,,vhupofu,,,,,,vubofu,,,
dsac_pharm_first_00101,blood bank,,,bloedbank,,,,,,uvimba wegazi,,,,sigciningati,libhangengati,silondvolotingati,silulungati,ibulungelo leengazi,,ibulungelongazi,,polokelomadi,,bokgobamadi,,,mbulungelo ya malofha,,,,,,vuhlayiselangati,,,
dsac_pharm_first_00102,blood clot,,,bloedklont,,,,,,ihlwili,,,,lihlwili,,,,ihlwili,,,,lehlwele,,nkgothomadi,,,govho,,,,,,ndhendhe,gadi ra ngati,,
dsac_pharm_first_00103,blood plasma,,,bloedplasma,,,,,,isiyilelogazi,iplazma yegazi,,,iplazima yengati,,,,iplazima yeengazi,,,,plasma ya madi,,,,,pulasima ya malofha,,,,,,pulasima ya ngati,,,
dsac_pharm_first_00104,bone marrow,,,beenmurg,,,,,,umongo,,,,umnkantja,,,,ummongo,,,,mooko,,,,,mwongo wa rambo,,,,,,mongo,,,
dsac_pharm_first_00105,booster dose,,,versterkdosis,onderskragingsdosis,,,,,umyinge wokomeleza,umlinganiselo wokomeleza,,,silinganisomutsi lesengetiwe,umtsamomutsi lowengetiwe,,,isilinganiso esingezelelako,,,,sematlafatšahlare,,,,,phimonyengedzedzo dza maswole a muvhili,,,,,,mpimamurhiengetelo,,,
dsac_pharm_first_00106,brace,,,stut,,,,,,isilungelelanisi,isisekeli,,,sisekeli,silungisi,,,isisekelimathambo,,umqabo,,sethekgi,,,,,kwilidzitsike,tsombo,tshiṱangu,,,,xihlangalala,xihakahlwa,,
dsac_pharm_first_00107,bradycardia {unusually slow heartbeat},brachycardia,,bradikardie,bragikardie,,,,,ukubetha kwentliziyo ngokucothayo,,,,kushaya kancane kwenhlitiyo,,,,ukubetha kabuthaka kwehliziyo,,ukubethela phasi kwehliziyo,,pelosebetha ka go nanya,,,,,u thidivhitho nga u ongolowa,,,,,,mbho wa mbilu hi ku nonoka,,,
dsac_pharm_first_00108,brain damage,,,breinskade,,,,,,ukwenzakala ebuchotsheni,,,,kulimala kwebucopho,,,,ukulimala kobuqopho,,,,kgobalobjoko,,,,,fuvhalo kha vhuluvhi,,,,,,mbaviseka-byongo,,,
dsac_pharm_first_00109,brand-name drug,,,handelsmerkmedisyne,handelsmerkmedikasie,,,,,igama loshishino lechiza,,,,luphawugama lwemutsi,,,,ibizomvezo lesihlahla,,,,leinatshwayohlare,,leina la sehlare,,,dzinavhuvhambadzi ḽa tshidzidzivhadzi,,,,,,xidzidziharisivitomumaki,,,
dsac_pharm_first_00110,breast pump,,,borspomp,,,,,,isikhamimabele,,,,sikhamimabele,,,,isikghamimabele,,,,segamamatswele,,,,,tshihama maḓamu,,,,,,xikamavele,,,
dsac_pharm_first_00111,brittleness {pharmaceutics},,,brosheid,,,,,,izinga lobukrwabakrwaba,izinga lobuqwabaqwaba,,,kwephuka kalula,,,,ukuqephuka lula,,,,thobegonolo,,,,,dzhenzheḓa,,,,,,vutshoveka-ku-olova,,,
dsac_pharm_first_00112,bronchitis,,,brongitis,,,,,,iphika,,,,lukhwehlekhwehle,,,,isifo sokuvaleka kwemithambo yamaphaphu,,ibhronkhayithisi,,tšhatšhamelothurugo phaepheswafo,,poronkhaithisi,,,vhuvalwakhana,bronkhaithisi,,,,,mpfimbaxinkolwana,ndzhumbelaxinkolwana,,
dsac_pharm_first_00113,bronchodilator,,,brongodilator,lugpypverruimer,,,,,isivulimiphunga,isivulisifuba,,,sivulamaphaphu,,,,isivulimithambo samaphaphu,,,,sethušapuladiphaephe swafo,,sethibolla mafahla,,,tshivulakhana,,,,,,xipfulaxinkolwana,,,
dsac_pharm_first_00114,bruise,contusion,,kneusplek,kneusing,kneus,,,,umgruzuko,,,,umhubuko,lidvuma,ingongoma,umvimbo,ibala lokubetheka,,ibala lokuqhula,,matetelo,,,,,u khuvhuwa,u khuzuwa,u khuruwa,,,,felangati,,,
dsac_pharm_first_00115,bulimia {disturbance in eating behaviour},,,bulimie,,,,,,isigulo sokuzigabhisa,ibhulimiya,,,sifo sekudla utihlantise,,,,isifo sokudlela ukuhlanza,,ibhulimiya,,pulimia,,,,,buḽumia,,,,,,bulimiya,,,
dsac_pharm_first_00116,bunion,,,knokkel,,,,,,ibhanyanisi,,,,likhona,,,,ibhaniyoni,,,,paniyone,,,,,buniyoni,khontsi,,,,,baniyoni,nghonokakhundzu,,
dsac_pharm_first_00117,calamine,,,kalamyn,,,,,,ikhalamayini,,,,ikhalamayini,,,,ikhalamayini,,,,khalamaene,,,,,khaḽamaini,,,,,,khalamayini,,,
dsac_pharm_first_00118,callus,callous,,eelt,kallus,,,,,ikonsi,,,,sikofu,,,,ikhonsi,,ikhona,,lephone,,letswabadi,,,phoṋe,khontsi,,,,,mbhonya,nhlavele,,
dsac_pharm_first_00119,calorie {diet},,,kalorie,,,,,,ikhalori,umlinganiselo mandla okutya,,,silinganiso mandla sekudla,ikhalori,,,ikhalori,,,,khalori,,,,,khaḽorisi,,,,,,khalori,,,
dsac_pharm_first_00120,camomile,chamomile,,kamille,,,,,,ikhemomayili,inxina,,,ikhemomayili,luhlobo lwemsutane,,,ikhemomayili,,,,khemomaele,,,,,khamomaiḽi,,,,,,khamomayili,,,
dsac_pharm_first_00121,camphor,,,kamfer,kanfer,,,,,ikhamfara,,,,ikhemfa,,,,ikhemfa,,,,khemfa,,,,,khemfa,,,,,,khemfa,,,
dsac_pharm_first_00122,cannula {e.g. tube to drain fluid from the body},,,kanule,,,,,,umbhobho wonyango,ikhanula,,,lishubhu,ikhanyula,,,ikhenyula,,,,khanyula,,,,,khanuḽa,,,,,,khanula,,,
dsac_pharm_first_00123,caplet,,,kaplet,,,,,,ipilisi ebumbhoxo,ipilisi embhuntshuntshu,,,liphilisi lelidze,ikhaphulethi,,,ipilisi,,ikheplethi,,khapolete,,,,,khephuḽethe,,,,,,khepulete,,,
dsac_pharm_first_00124,capping {tablet making},,,dekselvorming,,,,,,ukwahluka kubini kwepilisi,,,,kucetuka kweliphilisi,,,,isivalo sepilisi,,,,phošo philising,,,,,u fhandekana ha philisi,,,,,,mphemuko,nkwamuko,,
dsac_pharm_first_00125,capsule {medicine},,,kapsule,,,,,,ipilisi engumaselwanesingxobo,ikhepsuli,,,liphilisisalibhosho,,,,ikhepsuli,,ipilisi,,khephisulu,,khepsule,,,khephusuḽu,,,,,,khepisulu,,,
dsac_pharm_first_00126,carcinogen {cancer-causing substance},,,karsinogeen,kankerverwekkende stof,kankerverwekker,,,,iiseli zomhlaza,ikhasinojeni,,,sibangamhlata,sibangamdlavuta,ikhasinojeni,,isibangelikankere,,ikhasinojeni,,sebakakankere,,sehlolakankere,,,tshivhangapfuko,tshivhangakhentsara,khasinodzheni,,,,xivangamfukuzana,khasinojeni,,
dsac_pharm_first_00127,cardiovascular drug,,,kardiovaskulêre medisyne,kardiovaskulêre geneesmiddel,,,,,ichiza lesifo sentliziyo,,,,sidzakamiva lesihlobene nenhlitiyo,,,,iselaphi sesifo sehliziyo nemithambo,,iselaphi sobulwele behliziyo nemithambo,,seokobatšabolwetšipelo,,,,,tshidzidzivhadzi tsha u thivhela vhulwadze ha mbilu,,,,,,xidzidziharisi xa vuvabyi bya mbilu,,,
dsac_pharm_first_00128,cascara {laxative},,,kaskara,,,,,,ikhaskhara,,,,ikhasikhara,,,,ikhaskhara,,,,khasikhara,,khaskhara,,,khasikhara,,,,,,khasikara,,,
dsac_pharm_first_00129,castor oil,,,kasterolie,,,,,,ikastroyile,,,,woyela wemhlafutfo,ikhasta oyili,,,ikastroli,,,,kasetoroli,,,,,khasiṱa oiḽi,,,,,,mafurha ya nhlampfurha,,,
dsac_pharm_first_00130,catheter,,,kateter,,,,,,umbhobho wokuchamisa,ikhathetha,,,lishubhu lekufaka nekukhipha luketjeti emtimbeni,,,,itjhubhu elisikhambisi sokusamanzi emzimbeni,,ikhathetha,,khathetha,,,,,tshibvisa tshiluḓi muvhilini,khathyetha,,,,,xikokachelaswihalaki,,,
dsac_pharm_first_00131,central nervous system,CNS,,sentrale senuweestelsel,sentrale senustelsel,SSS,,,,imithamboluvo engundoqo,,,,umsukaluhlelomiva,,,,irherhomizwa lobuqopho nomgogodlha,,,,mokgwapeakanyomegalatšhikagare,,,,,sisṱeme ya vhuṱaledzi lwa vhukati,,,,,,sisitemekulu ya longobyongo,,,
dsac_pharm_first_00132,centrifugation,,,sentrifugering,sentrifugasie,,,,,ukuhluzwa kwegazi,,,,kuhlunga,kusefa,,,ukutshega,,,,kgaogantšhotswako,,,,,khethekhanyo ya zwiluḓi zwi no leluwa na zwi sa leluwi,,,,,,vuhambanisaswitiswivevuki,,,
dsac_pharm_first_00133,centrifuge {machine or device},,,sentrifuge,sentrifugeerder,,,,,isihluzigazi,,,,lihluto,,,,umtshini wokutshega,,,,searogantšhametswako,,sekgaoantšhatswako,,,mutshini wa u fhambanisa zwi no leluwa na zwi sa leluwi,,,,,,xihambanyisaswitiyiswivevuki,,,
dsac_pharm_first_00134,cerebral palsy,,,serebrale gestremdheid,serebrale parese,,,,,ulimalobuchopho,,,,bubungu,,,,ukukhubazeka kobuqopho,,,,bogolofadi bja go hlolwa ke kgobalo ya bjoko,,kgolofalobjoko,,,fuvhalo kha vhuluvhi ha phanḓa,,,,,,vutsoniwapfabyongweni,,,
dsac_pharm_first_00135,child-resistant packaging,,,kinderbestande verpakking,,,,,,engenakuvulwa ngumntwana,,,,lokungeke kuvulwe ngumntfwana,,,,ukuvala ngokuvikela abantwana,,,,sekhurumelotšhitabana,,,,,vhutsireledzavhana,,,,,,mpangansirhelelo eka vana,,,
dsac_pharm_first_00136,child's dose,pediatric dosage,,pediatriese dosis,kinderdosis,,,,,umlinganiselo wabantwana,,,,silinganisomutsi semntfwana,umtsamomutsi wemntfwana,,,isilinganiso sabantwana,,,,tekanyohlarengwana,,,,,phimamushonga wa vhana,,,,,,mpimamurhi wa vana,,,
dsac_pharm_first_00137,chipping {of tablet edges},,,afsplintering,,,,,,okuqhezuka,,,,kucetuka,,,,ukuqephuka,,,,kgetlogo,,,,,u peḓuwa,,,,,,mpetluko,,,
dsac_pharm_first_00138,chlorination {e.g. purifying water},,,chlorinering,chlorering,,,,,ucocomanzi ngeklorini,,,,kuhlanta ngeklorini,,,,ihlwengisomanzi ngetlorini,,,,tlhwekišomeetsekatlilorini,,,,,vhukunakisa maḓi nga kulorini,,,,,,mbhasiso hi tlilorini,,,
dsac_pharm_first_00139,cholesterol,,,cholesterol,,,,,,ikholesteroli,amafutha asegazini,,,ikholesteroli,,,,ikholesteroli,,,,kholeseterole,,,,,kholesiterolo,,,,,,kholesiterolo,,,
dsac_pharm_first_00140,chronic care,,,chroniese versorging,chroniese sorg,,,,,uzengezenge lonyango,,,,lunakekelokwelashwa lolungagcini,,,,itjhejo ngokwelatjhwa okungapheliko,,,,tlhokomelotelele,,tlhokomelokhroniki,,,ndondolo ya dzilafho ya nyimele i sa fheli,,,,,,vuongorigodzombela,nhlayisagodzombela,vutshungurigodzombela,
dsac_pharm_first_00141,cinnamon {medication},,,kaneel,,,,,,isinamoni,,,,isinamoni,,,,isinamoni,,,,sinamone,,,,,sinamoni,,,,,,sinamoni,,,
dsac_pharm_first_00142,circulatory shock {medical condition},,,sirkulatoriese skok,sirkulasieskok,,,,,ucothogazi lwethutyana,,,,sitsikameti lutungelelongati,,,,ukuthikamezeka komzombe weengazi,,ukuthikaziseka komzombe weengazi,,kgaotšotshepetšomadi,,kgaotšokabomadi,,,nyimelo ya u ya u ongolowa i so ngo ḓoweleaho,,,,,,hungutekondzhendzeleko wa ngati,,,
dsac_pharm_first_00143,circulatory system,,,bloedsomloopstelsel,bloedvatstelsel,bloedvaatstelsel,,,,inkqubo yojikelezisogazi,,,,luhlelo lwekutungeleta kwengati,,,,irherho lokukhanjiswa kweengazi,,ihlelo lokusebenza kwehliziyo,,mokgwapeakanyomadi,,,,,sisṱeme ya nyelelo ya malofha,,,,,,sisiteme ya ndzhendzeleko wa ngati,,,
dsac_pharm_first_00144,cleaning agent,,,skoonmaakmiddel,reinigingsmiddel,,,,,isicoci,,,,umutsisihlanti,umutsisigezi,,,isihlwengisi,,,,sehlwekiši,,,,,tshikunakisi,,,,,,xibasisi,,,
dsac_pharm_first_00145,clinical,,,klinies,,,,,,-phathelene nonyango,,,,-phatselene nekwelashwa,,,,-phathelene nesenzo sokwelapha,,,,-kalafo,,-bongaka,,,-ilafha,,,,,,-xitlilinikali,,,
dsac_pharm_first_00146,clinical response {caused by e.g. a drug, medicine, therapy},,,kliniese reaksie,kliniese uitwerking,,,,,ukusabela kunyango,,,,kusebenta kwekwelashwa,,,,umphumela wokwelatjhwa,,,,phetogotšwakalafong,,,,,u shuma ha ngalafho,,,,,,anguloxitlilinikali,,,
dsac_pharm_first_00147,closed joined length {of capsule},CJL,,lengte ná verseëling,,,,,,ubude bekhephsuli,,,,budze beliphilisisalibhosho,,,,ubude bekhepsuli elipheleleko,,ubude bekhepsuli,,khephisulutelele,,,,,vhulapfu ha khephusulu,,,,,,vulehinkatsanompfaleko,,,
dsac_pharm_first_00148,coagulation {to form blood clots},,,stolling,koagulering,koagulasie,,,,ukujiya kwegazi,,,,lushubongati,lutiyongati,,,ukujiya kweengazi,,ukwakheka kwehlwili,,themišomadi,,kgahlišomadi,,,u khekha ha malofha,,,,,,ntiyangati,,,
dsac_pharm_first_00149,coating {tablet making},,,bedekking,,,,,,ukuhombisa,ukugudisa ipilisi,,,luhucophilisi,,,,ukweleka ipilisi,,,,thetofatšophilisi,,go khoutha philisi,,,u khoutha,nḓodzaluvhemba,,,,,ntinto,,,
dsac_pharm_first_00150,coca leaf,,,kokablaar,,,,,,igqabi lekhowukha,,,,licembe lekhokha,,,,ikari lekhowukha,,,,letlakalakhoukha,,,,,ṱari ḽa khokhe,,,,,,tluka ra khokha,,,
dsac_pharm_first_00151,coconut oil,,,klapperolie,kokosolie,,,,,ioli yekhokhonathi,,,,emafutsa ekhokhonathi,i-oyili yekhokhonathi,,,amafutha wekhokhonathi,,i-oli yekhokhonathi,,oli ya khokhonate,,,,,oiḽi ya khokhonati,,,,,,mafurha ya khokhonatioli,,,
dsac_pharm_first_00152,cod liver oil,,,lewertraan,visolie,,,,,ioli yentlanzi,ikhodiliva oyile,,,emafutsa esibindzi senhlanti ikhodi,i-oyili yesibindzi senhlanti ikhodi,,,amafutha wesibindi sekhodi,,i-oli yesibindi sekhodi,,olibetehlapikhoto,,olibetekhoto,,,mapfura a tshivhindi tsha khovhe,,,,,,mafurha ya xivindzi xa khovhe,,,
dsac_pharm_first_00153,coeliac disease <Great Britain>,celiac disease,,seliakie,seliaksiekte,,,,,ukwaliwa yigluthini,ukuguliswa yigluthini,,,sifo sekwaliwa yigluthini,,,,ubulwele obubangwa yidlhuthini,,isifo esibangwa yidlhuthini,,aletšitluluthene,,,,,vhulwadze vhu vhangwaho nga glutheni,,,,,,rinyenyadlilutheni,,,
dsac_pharm_first_00154,colic {infants},,,koliek,,,,,,imfuxwa,injeqane,,,inongwana,mankhatjana,ikholikhi,,ikholikhi,,ummoya ongemathunjini,,go longwa,,kholiki,,,tshilala,,,,,,rivisana,,,
dsac_pharm_first_00155,combination product {pharmaceutics},,,kombinasieproduk,kombineermiddel,kombinasiemiddel,,,,imveliso eyintlanganisela,,,,sidzakamiva lesiyinhlanganisela,,,,umtjhoga,,umdidiyelo,,sehlaretswakophodišo,,,,,tshibveledzwaṱhanganywa,mushongavanganywa,,,,,ximakiwankatsano,,,
dsac_pharm_first_00156,common cold,cold,,gewone verkoue,verkoue,,,,,umkhuhlane,imfuxane,,,umkhuhlane,,,,umgomani,,umkhuhlani,,mokgohlane,,mpshikela,,,mukhushwane,duda,mphigela,,,,mukhuhlwana,,,
dsac_pharm_first_00157,co-morbid condition,co-morbidity,,komorbiede toestand,komorbiditeit,newesiektetoestand,,,,isigulo esibangelwa sesinye,,,,kugula lokukuphatsa kanye kanye,kugula lokuhambisanako,,,isifo esikhambisana nesinye,,ubulwele obukhambisana nobunye,,malwetšitšhikammogo,,malwetšikgwerano,,,vhulwadzembangwa nga vhuṅwe,,,,,,vuvabyifambisana,,,
dsac_pharm_first_00158,compounding {pharmaceutics},,,bereiding,samestelling,,,,,ukuxuba amachiza,,,,luhlanganisongco lwemitsi,ludidiyelongco lwemitsi,,,ukudidiyela isihlahla,,,,tswakantšhophilisi,,tlhakantšhohlare,,,thimbwana,u ṱanganyisa,,,,,vuhlanganisi,,,
dsac_pharm_first_00159,compressed tablet,,,tablet,,,,,,ipilisi ecinezelweyo,,,,liphilisi lelicindzetelwe,liphilisi lelingcingciwe,,,ipilisi eligangadelweko,,,,philisipateletšwa,,,,,philisiphwanywa,philisikhwanywa,,,,,philisi ro gandliwa,,,
dsac_pharm_first_00160,concomitant medication,,,bygaande medikasie,medewerkende medisyne,,,,,iyeza eliselwa nelinye,,,,imitsi lesetjentiswa kanye kanye,,,,iinhlahla ezingalaniko,,,,dihlarenwewammogo,,,,,mishonga mishumiswa yoṱhe,mishongatshumiswanyangaredza,,,,,mirhifambisana,,,
dsac_pharm_first_00161,congenital <adj.> {e.g. condition, disease present at birth},,,aangebore,kongenitaal,,,,,-vele nayo,-zelwe nayo,,,-telwe nako,,,,-belethwe nakho,,-bangelwe libhoduluko,,-belegago nabjo,,-tswalwago nabjo,-tlhago,,doledza,bebwanaho,,,,,-tekeleriwa,-velekiwanabyo,,
dsac_pharm_first_00162,congestion {e.g. nasal congestion},,,stuwing,kongestie,,,,,ukuxinana,,,,kuvimbana,kucinana,,,ukuvaleka,,ukuvimbana,,go thibana,,,,,u valea,u thivhea,,,,,mpfaleko,,,
dsac_pharm_first_00163,constipation,,,hardlywigheid,konstipasie,,,,,okuqhinwa,,,,kucumba,kucinana kwesisu,,,ukuparelwa,,,,pharelo,,,,,muzwimbelo,,,,,,mpfimbelo,nqumbho,,
dsac_pharm_first_00164,containment {e.g. in drug manufacturing},,,inperking,,,,,,uthinteloxubano,,,,luvikelomitsi,luvikelosimo lwemitsi,,,ivikelekobhoduluko leenhlahla,,,,tšhireletšohlare,,,,,tsireledzo ya fhethu ha zwidzidzivhadzi,,,,,,nsirhelelanthyakiso,,,
dsac_pharm_first_00165,continuity of care,,,aaneenlopendheid van sorg,kontinuïteit van sorg,,,,,unyango oluqhubayo,,,,lunakekelokwelashwa loluchubekako,,,,itjhejo lokwelatjhwa eliragela phambili,,,,tlhokomelotšwetšopele,,,,,ndondolomvelaphanḓa,,,,,,ku yisiwa emahlweni ka vuongori,ku yisiwa emahlweni ka vutshunguri,ku yisiwa emahlweni ka nhlayiso,
dsac_pharm_first_00166,contraindication,counter-indication,,teenaanduiding,kontraïndikasie,kontra-indikasie,,,,ukhabano kunyango,,,,simo lesivimbela kwelashwa,simo lesingavumeli kwelashwa,,,okuphambana nobujamo,,okungavumelani nobujamo,,thulanokalafo,,tšhupothulano,,,nyiledzadzilafho,,,,,,nkantirhisano,,,
dsac_pharm_first_00167,controlled trial,,,gekontroleerde proef,beheerde proef,,,,,ulingoyeza ngothelekiso,,,,lucwaningokulinganisa,,,,ilingelelomadaniso elilawulwako,,ilingelelolinganiso elilawulwako,,tekopapišo,,,,,ndingo mbambedza mashumele,,,,,,ndzingeto lowu lawuriwaka,,,
dsac_pharm_first_00168,co-payment {e.g. for medical services received},,,bybetaling,,,,,,ugcwalisontlawulo,,,,inkhokhelo leyengetwa sigulane,inkhokhelo lebhadalwa sigulane,,,imbadalongezelelo,,imbadalohlanganyela,,tefelotlaleletšo,,,,,mbadelonyingwa,mbadelophaphwa,,,,,hakeloengetelo,hakelontlhandlekelo,,
dsac_pharm_first_00169,coronary heart disease,,,koronêre hartsiekte,hartvatsiekte,,,,,isifo semithambo yentliziyo,,,,sifo semitsambo yenhlitiyo,,,,ubulwele bemithambo yehliziyo,,isifo semithambo yehliziyo,,bolwetšitšhikapelo,,,,,vhulwadze ha tsinga dza mbilu,,,,,,vuvabyi bya misiha ya mbilu,,,
dsac_pharm_first_00170,cost-free medicine,,,gratis medisyne,gratis medikasie,,,,,iyeza elingahlawulelwayo,,,,umutsi wamahhala,umutsi longakhokhelwa,,,isihlahla esingabhadalwako,,,,dihlarehlokatefo,,,,,mushonga wa mahala,mushongatshayambadelo,,,,,mirhi ya mahala,,,
dsac_pharm_first_00171,cough <n.>,,,hoes,,,,,,ukhohlokhohlo,,,,kukhwehlela,,,,ukukhohlela,,,,go gohlola,,,,,tshihoṱola,,,,,,nkhohlolo,,,
dsac_pharm_first_00172,counterfeit medicine,,,vervalste medisyne,,,,,,iyeza lomgunyathi,,,,umutsimbumbulu,,,,isingasihlahla,,,,dihlarefeiki,,dihlarebofora,,,mishonga i si ya vhukuma,,,,,,mufututu,murhi wa vuxisi,,
dsac_pharm_first_00173,cross contamination {of e.g. drugs},,,kruiskontaminering,kruiskontaminasie,,,,,ungcoliswano,,,,kusulelana kwetidzakamiva,,,,iqaphazelelwano,,ithelelwano,,tshwaetšano,,tshwaetšoputla,,,tshikafhadzano ya mishonga,,,,,,nthyakisano,ntluletano,,
dsac_pharm_first_00174,culture medium,,,kweekmedium,kweekbodem,kultuurmedium,,,,isivundisintsholongwane,,,,imbiliso,,,,isikhulisi semayikhrooganizimu,,,,segodišapaketheria,,sefepapaketheria,,,tshialusasele,tshialusatsiki,,,,,xikurisaswitsongwatson-gwana,,,
dsac_pharm_first_00175,curative dose,CD,,genesende dosis,,,,,,umlinganiselo olingene ukuphilisa,,,,silinganisomutsi leselaphako,umtsamomutsi lowelaphako,,,isilinganiso esipholisako,,,,tekanyohlarephodišo,,,,,phimo ya i no fholisa,phimofhodza,,,,,mpimamurhi wo horisa,,,
dsac_pharm_first_00176,cystic fibrosis,CF,,sistiese fibrose,,,,,,iqhuma elinamanzi esibelekweni,,,,simila lesinemanti,isistiki fayibhrosisi,,,isistikhifayibhrosisi,,i-cystic fibrosis,,sisitiki faeporosisi,,sisitiki faeprosisi,,,saistikifaiburosisi,,,,,,tshumbaxifayiburosisi,sisitikifayiburosisi,,
dsac_pharm_first_00177,cytotoxin,,,sitotoksien,selgif,sitotoksine,,,,isityhefiseli,,,,butsitinhlayiya,,,,itjhefu esemaselini,,isayithothokzini,,mpholosele,,,,,mulimo kha tsiki,mulimo kha sele,,,,,chefu ya tisele,,,
dsac_pharm_first_00178,day hospital,,,daghospitaal,,,,,,isibhedlele sasemini,,,,sibhedlela lesingalalisani,,,,isibhedlela semini,,,,bookelotšatši,,,,,sibadela tsha ḓuvha,vhuongelo ha ḓuvha,,,,,xibedhlelenkalato,,,
dsac_pharm_first_00179,decontamination,,,dekontaminering,dekontaminasie,,,,,ukususa ungcoliseko,,,,kuhlanta,kuhlobisa,,,ihlwengiso,,,,tlhwekišo,,,,,u bvisa tshikafhadzo,vhubvisatshikafhadzo,,,,,ntengiso,,,
