"eng__001","eng__002","eng__003","eng__004","eng__005","afr__001","afr__002","afr__003","afr__004","afr__005","zul__001","zul__002","zul__003","xho__001","xho__002","xho__003","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","nde__004","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","nso__002","nso__003","sot__001","sot__002","ven__001","ven__002","ven__003","ven__004","tso__001","tso__002","tso__003","tso__004"
"deregistration","","","","","deregistrasie","","","","","ukusulwa","","","ukukhutshwa kuluhlu lwabavoti","","","kwesula eluhlwini","","","","ukusulwa","","","","phimolokwadiso","","","","go ntšhwa","phumolo","","hlakola boingodisong","","u phumulwa","","","","nsulo wa ntsariso","","",""
"designation","","","","","benoeming","aanwysing","","","","ukuqoka","","","ukubeka esikhundleni","","","kucoka","kukobola","","","ukubeka","ukukhetha","","","tshupokemo","","","","go fa maemo ao a itšego","","","ho thonya","","u ta","u topola","","","ku nyikiwa ntirho","","",""
"direct democracy","","","","","regstreekse demokrasie","","","","","intando yabantu ngqo","","","urhulumente olawulwa ngabantu","","","intsandvo yekutikhetsela ngco","","","","idemokhrasi yokuzijamela","intando yenengi yokuzijamela","","","demokerasitlhamalalo","temokerasitlhamalalo","","","temokerasi ya seboka","","","demokerasi ka kotloloho","","dimokhrasi ya vhuḓiimeli","","","","demokirasi yo tiyimela","","",""
"direct district representation","","","","","regstreekse distriksverteenwoordiging","","","","","ukumeleleka ngqo kwesifunda","","","umelo ngokommandla","","","bamelelisigodzi","","","","abajameli besiyingi","","","","kemedikgaolotlhamalalo","","","","kemedithwii ya selete","","","boemedi ba setereke ka kotloloho","","vhuimeli ha tshiṱiriki ho livhanaho","vhuimeli ha tshiṱiriki thwii","","","vuyimeri bya xifundza","","",""
"discrimination","","","","","diskriminasie","diskriminering","","","","ukubandlulula","","","ucalucalulo","","","kubandlulula","umbalandlati","","","ukukhetha","ukubandlulula","","","tlhaolele","tlhophololo","","","kgethologanyo","","","kgethollo","","khethululo","tshiṱalula","","","xihlawuhlawu","","",""
"disenfranchise","disfranchise","","","","ontkieser","stemreg onneem","","","","ukuphuca ilungelo lokuvota","","","ukoxuthwa ilungelo lokuvota","ukohluthwa ilungelo lokuvota","","ncisha lilungelo lekuvota","emuka lilungelo lekuvota","","","-dima ilungelo lokuvowuda","","","","kganela","thibela","tima","","ganetša tokelo ya go bouta","","","-thibela ho kgetha","","ṱhangulo ya pfanelo dza u vouta","ṱhangulo ya pfanelo dza u khetha","","","hlawula","ku tekeriwa mfanelo yo vhota","",""
"dispensation {political}","","","","","bedeling","bestel","","","","uhlelo lombuso","","","ixesha lombuso","","","sikhatsi kubusa","","","","isikhathi sombuso","","","","mokgwapuso","mokgwatsamaiso","","","mokgwapušo","","","puso","","nyimele ya poḽotiki ya tshifhinga tshenetsho","","","","nkarhi","","",""
"disputed ballot","","","","","betwiste stembrief","","","","","iphepha lokuvota elinongabazane","","","iphepha lokuvota elikhwinisayo","","","liphepha lekuvota lelisolwako","","","","iphepha lokuvowuda elisolisako","ibhalothi elisolisako","","","balotokganetsano","","","","bouto ya go belaetša","","","kgetho e belaetsang","","bammbiri ḽa u voutela ḽa mbangisano","bammbiri ḽa u khethela ḽa mbangisano","","","phepha ro hlawulela leri kanetiwaka","phepha ro vhotela leri kanetiwaka","baloto leyi kanetiwaka",""
"dissident","","","","","andersdenkende","","","","","ophikisana nombuso","","","ivukela-mbuso","umnxaxhi","","licembu lelivukela umbuso","lidlanzana lelivukela umbuso","","","umphikisimbuso","","","","baganetsi","baemakgatlhanong","","","moganetšapušo","","","mahanapuso","","ḽivhanga","","","","ntlawa wa vakaneti","","",""
"distribution requirement","","","","","verspreidingsvereiste","","","","","isidingo sokuphumelela","","","imfuneko yokuphumelela ngenkxaso egqibeleleyo","","","sidzingo sekuphumelela","","","","ifuneko yokuthumba","","","","tlhokegokabo","","","","senyakwa sa phatlalatšo","","","pehelo ya tlholo","","ṱhoḓea dza phaḓaladzo","","","","xilaveko xo humelela","","",""
"district boundary","","","","","distriksgrens","","","","","umngcele wesifunda","","","umda wesithili","","","umncele wesigodzi","umnyele wesigodzi","","","umkhawulo wesiyingi","","","","molelwane kgaolo","","","","mollwane wa selete","","","moedi wa setereke","","mukano wa tshiṱiriki","","","","ndzelekana wa xifundza","","",""
"district council","","","","","distriksraad","","","","","umkhandlu wesifunda","","","ibhunga lesithili","","","umkhandlu wesigodzi","","","","umkhandlu wesiyingi","","","","lekgotla kgaolo","khanselekgaolo","","","khantshele ya selete","","","khansele ya setereke","lekgotla la setereke","khoro ya tshiṱiriki","","","","huvo ya xifundza","khansele ya xifundza","",""
"district electoral officer","","","","","distrikverkiesingsbeampte","","","","","obhekelela ukhetho lwesifunda","","","igosa lonyulo lesithili","","","umphatsi wetelukhetfo lwesigodzi","","","","isiphathiswa sezamakhetho sesiyingi","","","","motlhankeditlhopho wa kgaolo","","","","mohlankedi wa dikgetho wa selete","","","mohlanka wa dikgetho seterekeng","","muofisiri wa khetho kha tshiṱiriki","","","","muofisiri wa nhlawulo wa xifundza","","",""
"district magnitude {number of members}","","","","","distrikgrootte","","","","","isibalo samalungu azokhethwa esifundeni","","","inani lamalungu aza konyulwa kwisithili","","","linani lemalunga latawukhetfwa esigodzini","","","","inani lamalunga azokukhethwa esiyingini","","","","bogolotlhophi jwa kgaolo","","","","palo ya bonkgetheng ba selete","","","palo ya bakgethwa seterekeng","","tshivhalo tsha vhonkhetheni","","","","nhlayo ya swirho leswi faneleke ku hlawuriwa eka xifundza","","",""
"district municipality","","","","","distriksmunisipaliteit","","","","","umasipala wesifunda","","","umasipala wesithili","","","masipaladi wesigodzi","","","","umasipaladi wesiyingi","","","","mmasepala wa kgaolo","","","","mmasepala wa selete","","","masepala wa setereke","","masipala wa tshiṱiriki","","","","masipala wa xifundza","","",""
"district officer","","","","","distriksbeampte","","","","","obhekelela ukhetho esifundeni","","","igosa lesithili","","","umphatsisigodzi","","","","isiphathiswa sesiyingi","","","","motlhankedikgaolo","","","","mohlankedi wa selete","","","mohlanka wa dikgetho seterekeng","","muofisiri wa tshiṱiriki","","","","muofisiri wa xifundza","","",""
"door controller","","","","","deurkontroleur","deurkontroleerder","","","","umlawulimnyango","","","olawula emnyango","","","umlawulimnyango","","","","umlawulimnyango","","","","molaolakgoro","molaolabotseno","","","molaodi wa monyakong","","","molaodi wa monyako","","mulangavhudzheno","","","","mulawularivanti","","",""
"elect","","","","","verkies","","","","","ukukhetha","","","nyula","","","khetsa","vota","","","-khetha","","","","tlhopha","","","","kgetha","","","-kgetha","","khetha","vouta","","","hlawula","","",""
"elected member","","","","","verkose lid","","","","","okhethiwe","","","ilungu elinyuliweyo","","","lilunga lelikhetsiwe","","","","ilunga elikhethiweko","","","","tokololotlhotswa","","","","leloko leo le kgethilwego","","","mokgethwa","","muraḓo o khethwaho","","","","xirho lexi hlawuriweke","","",""
"election","","","","","verkiesing","","","","","ukhetho","","","unyulo","","","lukhetfo","","","","ukukhetha","","","","ditlhopho","","","","dikgetho","","","dikgetho","","khetho","","","","nhlawulo","","",""
"election adjudication {resolving}","","","","","verkiesingsberegtiging","","","","","isixazululo sokhetho","","","ugwebo kwezonyulo","","","sisombululo ngelukhetfo","","","","isahlulelo sombango wamakhetho","","","","katlholotlhopho","","","","kahlolo ya dikgetho","","","boahlodi dikgethong","","vhulamukanyi ha khetho","","","","vuahluri bya nhlawulo","","",""
"election administration directorate","","","","","verkiesingsadministrasiedirektoraat","","","","","ihhovisi lobuqondisi bokuphathwa","","","igunya elilawula imicimbi yonyulo","","","luphiko lwekuphatsa lukhetfo","","","","iphiko lezokulawulwa kwamakhetho","","","","lephatatsamaisoditlhopho","","","","lefapha la taolo ya dikgetho","","","lekala la tsamaiso ya dikgetho","","ndaulo ya vhutshimbidzakhetho","","","","rhavi ra mafambiselo ya nhlawulo","","",""
"election administration division","","","","","verkiesingsadministrasieafdeling","","","","","uphiko lokuphathwa kokhetho","","","icandelo elilawula imicimbi yonyulo","","","luhlangotsi loluphetse lukhetfo","","","","ihlangothi lezokulawulwa kwamakhetho","","","","lekalatsamaisoditlhopho","","","","karolo ya taolo ya dikgetho","","","lekalana la tsamaiso ya dikgetho","","khethekanyo ya vhutshimbidzakhetho","","","","xiyenge xa mafambiselo ya nhlawulo","","",""
"election centre","","","","","verkiesingsentrum","","","","","isizinda sokhetho","","","iziko lonyulo","","","sikhungo selukhetfo","","","","isikhungo samakhetho","","","","sentharatlhopho","","","","senthara ya dikgetho","","","setsi sa dikgetho","","senthara ya khetho","","","","senthara yo hlawulela","","",""
"election date","","","","","verkiesingsdatum","","","","","usuku lokhetho","","","umhla wonyulo","","","lusuku lwelukhetfo","","","","umhla wekhetho","","","","letlha la ditlhopho","","","","letšatšikgwedi la dikgetho","","","letsatsi la dikgetho","","datumu ya khetho","","","","nkarhi wa nhlawulo","","",""
"election day","voting day","","","","stemdag","verkiesingsdag","","","","ilanga lokhetho","","","usuku lonyulo","usuku lokuvota","","lilanga lelukhetfo","","","","ilanga lekhetho","","","","letlhatlhopho","","","","letšatši la dikgetho","","","letsatsi la dikgetho","","ḓuvha ḽa khetho","","","","siku ra nhlawulo","siku ro vhota","",""
"election material","","","","","verkiesingsmateriaal","","","","","izinsiza zokhetho","","","izixhobo zonyulo","","","tisetjentiswa telukhetfo","","","","iinsetjenziswa zamakhetho","","","","ditlabakelo tsa ditlhopho","","","","didirišwa tša dikgetho","","","disebediswa tsa dikgetho","","tshomedzo dza khetho","","","","switirhisiwa swa nhlawulo","","",""
"election official","","","","","verkiesingsbeampte","","","","","isisebenzi sokhetho","","","igosa lonyulo","","","sisebenti elukhetfweni","","","","isiphathiswa sezamakhetho","","","","motlhankedi wa ditlhopho","","","","mohlankedi wa dikgetho","","","mohlanka wa dikgetho","","muofisiri wa khetho","","","","muofisiri wa swa nhlawulo","","",""
"election procedure","","","","","kiesprosedure","","","","","inqubo yokhetho","","","inkqubo yonyulo","","","inchubo yelukhetfo","","","","ikambiso yezamakhetho","","","","tsamaiso ya ditlhopho","","","","tshepedišo ya dikgetho","","","tsamaiso ya dikgetho","","matshimbidzele a khetho","","","","mafambiselo ya nhlawulo","","",""
"election process","","","","","verkiesingsproses","","","","","umgudu wokhetho","","","inkqubo yonyulo","","","inchubeko yelukhetfo","","","","indlelakambiso yezamakhetho","","","","tsamaiso ya ditlhopho","","","","tshepedišo ya dikgetho","","","tshebetso ya dikgetho","","maitele a khetho","","","","maendlelo ya nhlawulo","","",""
"election purpose","","","","","verkiesingsdoel","","","","","inhloso yokhetho","","","injongo yonyulo","","","inhloso yelukhetfo","","","","ihloso yekhetho","","","","maitlhomo a ditlhopho","","","","maikemišetšo a dikgetho","","","sepheo sa dikgetho","","ndivho ya khetho","","","","xikongomelo xa nhlawulo","","",""
"election result","","","","","verkiesingsuitslag","","","","","umphumela wokhetho","","","isiphumo sonyulo","","","umphumela welukhetfo","","","","umphumela wekhetho","","","","dipholoditlhopho","","","","dipoelo tša dikgetho","","","sephetho sa dikgetho","","mvelelo dza khetho","","","","mbuyelo wa nhlawulo","","",""
"election system","electoral system","","","","kiesstelsel","","","","","uhlelo lokhetho","","","imigaqo yonyulo","","","luhlelo lwelukhetfo","","","","irherho lekhetho","","","","thulaganyo ya ditlhopho","","","","mokgwatshepetšo wa dikgetho","","","mokgwa wa tshebetso dikgethong","","sisteme ya khetho","","","","matirhelo ya swa nhlawulo","","",""
"election timetable","","","","","verkiesingstydrooster","","","","","uhlelosikhathi lokhetho","","","uhlelo-xesha lonyulo","","","luhlelosikhatsi lwelukhetfo","","","","ihlelosikhathi lekhetho","","","","lenaneotsamaiso la ditlhopho","","","","lenaneo la dikgetho","","","lenane la tshebetso dikgethong","","tsumbazwifhinga ya khetho","","","","xikombamatirhelo xa nhlawulo","","",""
"election tribunal","","","","","verkiesingstribunaal","","","","","inkantolo yezokhetho","","","inkundla yemicimbi yonyulo","","","inkantolo yelukhetfo yesikhashana","","","","Ibandla lokuzibilayeza lamakhetho","","","","lekgotlana la ditlhopho","","","","lekgotlatshekelo la dikgetho","","","lekgotla la dinyewe tsa dikgetho","","khorokhaṱhuli ya khetho","","","","huvo ya nawu ya swa nhlawulo","","",""
"Electoral Act","","","","","Kieswet","","","","","Umthetho Wokhetho","","","iElectoral Act","","","Umtsetfo Wetelukhetfo","","","","umThetho wezamaKhetho","","","","Molao wa Ditlhopho","","","","Molao wa Dikgetho","","","Molao wa Dikgetho","","Mulayo wa Khetho","","","","Nawu wa swa Nhlawulo","","",""
"electoral advertising","","","","","verkiesingsreklame","","","","","ukukhangisa ngezokhetho","","","ukwazisa ngezonyulo","","","kukhangisa ngetelukhetfo","","","","ukukhangisa zamakhetho","","","","papatsoditlhopho","","","","kwalakwatšo ya dikgetho","","","papatso ya dikgetho","","vhukungedzeli ha khetho","","","","vunavetisi bya swa nhlawulo","","",""
"electoral agent","","","","","verkiesingsagent","","","","","ummeleli weqembu okhethweni","","","umququzeleli womgqatswa kunyulo","","","sitfunywa ngekwelukhetfo","","","","umjameli wezamakhetho","","","","moemedi wa ditlhopho","","","","moemedi wa dikgetho","","","moemedi wa mokga dikgethong","","zhendedzi ḽa khetho","","","","muyimeri wa nhlawulo","","",""
"electoral behaviour","","","","","kiesersgedrag","","","","","ukuziphatha ngesikhathi sokhetho","","","indlela yokuziphatha ngexesha lonyulo","","","kutiphatsa ngesikhatsi selukhetfo","","","","ukuziphatha ngesikhathi samakhetho","","","","maitsholoditlhophong","","","","maitshwaro nakong ya dikgetho","","","boitshwaro dikgethong","","vhuḓifari khethoni","","","","matikhomelo hi nkarhi wa nhlawulo","","",""
"Electoral Bill","","","","","Kieswetsontwerp","","","","","Umthethosivivinywa Wokhetho","","","uMthetho woNyulo osaYilwayo","","","Umtsetfosivivinywa Wetelukhetfo","","","","umThethomlingwa wezamaKhetho","","","","Molaotlhomo wa Ditlhopho","","","","Molaokakanywa wa Dikgetho","","","Setshwantsho sa Molao wa Dikgetho","","Mulayotibe wa Khetho","","","","Nawumbisi wa swa Nhlawulo","","",""
"Electoral Code of Conduct","","","","","Verkiesingsgedragskode","","","","","Indlela Yokuziphatha Yokhetho","","","uMgaqo wokuziPhatha ngexesha loNyulo","","","Indlela Yekutiphatsa ngesikhatsi Setelukhetfo","","","","ImiThetho yokuziPhatha kezamaKhetho","","","","Molawana wa Maitsholo ka nako ya Ditlhopho","","","","Molawana wa Boitshwaro wa Dikgetho","","","Molawana wa Boitshwaro Dikgethong","","Mulayo ya Vhuḓifari Khethoni","","","","Milawu ya Matikhomelo hi Nkarhi wa Nhlawulo","","",""
"Electoral Commission Act","","","","","Wet op die Verkiesingskommissie","","","","","Umthetho Wekhomishani Yokhetho","","","iElectoral Commission Act","","","Umtsetfo Wekhomishini Yelukhetfo","","","","umThetho weKomitjhini yezamaKhetho","","","","Molao wa Khomišhene ya Ditlhopho","","","","Molao wa Khomišene ya Dikgetho","","","Molao wa Khomishene ya Dikgetho","","Mulayo wa Khomishini ya Khetho","","","","Nawu wa Khomixini ya Nhlawulo","","",""
"Electoral Court","","","","","Verkiesingshof","","","","","Inkantolo Yezokhetho","","","iNkundla yamatyala oNyulo","","","Inkantolo Yelukhetfo","","","","iKhotho yezamaKhetho","","","","kgotlatshekelo ya ditlhopho","","","","Kgorotsheko ya Dikgetho","","","Lekgotla la Dinyewe tsa Dikgetho","","Khothe ya Khetho","","","","Huvo ya nawu ya swa Nhlawulo","","",""
"electoral formula","calculation of seats","","","","verkiesingsformule","","","","","indlela yokubala izihlalo","","","indlela yokwaba izihlalo ngokweevoti","","","indlela yekutfola tihlalo","","","","indlela yokuthola iinhlalo","","","","mokgwatlhopho","","","","mokgwaphetolelo ya dibouto go ditulo","","","fomula ya kabo ya ditulo","","fomuḽa ya khetho","","","","maavelo ya ku kuma switulu","","",""
"electoral fraud","","","","","verkiesingsbedrog","","","","","umkhonyovu okhethweni","","","ubuqhetseba kunyulo","","","umkhonyovu elukhetfweni","","","","ubukhwabanisi kezamakhetho","","","","tsietsoditlhophong","","","","boradia bja dikgetho","","","boqhekanyetsi dikgethong","","vhufhura ha zwa khetho","","","","vukanganyisi bya swa nhlawulo","","",""
"Electoral Institute for Sustainable Democracy in Africa","","","","","Verkiesingsinstituut vir Volhoubare Demokrasie in Afrika","","","","","Inhlangano Yokhetho Ebhekele Intando Yabantu E-Afrika","","","iZiko loNyulo elijongene noZinzo leNtando yesiNinzi eAfrica","","","sikhungo setelukhetfo","","","","iHlangano yezamaKhetho yeDemokhrasi eNzinzileko e-Afrika","","","","EISA","","","","EISA","","","EISA","","EISA","","","","EISA","","",""
"electoral law","","","","","kiesreg","","","","","umthetho wokhetho","","","umthetho wonyulo","","","umtsetfo wetelukhetfo","","","","umthetho wezamakhetho","","","","molao wa ditlhopho","","","","molao wa dikgetho","","","molao wa dikgetho","","mulayo wa khetho","","","","nawu wa swa nhlawulo","","",""
"electoral legislation","","","","","verkiesingswetgewing","","","","","ukushaywa komthetho wokhetho","","","uwiso-mthetho lwezonyulo","","","umtsetfo wetelukhetfo","","","","umthetho wezamakhetho","","","","molao wa ditlhopho","","","","peomolao ya dikgetho","","","molao wa dikgetho","","mulayo wa khetho","","","","nawu wa swa nhlawulo","","",""
"electoral officer","returning officer","","","","kiesbeampte","","","","","obhekele ukhetho","","","igosa lonyulo","","","sisebenti setelukhetfo","","","","isiphathiswa sezamakhetho","","","","motlhankedi wa ditlhopho","","","","mohlankedi wa dikgetho","","","mohlanka wa dikgetho","","muofisiri wa khetho","","","","mutirhi wa swa nhlawulo","","",""
"electoral qualification","","","","","kieskwalifikasie","","","","","izimfanelo zokhetho","","","iimfanelo zokuvota","","","tidzingo tekuvota","","","","iimfanelo zokuvowuda","","","","ditlhokego tsa ditlhopho","","","","maloka a go bouta","","","ditlhoko tsa ho kgetha","","ṱhoḓea dza khetho","","","","swilaveko swa muhlawuri","","",""
"electoral region","","","","","kiesstreek","","","","","isifundakazi sokhetho","","","ingingqi yonyulo","","","sigodzi setelukhetfo","","","","isiphande sekhetho","","","","kgaolotlhopho","","","","selete sa dikgetho","","","lebatowa la dikgetho","","dzingu ḽa khetho","","","","rhijini ya nhlawulo","","",""
"electoral ward","","","","","kieswyk","","","","","isigceme sokhetho","","","iwadi yonyulo","","","sigceme selukhetfo","","","","iwadi yekhetho","","","","kgorotlhopho","","","","wate ya dikgetho","","","wate ya dikgetho","","wadi ya khetho","","","","wadi ya nhlawulo","","",""
"electorate","","","","","kieserskorps","","","","","abavoti","","","abavoti","","","bakhetsi","","","","abavowudi","","","","batlhophi","","","","bakgethi","","","bakgethi","","vhakhethi","","","","vahlawuri","","",""
"eligible voter","","","","","stemgeregtigde","","","","","ofanele ukuvota","","","umvoti ofanelekileyo","","","umvoti lofanele","","","","umvowudi oneemfanelo","","","","motlhophi yo o dumeletsweng","","","","mokgethi wa maloka","","","mokgethi ya molaong","","muvouti o tendelwaho","","","","muhlawuri loyi a ringaneleke","","",""
"empowerment","","","","","bemagtiging","","","","","ukuhlomisa","","","uniko-gunya","","","kuhlomisa","","","","ukuhlomisa","","","","matlafatso","","","","matlafatšo","","","matlafatso","","vhuṋeamaanḓa","","","","ku nyika matimba","","",""
"enumerator","","","","","stemteller","","","","","umbalimavoti","","","umbali-voti","","","umbali","","","","umbali","","","","mmadi","","","","mmadi","","","mmadi","","muvhali","","","","muhlayeri","","",""
"Electoral Bill","","","","","Kieswetsontwerp","","","","","Umthethosivivinywa Wokhetho","","","uMthetho woNyulo osaYilwayo","","","Umtsetfosivivinywa Wetelukhetfo","","","","umThethomlingwa wezamaKhetho","","","","Molaotlhomo wa Ditlhopho","","","","Molaokakanywa wa Dikgetho","","","Setshwantsho sa Molao wa Dikgetho","","Mulayotibe wa Khetho","","","","Nawumbisi wa swa Nhlawulo","Nawumbisi wa Nhlawulo","",""
"Electoral Code of Conduct","","","","","Verkiesingsgedragskode","","","","","Indlela Yokuziphatha Yokhetho","","","uMgaqo wokuziPhatha ngexesha loNyulo","","","Indlela Yekutiphatsa ngesikhatsi Setelukhetfo","","","","ImiThetho yokuziPhatha kezamaKhetho","","","","Molawana wa Maitsholo ka nako ya Ditlhopho","","","","Molawana wa Boitshwaro wa Dikgetho","","","Molawana wa Boitshwaro Dikgethong","","Mulayo ya Vhuḓifari Khethoni","","","","Milawu ya Matikhomelo hi Nkarhi wa Nhlawulo","","",""
"Electoral Commission Act {Act 51 of 1996}","","","","","Wet op die Verkiesingskommissie","","","","","Umthetho Wekhomishani Yokhetho","","","iElectoral Commission Act","uMthetho weKomishini yoNyulo","uMthetho weKomishoni yoNyulo","Umtsetfo Wekhomishini Yelukhetfo","","","","umThetho weKomitjhini yezamaKhetho","","","","Molao wa Khomišhene ya Ditlhopho","","","","Molao wa Khomišene ya Dikgetho","","","Molao wa Khomishene ya Dikgetho","","Mulayo wa Khomishini ya Khetho","","","","Nawu wa Khomixini ya Nhlawulo","","",""
"Electoral Court","","","","","Verkiesingshof","","","","","Inkantolo Yezokhetho","","","iNkundla yamatyala oNyulo","","","Inkantolo Yelukhetfo","Likhotho Lelukhetfo","","","iKhotho yezamaKhetho","","","","kgotlatshekelo ya ditlhopho","","","","Kgorotsheko ya Dikgetho","","","Lekgotla la Dinyewe tsa Dikgetho","","Khothe ya Khetho","","","","Huvo ya nawu ya swa Nhlawulo","Khoto ya swa Nhlawulo","",""
"electoral formula {calculation of seats}","","","","","verkiesingsformule","","","","","indlela yokubala izihlalo","","","indlela yokwaba izihlalo ngokweevoti","","","indlela yekutfola tihlalo","indlela yekubala tihlalo","","","indlela yokuthola iinhlalo","","","","mokgwatlhopho","","","","mokgwaphetolelo ya dibouto go ditulo","","","fomula ya kabo ya ditulo","","fomuḽa ya khetho","","","","maavelo ya ku kuma switulu","","",""
"electoral fraud","","","","","verkiesingsbedrog","","","","","umkhonyovu okhethweni","","","ubuqhetseba kunyulo","","","umkhonyovu elukhetfweni","","","","ubukhwabanisi kezamakhetho","","","","tsietsoditlhophong","","","","boradia bja dikgetho","","","boqhekanyetsi dikgethong","","vhufhura ha zwa khetho","","","","vukanganyisi bya swa nhlawulo","","",""
"Electoral Institute for Sustainable Democracy in Africa","","","","","Verkiesingsinstituut vir Volhoubare Demokrasie in Afrika","","","","","Inhlangano Yokhetho Ebhekele Intando Yabantu E-Afrika","i-EISA","","iZiko loNyulo elijongene noZinzo leNtando yesiNinzi eAfrica","i-EISA","","sikhungo setelukhetfo","i-EISA","","","iHlangano yezamaKhetho yeDemokhrasi eNzinzileko e-Afrika","i-EISA","","","EISA","SDTDA","Setheo sa Ditlhopho sa Tsweletso ya Demokerasi mo Aforika","Setheo sa Ditlhopho sa Tsweletso ya Temokerasi mo Aforika","EISA","Institute ya Dikgetho tša Tšwelopele ya Temokerasi ka Afrika","","EISA","Mokgatlo wa Dikgetho Ntshetsopeleng ya Demokerasi Aforika","EISA","Tshiimiswa tsha Khetho tsha Dimokhrasi ya Ndalamo tsha Afrika","","","EISA","Xiyenge xa swa Nhlawulo xo Yisa eMahlweni Xidemokirasi eAfrika","",""
"electoral law","","","","","kiesreg","","","","","umthetho wokhetho","","","umthetho wonyulo","","","umtsetfo wetelukhetfo","","","","umthetho wezamakhetho","","","","molao wa ditlhopho","","","","molao wa dikgetho","","","molao wa dikgetho","","mulayo wa khetho","","","","nawu wa swa nhlawulo","","",""
"electoral legislation","","","","","verkiesingswetgewing","","","","","ukushaywa komthetho wokhetho","","","uwiso-mthetho lwezonyulo","","","umtsetfo wetelukhetfo","","","","umthetho wezamakhetho","","","","molao wa ditlhopho","","","","peomolao ya dikgetho","","","molao wa dikgetho","","mulayo wa khetho","","","","nawu wa swa nhlawulo","","",""
"electoral officer","returning officer","","","","kiesbeampte","","","","","obhekele ukhetho","isiphathimandla sokhetho","","igosa lonyulo","","","sisebenti setelukhetfo","","","","isiphathiswa sezamakhetho","","","","motlhankedi wa ditlhopho","","","","mohlankedi wa dikgetho","","","mohlanka wa dikgetho","","muofisiri wa khetho","","","","mutirhi wa swa nhlawulo","","",""
"electoral qualification","","","","","kieskwalifikasie","kieserskwalifikasie","","","","izimfanelo zokhetho","","","iimfanelo zokuvota","","","tidzingo tekuvota","","","","iimfanelo zokuvowuda","","","","ditlhokego tsa ditlhopho","","","","maloka a go bouta","","","ditlhoko tsa ho kgetha","","ṱhoḓea dza khetho","","","","swilaveko swa muhlawuri","swilaveko swa muvhoti","",""
"electoral region","","","","","kiesstreek","","","","","isifundakazi sokhetho","","","ingingqi yonyulo","","","sigodzi setelukhetfo","","","","isiphande sekhetho","","","","kgaolotlhopho","","","","selete sa dikgetho","","","lebatowa la dikgetho","","dzingu ḽa khetho","","","","rhijini ya nhlawulo","","",""
"electoral ward","","","","","kieswyk","","","","","isigceme sokhetho","iwadi lokhetho","","iwadi yonyulo","","","sigceme selukhetfo","liwadi lelukhetfo","","","iwadi yekhetho","iwodi yekhetho","","","kgorotlhopho","kutletlhopho","watetlhopho","","wate ya dikgetho","","","wate ya dikgetho","","wadi ya khetho","","","","wadi ya nhlawulo","","",""
"electorate","","","","","kieserskorps","","","","","abavoti","","","abavoti","","","bakhetsi","bavoti","","","abavowudi","","","","batlhophi","","","","bakgethi","","","bakgethi","","vhakhethi","vhavouti","","","vahlawuri","vavhoti","",""
"eligible voter","","","","","stemgeregtigde","","","","","ofanele ukuvota","","","umvoti ofanelekileyo","","","umvoti lofanele","","","","umvowudi oneemfanelo","","","","motlhophi yo o dumeletsweng","","","","mokgethi wa maloka","","","mokgethi ya molaong","","muvouti o tendelwaho","mukhethi o tendelwaho","","","muhlawuri loyi a ringaneleke","muvhoti loyi a ringaneleke","",""
"empowerment","","","","","bemagtiging","","","","","ukuhlomisa","","","uniko-gunya","","","kuhlomisa","kunika emandla","","","ukuhlomisa","ukunikela amandla","","","matlafatso","","","","matlafatšo","","","matlafatso","","vhuṋeamaanḓa","u maanḓafhadza","","","ku nyika matimba","ku haverisa matimba","",""
"enumerator","","","","","stemteller","","","","","umbalimavoti","","","umbali-voti","","","umbali","","","","umbali","","","","mmadi","","","","mmadi","","","mmadi","","muvhali","","","","muhlayeri","","",""
"enumerators' area","","","","","stemtellersgebied","","","","","indawo yombalimavoti","","","indawo yombali-voti","","","indzawo yembali","","","","indawo yombali","","","","karolommadi","","","","lefelo la mmadi","","","sebaka sa mmadi","","vhupo ha vhavhali","","","","ndhawu ya muhlayeri","","",""
"equal participation","","","","","gelyke deelname","","","","","ukubamba iqhaza ngokulingana","","","intatho-nxaxheba ngokulinganayo","","","kutibandzakanya ngalokulinganako","kuhlanganyela ngalokulinganako","kusebenta ngalokulinganako","","ukubamba indima ngokulinganako","ukuhlanganyela ngokulinganako","","","- tsaya karolo ka go lekana","botsayakarolo ka tekatekano","","","botšeakarolo bja tekatekano","","","seabo se lekanang","","u dzhenela u lingana","","","","nghenelelo wo ringana","","",""
"ethics","","","","","etiek","","","","","inkambo elungile","","","indlela yokuziphatha esulungekileyo","","","inkhambo lenhle","","","","umgomo wokuziphatha","","","","boitsholo","boitshwaro","","","melawana ya boitshwaro","","","boitshwaro","","vhuḓifari","","","","matikhomelo","","",""
"ethnicity","","","","","etnisiteit","","","","","ubuzwe","","","ubuhlanga","","","buve","","","","ubutjhaba","ubuzwe","","","bomoarafe","","","","bohlobo","","","bomorabe","","lushaka","murafho","","","rixaka","","",""
"evaluation form","","","","","evalueringsvorm","","","","","ifomu lokuhlola","","","ifom yovandlakanyo","","","lifomu lekuhlola","","","","iforomo lokuhlola","","","","foromotlhatlhobo","","","","foromo ya tekolo","","","foromo ya tlhahlobo","","fomo ya vhuṱhaṱhuvhi","fomo ya vhusengulusi","","","fomo yo kambela","fomo yo hlela","",""
