id,eng__001,eng__002,eng__003,afr__001,afr__002,afr__003,afr__004,afr__005,afr__006,xho__001,xho__002,xho__003,xho__004,ssw__001,ssw__002,ssw__003,ssw__004,nde__001,nde__002,nde__003,tsn__001,tsn__002,tsn__003,tsn__004,nso__001,Syonym__-,nso__002,nso__003,nso__004,sot__001,sot__002,sot__003,ven__001,ven__002,ven__003,ven__004,ven__005,ven__006,tso__001,tso__002,tso__003,tso__004
dsac_pharm_sec_00156,colic,,,koliek,,,,,,imfuxwa,injeqane,,,inongwana,mankhatjana,ikholikhi,,ikholikhi,ummoya ongemathunjini,,kgadikego,selomo,,,go longwa,,kholiki,,,mahlaba a ka mpeng ya lesea,kholiki,,tshilala,,,,,,rivisana,,,
dsac_pharm_sec_00157,combination product,,,kombinasieproduk,kombineermiddel,kombinasiemiddel,,,,imveliso eyintlanganisela,,,,sidzakamiva lesiyinhlanganisela,,,,umtjhoga,umdidiyelo,,molemotswako,,,,sehlaretswakophodišo,,,,,motswako,,,tshibveledzwaṱhanganywa,mushongavanganywa,,,,,ximakiwankatsano,,,
dsac_pharm_sec_00158,common cold,cold,,gewone verkoue,verkoue,,,,,umkhuhlane,imfuxane,,,umkhuhlane,,,,umgomani,umkhuhlani,,mofikela,mokgotlhwane,,,mokgohlane,,mpshikela,,,sefuba,mokgohlane,ntaramane,mukhushwane,duda,mphigela,,,,mukhuhlwana,,,
dsac_pharm_sec_00159,co-morbid condition,co-morbidity,,komorbiede toestand,komorbiditeit,newesiektetoestand,,,,isigulo esibangelwa sesinye,,,,kugula lokukuphatsa kanye kanye,kugula lokuhambisanako,,,isifo esikhambisana nesinye,ubulwele obukhambisana nobunye,,seemo sa tlhatlagano ya makoa,,,,malwetšitšhikammogo,,malwetšikgwerano,,,boemo ba mafu a mang mothong,,,vhulwadzembangwa nga vhuṅwe,,,,,,vuvabyifambisana,,,
dsac_pharm_sec_00160,compounding,,,bereiding,samestelling,,,,,ukuxuba amachiza,,,,luhlanganisongco lwemitsi,ludidiyelongco lwemitsi,,,ukudidiyela isihlahla,,,tswako,tlhakantsho,tlhakanyo,,tswakantšho philisi,,tlhakantšho hlare,,,ho tswaka meriana,,,thimbwana,u ṱanganyisa,,,,,vuhlanganisi,,,
dsac_pharm_sec_00161,compressed tablet,,,tablet,,,,,,ipilisi ecinezelweyo,,,,liphilisi lelicindzetelwe,liphilisi lelingcingciwe,,,ipilisi eligangadelweko,,,pilisi papetla,,,,philisipateletšwa,,,,,pidisi e thatafaditsweng,,,philisiphanwa,philisiwe,,,,,philisiwe,,,
dsac_pharm_sec_00162,concomitant medication,,,bygaande medikasie,medewerkende medisyne,,,,,iyeza eliselwa nelinye,,,,imitsi lesetjentiswa kanye kanye,,,,iinhlahla ezingalaniko,,,kalafipate,,,,dihlarenwewammogo,,,,,meriana e ka nowang mmoho,,,mishonga mishumiswa yoṱhe,mishongatshumiswanyaredzi,,,,,mirhifambisana,,,
dsac_pharm_sec_00163,congenital,,,aangebore,kongenitaal,,,,,-vele nayo,-zelwe nayo,,,-telwe nako,,,,-belethwe nakho,-bangelwe libhoduluko,,{bokoa jwa}-botswatsalong,,,,-belegago nabjo,,-tswalwago nabjo,-tlhago,,-tlhaho,,,doledza,bebwa naho,,,,,-tekeleriwa,-velekiwanabyo,,
dsac_pharm_sec_00164,congestion,,,stuwing,kongestie,,,,,ukuxinana,,,,kuvimbana,kucinana,,,ukuvaleka,ukuvaleka,,petagano {sk. thibano ya dinko},,,,go thibana,,,,,ho thibana,ho kwaleha,,u valea,u thivhea,,,,,mpfaleko,,,
dsac_pharm_sec_00165,constipation,,,hardlywigheid,konstipasie,,,,,ukuqhinwa,,,,kucumba,kucinana kwesisu,,,ukuparelwa,,,pipelo,ngakego,,,pharelo,,,,,ho soka,ho siba,ho farela,muzwimbelo,,,,,,mpfimbelo,nqumbho,,
dsac_pharm_sec_00166,containment,,,inperking,,,,,,uthintelo xubano,,,,luvikelomitsi,luvikelosimo lwemitsi,,,ivikeleko bhoduluko leenhlahla,,,thibelelo sere,tshireletso sere,,,tšhireletšo hlare,,,,,tshireletso,,,tsireledzo ya fhethu ha zwidzidzivhadzi,,,,,,nsirhelelanthyakiso,,,
dsac_pharm_sec_00167,continuity of care,,,aaneenlopendheid van sorg,kontinuïteit van sorg,,,,,unyango oluqhubayo,,,,lunakekelokwelashwa loluchubekako,,,,itjhejo lokwelatjhwa eliragela phambili,,,kalafotsweletso,,,,tlhokomelotšwetšopele,,,,,tswelopele ya tlhokomelo,,,ndondolomvelaphanḓa,,,,,,ku yisiwa emahlweni ka vuongori,ku yisiwa emahlweni ka vutshunguri,ku yisiwa emahlweni ka nhlayiso,
dsac_pharm_sec_00168,contraindication,counter-indication,,teenaanduiding,kontraïndikasie,kontra-indikasie,,,,ukhabano kunyango,,,,simo lesivimbela kwelashwa,simo lesingavumeli kwelashwa,,,okuphambana nobujamo,okungavumelani nobujamo,,tshupakgano,,,,thulano kalafo,,tšhupo thulano,,,tshitisokalafo,,,nyiledza dzilafho,,,,,,nkantirhisano,,,
dsac_pharm_sec_00169,controlled trial,,,gekontroleerde proef,beheerde proef,,,,,ulingoyeza ngothelekiso,,,,lucwaningokulinganisa,,,,ilingelelomadaniso elilawulwako,ilingelelolinganiso elilawulwako,,tekelelo e e laotsweng,,,,tekopapišo,,,,,phuputsopapiso,,,ndingo mbambedza mashumele,,,,,,ndzingeto lowu lawuriwaka,,,
dsac_pharm_sec_00170,co-payment,,,bybetaling,,,,,,ugcwalisontlawulo,,,,inkhokhelo leyengetwa sigulane,inkhokhelo lebhadalwa sigulane,,,imbadalongezelelo,imbadalohlanganyela,,tuelelopate,tuelelommogo,,,tefelotlaleletšo,,,,,tefo ya tlatsetso,tefommoho,,mbadelo nyingwa,mbadelo phaphwa,,,,,hakeloengetelo,hakelontlhandlekelo,,
dsac_pharm_sec_00171,coronary heart disease,,,koronêre hartsiekte,hartvatsiekte,,,,,isifo semithambo yentliziyo,,,,sifo semitsambo yenhlitiyo,,,,ubulwele bemithambo yehliziyo,isifo semithambo yehliziyo,,bolwetse jwa tshikapelo,,,,bolwetši tshikapelo,,,,,lefu la methapo ya pelo,,,vhulwadze ha tsinga dza mbilu,,,,,,vuvabyi bya misiha ya mbilu,,,
dsac_pharm_sec_00172,cost-free medicine,,,gratis medisyne,gratis medikasie,,,,,iyeza elingahlawulelwayo,,,,umutsi wamahhala,umutsi longakhokhelwa,,,isihlahla esingabhadalwako,,,molemowa mahala,,,,di hlarehlokatefo,,,,,meriana ya mahala,,,mushonga wa mahala,mushongatshaya mbadelo,,,,,mirhi ya mahala,,,
dsac_pharm_sec_00173,cough,,,hoes,,,,,,ukhohlokhohlo,,,,kukhwehlela,,,,ukukhohlela,,,kgotlholo,,,,go gohlola,,,,,ho kgohlela,ho hohlola,,tshihoṱola,,,,,,nkhohlolo,,,
dsac_pharm_sec_00174,counterfeit medicine,,,vervalste medisyne,,,,,,iyeza lomgunyathi,,,,umutsi mbumbulu,,,,isingasihlahla,,,molemowa mokokotelo,,,,dihlarefeiki,,dihlarebofora,,,moriana wa thetsane,,,mishonga i si ya vhukuma,,,,,,mufututu,murhi wa vuxisi,,
dsac_pharm_sec_00175,cross contamination,,,kruiskontaminering,kruiskontaminasie,,,,,ungcoliswano,,,,kusulelana kwetidzakamiva,,,,iqaphazelelwano,ithelelwano,,tshwaetsano,tshelano,,,tshwaetšano,,tshwaetšoputla,,,thunthetsano,tshilafatsano,,tshikafhadzano ya mishonga,,,,,,nthyakisano,ntluletano,,
dsac_pharm_sec_00176,culture medium,,,kweekmedium,kweekbodem,kultuurmedium,,,,isivundisintsholongwane,,,,imbiliso,,,,isikhulisi semayikhrooganizimu,,,kgodisasere,,,,segodišapaketheria,,sefepapaketheria,,,sehodisadikokwanahloko,,,tshialusasele,,,,,,xikurisi xa switsongwatsongwana,,,
dsac_pharm_sec_00177,curative dose,CD,,genesende dosis,,,,,,umlinganiselo olingene ukuphilisa,,,,silinganisomutsi leselaphako,umtsamomutsi lowelaphako,,,isilinganiso esipholisako,,,mothamokalafo,tekanyetsamolemokalafo,,,tekanyo hlare phodišo,,,,,tekanyo e fodisang,,,phimo fhodzi,,,,,,mpimamurhi wo horisa,,,
dsac_pharm_sec_00178,cystic fibrosis,CF,,sistiese fibrose,,,,,,iqhuma elinamanzi esibelekweni,,,,simila lesinemanti,isistiki fayibhrosisi,,,isistikhifayibhrosisi,i-cystic fibrosis,,tlhagalatlhale,,,,sisitiki faeporosisi,,sisitiki faeporosisi,,,sistiki faebrosese,,,sistikifaiburosisi,,,,,,tshumba xifayiburosisi,sisitiki fayiburosisi,,
dsac_pharm_sec_00179,cytotoxin,,,sitotoksien,selgif,sitotoksine,,,,isityhefiseli,,,,butsitinhlayiya,,,,itjhefu esemaselini,isayithothokzini,,botlholesele,,,,mpholosele,,,,,tjhefu diseleng,,,mulimo kha tsiki,mulimo kha sele,,,,,chefu ya tisele,,,
dsac_pharm_sec_00180,day hospital,,,daghospitaal,,,,,,isibhedlele sasemini,,,,sibhedlela lesingalalisani,,,,isibhedlela semini,,,kokelo ya motshegare,,,,bookelotšatši,,,,,kokelo e sa robatseng,,,sibadela tsha ḓuvha,vhuongelo ha ḓuvha,,,,,xibedhlelenkalato,,,
dsac_pharm_sec_00181,decontamination,,,dekontaminering,dekontaminasie,,,,,ukususa ungcoliseko,,,,kuhlanta,kuhlobisa,,,ihlwengiso,,,tlhwekiso,,,,tlhwekišo,,,,,tlhwekisiso,,,u bvisa tshikafhadzo,vhubvisatshikafhadzo,,,,,ntengiso,,,
dsac_pharm_sec_00182,decreasing dosage,tapering dosage,,afnemende dosis,,,,,,ucuthomlinganiselo,,,,kunciphisa silinganisomutsi,kwehlisa umtsamomutsi,,,isilinganiso esiphungukako,,,phokotsothamo,,,,phokotšotekanetšosehlare,,,,,phokotso ya tekanyetso,,,phungudzaphimamushonga,,,,,,mpimamurhi wo hunguteka,,,
dsac_pharm_sec_00183,defined daily dose,DDD,,gedefinieerde daaglikse dosis,vasgestelde daaglikse dosis,,,,,umlinganiselo omiselweyo ngosuku,,,,silinganisomutsi selilanga,umtsamomutsi welilanga,,,isilinganiso sokuselwa ngelanga,,,mothamotlharetsatsi,,,,tekanyohlaretšatši,,,,,tekanyo ya letsatsi,,,phimamushongatiwa ya ḓuvha,,,,,,mpimamurhi hi sikulowu vekiweke,,,
dsac_pharm_sec_00184,depot,,,depot,,,,,,isitofu esihlalayo emzimbeni,idepho,,,umutsi lohlala sikhatsi emtimbeni,idepho,,,umjovo ohlala isikhathi emzimbeni,idepho,,sefala,letlhabopoloko,,,bokgobelo,,depho,,,depho,,,depo,vhufaredzi,,,,,depo,,,
dsac_pharm_sec_00185,desiccant,,,uitdroogmiddel,droogmiddel,,,,,isithintelikufuma,,,,sisusamhwamuko,,,,isirhwamisi,isomisi,,seomisi,,,,semonamonola,,desikhente,,,seomisi,desikhente,,tshikokodzamuṋula,tshiomisi,,,,,xiomisi,,,
dsac_pharm_sec_00186,dextromethorphan,DXM,,dekstrometorfaan,,,,,,idextromethorphan,,,,umutsi wekukhwehlela lotsite,idekthromethofani,,,isihlahla somgomani esingakhobongiko,isihlahla somgomani esingalalisiko,,sethibelamokgotlhane,,,,dekeseteromethorofene,,,,,dekstromethofene,,,mushonga wa mukhushwane,dextromethorphan,,,,,dekisitiromethofene,,,
dsac_pharm_sec_00187,dextrose,dextroglucose,,dekstrose,dekstroglukose,,,,,iswekile yendalo,idekstrosi,,,shukela wemvelo,idekthrosi,,,umhlobo wetjhukela,ideksithrosi,,sukiritlhago,dekeseterouse,,,dekeseterouse,,mohutaswikiri,,,dekstrouse,,,dekiṱirosi,dextrose,,,,,dekisitirosi,,,
dsac_pharm_sec_00188,diagnostic agent,,,diagnostiese middel,diagnostiese agens,,,,,isifumanisisifo,isixilongisifo,,,siphengulisifo,sibonisisifo,inkhombasifo,,isiphenguli,isipopoli,,sebontshatwatsi,temosatwatsi,,,selemošalwetši,,,,,sethusatlhahlobo,,,tshithusa ngwanavhulwadze,,,,,,xifembi,,,
dsac_pharm_sec_00189,dialysis,,,dialise,,,,,,ucocogazi,idayalasisi,,,luhlantongati lwekwentiwa,idayalisisi,,,isihlambulukisi,idayalisisi,,munometsi,munoleswe,,,tlhwekišomadi,,daelesese,,,tlhwekisomadi ka motjhini,dayalesese,,vhuṱanzwa malofha,daiḽisisi,,,,,nhlantswangati hi muchini,mbhasisangati hi muchini,,
dsac_pharm_sec_00190,diffusion,,,diffusie,,,,,,ukusasazeka,ukunwena,,,kusabalala,,,,idifuyitjhini,,,phatlhalatso,,,,phatlalalo,,,,,phatlallo,,,u phaḓalalo,phaḓalalo,phaḓaladzo,phaḓaladza,,,hangalako,,,
dsac_pharm_sec_00191,digestant,digestive,,spysverteringsmiddel,verteermiddel,,,,,isicolikutya,,,,insitakugaya,setjisi,,,isigayisi,,,sethusatshilo,sesidisi,,,sethušatšhilo,,,,,sethusatshilo,,,tshithusatsukanyo,,,,,,xipfunetanghayelo,xipfunetampfuvelo,,
dsac_pharm_sec_00192,diluent,dilutent,,verdunner,verdunmiddel,,,,,isingxengi,isiqungi,,,sikhulisiphilisi,sengetiphilisi,,,isitjhujisi,,,kgodisapilisi,kgogomosapilisi,,,setswaki,,,,,seqhibidihisi,,,tshihudzaphilisi,diḽuwenthi,,,,,xitimuri,,,
dsac_pharm_sec_00193,dilution,,,verdunning,,,,,,ungxengo ngokwemilinganiselo,,,,kuntempula,,,,umqarho,,,tlhapholo,tlhaoloso,,,timolo,,,,,tlhaphollo,,,nzimulo,,,,,,ntimulo,,,
dsac_pharm_sec_00194,direct compression {in e.g. tablet production},,,regstreekse saampersing,,,,,,velisopilisi,,,,indlelalula yekukhicita liphilisi,,,,indlela yokwenza ipilisi,,,papetlotlhamalalo,,,,patišothwii,,,,,thatafatso e tobileng,,,vhukwanyaphilisitswii,,,,,,gandlelonkongomo,,,
dsac_pharm_sec_00195,disaccharide {chemistry},,,disakkaried,disakkaride,,,,,intlanganisela yeeswekile ezimbini,idayisakharayidi,,,inhlanganisela yaboshukela lababili,idayisakharayidi,,,ihlanganisela yeentjhukela ezimbili,idayisakharayidi,,sukiri ya mefutamebedi,,,,swikirimehutamebedi,,daesakharaete,,,daesakharaete,,,daisakharaidi,,,,,,dayisakharayiti,,,
dsac_pharm_sec_00196,disintegrant,disintegrating agent,disintegrator,disintegreermiddel,disintegreeragens,,,,,isinyibilikisipilisi,,,,sincitsiti,sincibilikisi,,,isincibilikisi,,,sethusatlhaologo,,,,senyaoši,,searogantšhi,,,searohanyi,,,tshikwashaphilisi,,,,,,xin'okisi,,,
dsac_pharm_sec_00197,dispense {medication},,,resepteer,,,,,,ukukhupha amayeza,,,,kukhipha imitsi,,,,khupha iinhlahla,phuthelisa iinhlahla,,aba melemo,,,,kabohlare,,,,,-aba moriana,,,vhuṋea mushonga,vhuṋetshedzamushonga,,,,,ku nyika mirhi,,,
dsac_pharm_sec_00198,dispensing doctor,,,resepterende dokter,resepterende geneesheer,,,,,ugqirha onegunya lokukhupha amayeza,,,,dokodela logunyatwe kukhipha imitsi,,,,udorhodere okhupha iinhlahla,udorhodere ophuthelisa iinhlahla,udorhodere onikela iinhlahla,ngakamoabamelemo,ngakamontshaditlhare,,,ngakaabahlare,,,,,ngaka e abang meriana,,,dokotela muṋeamushonga,,,,,,dokodela wo nyika mirhi,,,
dsac_pharm_sec_00199,dispensing fee,,,resepteerfooi,resepteergeld,,,,,umrhumo wokukhutshwa kwamayeza,,,,imali yekukhipha umutsi,imali yekunikwa umutsi,,,imbadalo yokunikelwa iinhlahla,imali yokuphutheliswa iinhlahla,,tuelokabelomelemo,tuelokabeloditlhare,,,tefelobaabihlare,,tefelokabohlare,,,tefiso ya ho abelwa moriana,,,mbadelo ya vhuṋeamushonga,,,,,,hakelo yo nyikiwa mirhi,,,
dsac_pharm_sec_00200,diuretic {to promote the production of urine},,,diuretikum,urienafdrywer,urineafdrywer,,,,isikhamimanzi ngokuchama,,,,lokuchamisanako,lokutfundzisanako,,,okukhuthaza ukwakheka komhlambuluko,,,sefetlhamotlhapo,sefetlhamoroto,,,sefehlamoroto,,,,,setlhotlametsimmeleng,,,mushonga wa u ṱuṱuwedza u ṱambuluwa,ṱhuṱhuwedzamuṱambuluwo,,,,,xitsakamisisi,,,
dsac_pharm_sec_00201,diverticulitis,,,divertikulitis,,,,,,ukudumba kobhobhosi,,,,sifo semabhamuta ematfunjini,sifo sekuvuvuka ematfunjini,idayivethikhulayilathisi,,amatjhatjhazi angemathunjini,idayivethikhyulayithisi,,thurugo ya lelalegolo,,,,tšhatšhamelothurugole lalegolo,,daevethikhulaesese,,,borurusi ba kholone,daevethikhulaethisi,,nzwimbaḽila,daivethikhulaitisi,,,,,mpfimbo eka rhumbukulu,ndzhumbelo eka nkulungwana,,
dsac_pharm_sec_00202,divided dose,fractionated dose,,verdeelde dosis,,,,,,ukwahlulwa komlinganiselo wosuku,,,,silinganisomutsi lesihlukanisiwe,,,,isilinganiso esihlukanisiweko,,,mothamo wa molemo o arogantsweng,tekanyetsamolemo sa molemo o o arogantsweng,,,tekanyohlarearogantšhwa,,,,,tekanyo e arohantsweng,,,phimamushongakhethe kanywa,,,,,,mpimamurhi hi nkavanyiso,,,
dsac_pharm_sec_00203,dizziness,,,duiseligheid,vertigo,,,,,isiyezi,isizunguzane,incilikithi,,siyeti,inzululwane,,,isiyezi,isiyeziyezi,,sedidi,maibi,,,modikologo,,letšokwane,ledietšane,,motsekelo,modikwadikwane,,dzungu,,,,,,nsululwana,,,
dsac_pharm_sec_00204,dosage formulation,,,doseerformulering,doseerformulasie,doseervorm,,,,ulwakhekomlinganiselo weyeza,,,,kwakheka kwesilinganisomutsi,kwakheka kwemtsamomutsi,,,isakheko sesilinganiso,,,tlhamo ya mothamo wa molemo,tlhamo ya tekanyetsamolemo sa molemo,,,tlhamegohlare,,,,,sebopeho sa meriana,,,tshivhumbeo tsha mushonga,,,,,,xivumbeko xa mpimamurhi,,,
dsac_pharm_sec_00205,dosage group {in clinical trial},,,dosisgroep,,,,,,iqela ngokomlinganiseloyeza,,,,licembu lelitfola silinganisomutsi lesifanako,,,,isiqhema sesilinganiso esifanako,,,setlhopha sa mothamo wa molemo,setlhopha sa tekanyetsamolemo sa molemo,,,sehlophafiwatekanyohlare,,,,,sehlopha sa bafuputswa,,,tshigwada tsha mushonga phiṅwa,,,,,,ntlawa wa mpimamurhi,,,
dsac_pharm_sec_00206,dosage strength,,,dosissterkte,,,,,,amandla omlinganiseloyeza,,,,emandla esilinganisomutsi,,,,amandla wesilinganiso sesihlahla,,,maatla a mothamo wa molemo,maatla a selekanyetso sa molemo,,,maatlatekanyohlare,,,,,matla a tekanyetso,,,vhuhali ha mushonga,maanḓa a mushonga,,,,,matimba ya mpimamurhi,ntamu wa mpimamurhi,,
dsac_pharm_sec_00207,double-blind study,,,dubbelblinde studie,,,,,,uphononongo olufihlwe macala,,,,lucwaningo lolufihlwe nhlangotsi totimbili,,,,irhubhululo elifihlelwe iinqhema zombili,,,phitlhelapeditekelelo,,,,nyakišišophihlegopedi,,,,,phuputso e patetsweng bobedi,,,ngudotshipofu ya vhadzheneli na vhaṱoḓisisi,,,,,,ndzavisiso wo tumbelela mitlawa hamimbirhi,,,
dsac_pharm_sec_00208,Down's syndrome,,,downsindroom,Down se sindroom,,,,,imongolo,,,,lufutotsite lwekukhubateka,i-Down syndrome,,,isindromu kaDown,ubumongolo,ubudalwa,segopalwetse sa ga Down,,,,Sinteromo ya Down,,,,,pokello ya matshwao a bohole a Down,Down syndrome,,Sinḓiromu ya Down,Down's syndrome,,,,,ritsanu ra Down,ntsanomiehleketo,,
dsac_pharm_sec_00209,dressing {wound},,,verband,wonddekking,,,,,isibophisilonda,isigqumisilonda,ibhandeji,,ibhandishi,,,,ibhanditjhi,,,sebofi,sefaphi,,,khupetšontho,,,,,setlamisi,,,banditsha,,,,,,xipfalambanga,xipfalaxilondza,,
dsac_pharm_sec_00210,dropper {medicine},,,drupper,,,,,,isithontsizisiyeza,isiqabaziyeza,,,sitfonsiseli,,,,isithontisisihlahla,,,serothetsi,sethothetsi,,,serothetšasehlare,,,,,serothetsi,,,tshirothedzamushonga,,,,,,xithoniselamurhi,,,
dsac_pharm_sec_00211,drug delivery,,,middeltoediening,medisynetoediening,medikasietoediening,,,,ungenisochiza,ungenisoyeza,,,lungenisomutsi emtimbeni,,,,indlela yokufaka isihlahla emzimbeni,,,mofutamoneelokalafi,moneelokalafi,,,phihlišohlaremmeleng,,,,,phano ya moriana,,,kushumisele kwa u tshidzidzi vhudzhenisamus honga,,,,,,vunghenisamurhimirini,,,
dsac_pharm_sec_00212,drug-drug interaction,,,geneesmiddelinteraksie,middelinteraksie,middelwisselwerking,,,,ungquzulwanomachiza emzimbeni,,,,kwalana kwemitsi,,,,ukurhagana kwemitjhoga,ukunyefisana kweenhlahla,,kopano - thulanoritibatsi,,,,tsenelelanohlare,,,,,twantshano ya meriana mmeleng,,,thithisano ya mishonga,,,,,,ntirhisanonkokelano wa mirhi,,,
dsac_pharm_sec_00213,drug product,,,geneesmiddelproduk,medisyne,,,,,ichiza,,,,umutsi,,,,isihlahla,,,kunoritibatsi,,,,sehlare,,,,,sehlahiswa sa moriana,,,tshibveledzwa tsha tshidzidzivhadzi,,,,,,ximakiwa xa murhi,,,
dsac_pharm_sec_00214,dry granulation {of powders},,,droë granulering,droë granulasie,droë korrelvorming,,,,uhlalutyisomgubo olungenamanzi,,,,kuhhaya,,,,ukubumba iinthoro ngaphandle kwetlelezi,,,thorofatsokomiso,,,,thorofatšokomišo,,,,,popeho ya dithollo,,,vhudzhenisamushonga,,,,,,ndzhohohato hi ku omisa,njhorhohato hi ku omisa,,
dsac_pharm_sec_00215,dysentery,,,disenterie,,,,,,utyatyazo,,,,sisu leselekako,umsheko lonengati,,,isirhudo,indenebomvu,,malamahibidu,,,,mokokomalo,,tengkhwibidu,,,letshollo le lefubedu,,,ṋowakhulu,,,,,,nchuluko,hudo {nhlamba},,
dsac_pharm_sec_00216,dysmenorrhoea {painful menstruation},,,dismenorree,menstruasiepyn,pynlike maandstonde,,,,isiluma,,,,silumo,,,,isilumo,,,selomikgweding,selomitlhatso,,,selomi,,disimenoriya,,,selomi,,,tshilumi,,,,,,xilumi,,,
dsac_pharm_sec_00217,earache,otalgia,,oorpyn,otalgie,,,,,okuqaqamba kweendlebe,,,,buhlungu bendlebe,,,,ubuhlungu bendlebe,,,kopelotsebe,,,,bohlokotsebe,,,,,ho opa ha tsebe,,,vhuṱungu ha nḓevhe,vhuṱungu ha nḓevhe,,,,,ku vava ka ndleve,,,
dsac_pharm_sec_00218,ear drops,,,oordruppels,,,,,,iyeza lendlebe,,,,ematfonsi endlebe,,,,isihlahla sokuthontisela ngeendlebeni,amathosana weendlebe,,marothoditsebe,,,,sehlarerothetšatsebe,,,,,meriana e rothetsang ka ditsebeng,,,mushonga wa nḓevhe,,,,,,xithoniselwandleveni,,,
dsac_pharm_sec_00219,earplug,,,oorpluisie,oorprop,,,,,isivingcindlebe,,,,sivalindlebe,,,,isivalindlebe,,,sethibatsebe,,,,sethibatsebe,,,,,sethibatsebe,,,tshithivhanḓevhe,tshivalanḓevhe,,,,,xipfalandleve,,,
dsac_pharm_sec_00220,effective dose,ED,,doeltreffende dosis,doelmatige dosis,effektiewe dosis,,,,umlinganiselo osebenzayo,,,,silinganisomutsi lesisebentako,,,,isilinganiselosihlahla esisebenzako,,,mothamo wa kalafo,tekanyetsamolemo sa kalafo,,,tekanyohlarephodišo,,,,,tekanyo e fodisang,,,phimotswikelandivho,,,,,,mpimamurhindzinganelo,,,
dsac_pharm_sec_00221,effervescent tablet,,,bruistablet,,,,,,ipilisi ehlwahlwazayo,,,,liphilisi leliphuphumako,liphilisi lelibilako,,,ipilisi elibhubhudlhako,ipilisi elibilako,,pilisitlhaologi,,,,philisipilošameetse,,,,,pidisi e tshikgunyang,,,philisiphuphumi,,,,,,philisin'okisiwa,,,
dsac_pharm_sec_00222,elastic adhesive bandage,,,rekbare kleefverband,elastiese kleefverband,,,,,ibhandeji encamathelayo enwebekayo,,,,ibhandishi lenamatsela ibuye inwebeke,,,,ibhanditjhi enamathelako etamulukako,,,sefapo sa semamaredi-sengaologi,,,,pandetšekgomarelotaramologa,,,,,setlamisi se kgomarelang,bandeije e kgomarelang,petjhe,banditshitatamuwa,,,,,,bandichintsanyukadama,,,
dsac_pharm_sec_00223,elastic stocking {e.g. for patients with varicose veins},compression stocking,,rekkous,elastiese kous,,,,,iikawusi ezihambisa igazi,,,,lisokisi lelicindzetelako,,,,ikowusi lokwelapha,,,kaususengaologi,,,,makušatshepetšomadi,,,,,kausu e sarolohang,,,swogisitatamuwa,,,,,,sokisiximanyela,,,
dsac_pharm_sec_00224,electrodialysis,ED,,elektrodialise,,,,,,ucocogazi esibhedlele,ucocogazi ngomatshini,,,kuhanjiswa kwemamolekhuli ngagezi,,,,indlela yokuhlambulukisa,i-ilekthrodayilisisi,,munoleswe ka motlakase,munometsi ka motlakase,,,elekhetherodaelesese,,,,,monyolloditshila mading ka motjhini,eletrodaelesese,,eḽekitrodaiḽisisi,eḽektrodaiḽisisi,,,,,elekitirodayilisisi,,,
dsac_pharm_sec_00225,electrolyte {nutrition},,,elektroliet,,,,,,iityuwa zomzimba,ielektrolayithi,,,luswayi lwekuvusela umtimba,i-ilekhrolayithi,,,amatswayi womzimba,i-ilekthrolayithi,,eleketerolaete,,,,eleketherolaete,,elekthrolaete,,,elektrolaete,,,muvango wa eḽekitroḽaithi,,,,,,xilawulandzingano xa swihalakimirini,,,
dsac_pharm_sec_00226,electron microscope,,,elektronmikroskoop,,,,,,isibonakhulu se-elekthroni,imayikhroskowupu ye-elekthroni,,,sikhulisikubona seilekthroni,,,,imayikhroskowuphi yeelekthroni,,,maekerosekoupu wa motlakase,,,,maekherosekoupo eleketherone,,,,,maekrosekoupu ya elektrone,,,maikhirosikoupu wa elektroni,,,,,,xivonatsongo xa xilekitironi,,,
dsac_pharm_sec_00227,elixir,,,elikser,,,,,,isincasanisiyeza,,,,sinandzisimutsi,i-eleksa,,,isinandisisihlahla,i-elekse,,senwatatso,,,,seelanatefišahlare,,seelatsefišahlare,,,setswekerisi,elikse,,eḽikisa,,,,,,xinyanganyisi,xitsokomberisi,elekise,
dsac_pharm_sec_00228,elution {diagnostic process},,,eluering,elusie,,,,,ukuhluza,,,,kuhlunga ngekuncibilikisa,kuhluta ngekubilisa,,,ukutlhodlha,,,tlhotlha,,,,go menya,,tlhotlo,,,ho sesefa,,,vhuṱuḓi,,,,,,ntsavulo,,,
dsac_pharm_sec_00229,emaciation,,,uittering,vermaering,,,,,ukunqiniswa kukugula,,,,kondza lokwendlulele,kuzaca,,,ukonda,ubukgheredlha,ukurhutjheka,kotlhego,phephile,momonego,phepho,go ota,,,,,ho ota,,,muond,,,,,,ku ondza,ku beka,ku hela,
dsac_pharm_sec_00230,embrocation,liniment,,smeermiddel,,,,,,umrabho,,,,imbulukhesheni,,,,umhlikihlelo,i-embrokheyitjhini,,setshaso,,,,setlolo,,,,,sesidili,,,tshiḓolo,,,,,,xichukuchelanhlongeni,,,
dsac_pharm_sec_00231,emergency treatment,,,noodbehandeling,,,,,,unyango olungxamisekileyo,,,,kwelapha lokuphutfumako,,,,isizo elirhabako,,,kalafo ka potlako,,,,kalafotšhoganetšo,,,,,kalafo ya tshohanyetso,,,dzilafho ḽa shishi,,,,,,ntshungulo wa xilamulelamhangu,ntshungula wa xihatla,,
