,eng ,eng definition ,category,afr ,nde ,xho ,zul ,nso ,sot ,tsn ,ssw ,ven ,tso 
341,Other reasons for underutilisation,"Other reasons include reasons such as downtime due to maintenance, lower productivity and seasonal factors.",Industry and Trade ,Ander redes vir onderbenutting,Ezinye iinzathu zokubhalelwa,Ezinye izizathu zokungafikeleli ngokupheleleyo,Ezinye izizathu zokungasebenzisi ngokwanele,Mabaka a mangwe a thomionene,Mabaka a mang a kgaello ya tshebediso,Mabaka a mangwe a tirisotlase,Tizatfu letinye tekungasebentisi ngalokuphelele,Zwiwe zwiitisi / zwivhangi zwa tshaedza-/ hahedzatshumiso,Swivangelo swinwana swa matirhiselo ya le hansi
342,Other residential buildings,"Include institutions for the disabled, boarding houses, old-age homes, hostels, hotels, motels, guest-houses, holiday chalets, bed-and-breakfast accommodation, entertainment centres and casinos.",Industry and Trade ,Ander residensile geboue,Eminye imakho yokuhlala,Ezinye izakhiwo zokuhlala,Ezinye izakhiwo zokuhlala,Meago e mengwe ya tulo/madulo,Meaho e meng ya bodulo,Dikago tse dingwe tsa bonno,Takhiwo letinye tekuhlala,Zwiwe zwifhao zwa vhudzulo,Miako yinwana ya vutshamo
343,Other services,"Refers to municipal services (except outstanding assessment rates), plumbers, builders, mechanics, panel-beaters and electricians.",Industry and Trade ,Ander dienste,Eminye imisebenzi,Ezinye iinkonzo,Eminye imisebenzi,Ditirelo te dingwe,Ditshebeletso tse ding,Ditirelo tse dingwe,Tinsita letinye,Dziwe tshumelo,Vukorhokeri byinwana
344,Percentage under-utilisation of production capacity,The percentage under-utilisation of production capacity is calculated by deducting the percentage utilisation of production capacity from a hundred.,Industry and Trade ,Persentasie onderbenutting van produksievermo,Isilinganiso ngamapesente sokubhalelwa kwamandla wokuqhikiza,Ipesenti yokusetyenziswa ngokungaphelelanga komthamo olindelweyo wemveliso,Iphesenti lokungakhiqizi ngokwamandla anele,Phesente ya terionene ya mothamo wa tweleto,Phesente ya kgaello ya tshebediso ya bokgoni tlhahisong,Phesente ya tirisotlase ya mothamotlhagiso,Emaphesenti ekungasebentisi ngalokuphelele emandla ekukhicita,Phesenthe kha ana ya tshaedza-/hahedzavhukoni ha mveledziso,Ntirhiso wa le hansi wa vundzeni bya andziso hi tiphesente
345,Percentage utilisation of production capacity (manufacturing industry),"A measure of the use of manpower, plant and machinery in manufacturing.",Industry and Trade ,Persentasie benutting van produksievermo (vervaardigingsnywerheid) ,Isilinganiso ngamaphesende samandla wokukhiqiza,Ipesenti yokusetyenziswa komthamo wemveliso (ushishino lwemveliso),Iphesenti lokukhiqiza ngokwamandla anele,Phesentetirio ya mothamo wa tweleto,Phesente ya tshebediso ya bokgoni tlhahisong,Phesente ya tiriso ya mothamotlhagiso,Emaphesenti ekusebentisa emandla ekukhicita,Phesenthe kha ana ya tshumiso ya vhukoni ha vhubveledzi (dowetshumo ya Vhumagi),Ntirhiso wa le hansi wa vundzeni bya andziso hi tiphesente (vumaki byo endla)
346,PGMs,See Platinum Group Metals.,Industry and Trade ,PGMe,ama-PGM,IiPGM,i-PGMs,PGMs,PGMs,DTP,i-PGM,PGMs,ti-PGM
347,Plaintiff,A person/party in a civil case who asks the court for judgement against another person.,Industry and Trade ,Eiser,Ummangali,Ummangali,Ummangali,Molli/mmelaedi,Moqosi,Mongongoregi,Ummangali,Muhweleli,Mumangari
348,Platinum Group Metals,Include platinum; iridium; osmiridium; palladium; rhodium; ruthenium and osmium.,Industry and Trade ,Platinumgroepmetale,AmaMethali wePlathinamu,Udidi lwezinyithi zeplatinamu,iPlatinum Group Metals,Dimetale ta legoro la pholatinamo,Ditshepe tsa sehlopha sa polatinamo,Dimetale tsoopolatinamo,Inhlangano Yetinsimbi Teplathinamu,Mitale / methala ya tshigwada tsha pulatinamu,Ntlawa wa timethali wa pulatinamu
349,Professional services,"Medical doctors/dentists, advocates/attorneys, auditors/ accountants, architects, engineers and hospital services.",Industry and Trade ,Professionele dienste,Imisebenzi yabosokghonolwazi,Iinkonzo zabaqeqeshiweyo,Imisebenzi eqeqeshelwe,Ditirelo ta bo porofeenale,Ditshebeletso tsa diprofeshenale,Ditireloithutelwa,Tinsita tebucwepheshe,Tshumelo dza mishumogudwa,Vukorhokeri bya ntirhodyondzelwa
350,Promissory note,"Written note, signed by one person, in which he promises to pay money to another person or to the bearer of such a note on a specific date or on demand.",Industry and Trade ,Promesse,Isithembiso sokubhadela,Isithembiso semali esityikityiweyo/ esisayiniweyo,Isethembiso esibhaliwe senkokhelo,Lengwalo la tshepio,Tokomane ya tshepiso,Lokwalotsholofetso,Setsembisomali lesibhaliwe,iwalo pfulufhedzisa mbadelo,Papila ra xitshembiso
351,R/D cheques,See refer-to-drawer cheques.,Industry and Trade ,VT-tjeks,Amatjhege we-R/D,Iitsheki ezingenamali,Isheke elingemukelekanga/ Isheki elibhawunsile,Ditheke ta R/D,Ditjheke tsa RD,Dithekebuswa,Emasheke langenamali,Tsheke-/ndambiwa/khumiswa,Ticheke leti bampeke
352,Re-exports,Foreign goods exported in the same state as previously imported.,Industry and Trade ,Heruitvoergoedere,Ipahla ebuyiselwa ngaphandle / edluliselwa ngaphandle,Ukubuyiselwa kwempahla ebithengwe ngaphandle,Ukuphindiselwa kwempahla ezweni ebivela kulo,Diromelwantlelefswa,Thomello ya diamohelwa,Diromelwantle gape,Kutfumela njengobe utfunyelelwe,Zwiundwavhambadzelwa /-thumelwanna zwo tou ralo,Swirhumelwa nakambe
353,Reference month,One calendar month.,Industry and Trade ,Verwysingsmaand,Inyanga eqaliweko,Inyanga yokungqinisisa,Inyanga okuthathiselwa kuyo,Kgwedithupeto/ kgwedi ya thupeto,Kgwedi e boletsweng,Kgwedikaelo,Inyanga lekusetjentelwa kuyo,wedzi,Nhwetinkongomiso
354,Refer-to-drawer cheque,"Dishonoured cheques. The drawer is the owner of the cheque. When a person issues a cheque and there is no money in the cheque account, the bank will refuse to pay the bearer. The cheque will be referred back to the drawer.",Industry and Trade ,Verwys-na-trekker-tjek,Itjhege elibuyisiweko,Itsheki engenamali,Isheke elingemukelekanga/ Isheki elibhawunsile,Theke ya go buetwa go mong,Tjheke e sa leshwang,Thekebuswa,Lisheke lelingenamali,Tsheke-/ndambiwa/khumiswa,Cheke yo tlheriseriwa eka nwinyi
355,Retail trade,Includes the resale (sale without transformation) of new and used goods and products to the general public for household use.,Industry and Trade ,Kleinhandelsbedryf,Irhwebo leentolo; ukuthengisa kweentolo,Intengiso- rhwebo,Ukuthengisa/ukudayisa ngamancozu,Kgwebo ya go rekia go badirii,Thekisetso ya setjhaba,Thekisetsosethaba,Kutsengisa,Vhubindudzi ha thengiso mbambadzo,Bindzu ro xavisela vanhu
356,Retailer,An enterprise deriving more than 50% of its turnover from sales of goods to the general public for household use.,Industry and Trade ,Kleinhandelaar,Usositolo,Umthengisi,Umthengisi / umdayisi,Mogwebi,Morekisetsi wa setjhaba,Morekisetsasethaba,Umtsengisi,Bindu,Muxavisi
357,Stratum,A stratum is constructed by concatenating the SIC classification and size group variables.,Industry and Trade ,Stratum,Ikomba yobukhulu,Ukushiyiselana ngamaqondo,Ukwehlukanisa ngezibeba,Pharologanyothlopho go ya ka dikatshwano,Tlhopiso ya dikgwebo,Seterathamo,Lucwecwe,Tshigwada tsha zwi fanaho zwi linganaho,Xitarathamu/ swilofanana
358,Voluntary liquidation,"When a company or close corporation, by own choice, resolves to wind up its affairs.",Industry and Trade ,Vrywillige likwidasie,Ukuzidlisa; ukuzivalela,Uvumo-bhango,Ukuzinqumela ukumisa ibhizinisi/ ukuwa emsebenzini,Tswalelo ya kgwebo ka boithaopo,Kgapo ya thepa ka boinehelo,Tswalokgwebo ka boithaopo; phatlhalatsokgwebo ka boithaopo,Kutivalela ibhizinisi,Vhuiwisatshioko,Heriso wa khamphani hi ku tinyiketela
359,Weight (manufacturing major group),"The overall index for manufacturing is the ratio of the value added of the major group (i.e. output of a major group minus intermediate consumption) to the total value added of the manufacturing industry. The weight reflects the importance of the major group in the total. The weights change over time due to changes in the relative performance of industries, due to factors such as quality changes, changes in relative prices, and changes in customer preferences. New weights need to be calculated from time to time.",Industry and Trade ,Gewig (vervaardigingshoofgroep),Izinga lokuqakatheka(ikoro engamele zokukhiqiza),Umgangatho wegalelo kwezemveliso (amaqela amakhulu kwezemveliso),Inkomba yobukhondlakhondla (ekukhiqizweni kwezimpahla),Boima bja boleng bja didiriwa,Bohlokwa (dihlopha tsa bahlahisi),Bolengpapiso (madirelo),Inkhombasisindvo (imikhicito),Tshikalandivhanele ya ndeme(tshigwada tshihulwane tsha vhumagi),Ntiko (ntlawankulu wa vumaki)
360,Weight (mineral group),The ratio of the sales of a mineral group to the total sales of the mining industry. The weight of a mineral group reflects the importance of the mineral group in the total mining industry. The weights change over time due to quality changes and changes in relative prices. New weights need to be calculated from time to time.,Industry and Trade ,Gewig (mineraalgroep),Izinga lokuqakatheka(ikoro yamaminerali),Umgangatho wegalelo lemveliso kwezezimbiwa (amaqela kwizimbiwa),Inkomba yobukhondlakhondla (kuzimbiwa),Boima bja boleng bja dimenirala,Bohlokwa (sehlopha sa dimenerale),bolengpapiso (dirawa),Inkhombasisindvo (timbiwa),Tshikalandivhanele ya ndeme(tshigwada tsha munerala),Ntiko (ntlawa wa swicelwa)
361,Wholesaler,An enterprise deriving 50% or more of its turnover from sales of goods to other businesses and institutions.,Industry and Trade ,Groothandelaar,Iwoliseyila,Unohoseyile/ unothengisa-sixa,Umwolisela/ umhwebi odayisa ngakuningi,Holesele,Morekisetsi wa dikgwebo,Morekisetsadikgwebo,Lwoliseli,Holosele / bindu thengiselamabindu,Muholiselara
362,Wholesale trade,"Resale (sale without transformation) of new and used goods and products to other wholesalers, retailers, agricultural, industrial, commercial, institutional and professional users, either directly or through agents on a fee or contract basis.",Industry and Trade ,Groothandelsbedryf,Irhwebo lamawoliseyila,Urhwebo lwehoseyile,Ukuthengisa/ ukudayisa ngakuningi,Bogwebi bja holesele,Thekisetso ya dikgwebo,Thekisetsodikgwebo,Kuhweba ngebuwoliseli,Mbambadzo / -vhubindudzi ha bindu thengiselamabindu/ holosele,Nxaviso wa xiholiseli
363,Active steps to seek work,"Steps such as registration at an employment exchange, applications to employers, checking at work sites or farms, placing or answering newspaper advertisements, seeking assistance of friends, etc.",Labour ,Daadwerklike stappe om werk te soek,Amagadango wokufuna umsebenzi,Amanyathelo okufuna umsebenzi,Izinyathelo zokufuna umsebenzi ngokuzimisela,Matsapa a mahlahla a go nyaka moomo,Mekutu ya ho batla mosebetsi,Go batla tiro ka matlhagatlhaga,Tinyatselo tekufuna umsebenti,Maganyitelwa hoamushumo,Magoza yo gingirikela ku lava ntirho
364,Average monthly earnings at constant 2000 prices,Measure of change in average monthly earnings after the direct effects of inflation have been eliminated. The deflator used to devalue the current average earnings is the Consumer Price Index (2000=100).,Labour ,Gemiddelde maandelikse verdienste teen konstante 2000-pryse,Ingeniso yenyanga eyi-avareji ejame eentengweni zika-2000,Iavareji yengeniso ngenyanga exabiso limi kunyaka wama-2000,Isilinganisomvama/ i-avareji yomihlomulo ngenyanga entengweni engaguquki onyaka we-2000,Palogare ya megolo ya kgwedi go ya ka ditheko ta 2000,Palohare ya kuno kgweding ho ya ka ditheko tse tsitsitseng tsa 2000,Palogare ya lotseno lwa kgwedi ka ditlhotlhwa tse di tsepameng tsa 2000,Silinganisomkhatsi semiholo ngenyanga wentsengo lemile ya-2 000,Mbuelotshikati dza wedzi kha mitengotiwa ya 2000,Mpimoxikarhi wa miholo ya nhweti eka mixavo leyi nga cinciki ya 2000
365,Average monthly earnings at current prices,"Are calculated by dividing the total gross earnings, excluding severance, termination and redundancy payments, for the reference month by the number of employees as at the end of the reference month.",Labour ,Gemiddelde maandelikse verdienste teen huidige pryse,Ingeniso yenyanga eyi-avareji ngeentengo zanje,Iavareji yengeniso ngenyanga ngamaxabiso asebenzayo/ akhoyo,Isilinganisomvama/ i-avareji syemali engenayo entengweni yangaleso sikhathi,Palogare ya megolo ya kgwedi ka ditheko ta bjale,Palohare ya kuno kgweding dithekong tsa jwale,Palogare ya lotseno lwa kgwedi ka ditlhotlhwa tsa gajaana,Silinganisomkhatsi sanyalo semiholo ngenyanga,Mbuelotshikati dza wedzi kha mitengo ya zwino,Avhareji ya miholo ya nhweti eka minxavo ya sweswi
366,Casual employees,"Employees who are typically working daily or hourly, whose services can be dispensed with at a very short notice, usually not exceeding a period of one week, and who are not entitled to benefits such as paid leave and medical aid contributions paid by employers.",Labour ,Los werknemers,Abasebenzi abatorhako,Abasebenzi abangezozigxina/ abangxungxi,Izisebenzi / abasebenzi zetoho,Baomi ba lebakanyana,Basebetsi ba tshohanyetso,Bathapiwa ba nakwana; badiri ba nakwana,Tisebenti telitoho,Vhashumi vha tshifhinganyana,Vatirhi va nkarhinyana
367,Current job,The job in which a person is engaged during the survey reference period.,Labour ,Huidige betrekking / Huidige werk,Umsebenzi umuntu akiwo,umsebenzi akuwo umntu ngexesha elikhankanyiweyo,Umsebenzi owenzayo,Moomo wa bjale,Mosebetsi wa hajwale,Tirogajaana / Tirobojaanong,Umsebenti lokuwo,Mushumo wa zwino,Ntirho wa sweswi
368,Discouraged work-seeker,"Person without work, who wants to work but has not taken active steps to seek work in the reference period.",Labour ,Ontmoedigde werksoeker,Umfunimsebenzi ophelelwe mamandla,Umfuni-msebenzi ongenathemba,Umfunimsebenzi osedikibele,Motsomamoomo yo a langwilego,Mmatli ya nyahameng wa mosebetsi; mmatlamosebetsi ya nyahamenng,Mmatlatiro yo o nyemileng mooko,Umfunimsebenti lodvumele,Muoamushumo gonobvadzwa,Munhu la nyameke ku lava ntirho
369,Domestic worker,"A person employed to work in a household as a cleaner, cook, nanny driver, gardener, etc. See live-in domestic worker under Census.",Labour ,Huiswerker,Isisebenzi sekhaya,Umncedisi wasekhaya,Isisebenzi sasendlini,Moomi wa ka lapeng,Mosebetsi wa lapeng,Modiredigae,Sisebenti sasekhaya,Muthusi /mushumi wa mua / hayani,Mutirhi wa le kaya
370,Economic activity (Employment and Prices),"(1) Any activity that contributes to the production of goods and services (contrasted with non-economic activity such as study or leisure).
(2) The main business of an enterprise. See industry.",Labour ,Ekonomiese aktiwiteit (Werkverskaffing en Pryse),Umsebenzi womnotho,Iintshukumo zoqoqosho (iNgqesho namaXabiso),Umsebenzi wezomnotho,Moongwana wa ikonomi,Ho hweba (kgiro le ditheko),Tiro e e tsenyang lotseno,Lokwentiwa temnotfo,Vhuitwa / mushumo wa Ekonomi (Mushumo na Mitengo),Nghingiriko wa xiikhonomi (vuthori na mixavo)
371,Economic sector,Deprecated. Use industry.,Labour ,Ekonomiese sektor,Ikoro yomnotho,Icandelo loqoqosho,Umkhakha wezomnotho,Lefapa la ikonomi,Indasteri ya moruo; lekala la tsa moruo,Lephata la ikonomi,Umkhakha wetemnotfo,Sia / sekithara ya Ekonomi,Xiyenge xa ikhonomi
372,Economic status,"Measure of the level of economic well-being of individuals, for which income and ownership of assets are commonly used.",Labour ,Ekonomiese status,Ubujamo bomnotho,Ubume bezoqoqosho,Isimo/ izimo sezomnotho,Maemo a ikonomi,Maemo a moruo,Kemo ya ikonomi,Bunjalo betemnotfo,Tshiimohalusaekonomi,Xiyimo xa ikhonomi
373,Economically active person,"A person of working age who is available for work, and is either employed, or is unemployed but has taken active steps to find work in the reference period. See not economically active population and unemployed person.",Labour ,Ekonomies aktiewe persoon,Umuntu,Umntu onegalelo kwezoqoqosho,Ongene shi kwezomnotho,Motho wa maloka a go oma,Motho ya nang le seabo moruong,Motshwaelaikonoming,Umuntfu losebentako nobe lolungele kusebenta,Mulugelamushumo,Munhu loyi a gingirikelaka ku tirha
374,Educational level,"Educational level is aggregated into no formal education, primary school (grade 1 to grade 7), secondary school (grade 8 to grade 12) diploma or certificate without grade 12 (from lower to grade 11), diploma or certificate with grade 12, degree and other post-graduate degree.",Labour ,Opvoedkundige vlak,Izinga lefundo,Inqanaba lemfundo,Izinga lemfundo,Legato la thuto,Boemo ba thuto,Kemothutego,Lizinga lemfundvo,Vhuimo ha pfunzo,Xiyimo xa swa tidyondzo
375,Employed,"Those who performed work for pay, profit or family gain for at least one hour in the seven days prior to the interview or who were absent from work during these seven days, but did have some form of paid work to return to.",Labour ,Persone in diens,-sebenzako,-Oqeshiweyo,-qashiwe/ sebenzayo,Thwetwego/hirilwego baomi,Hirilweng,Bathapiwa; badiri,Locashiwe,Tholwaho / hirwaho,Loyi a thoriweke
376,Employed person,"A person who performs work for pay, profit or family gain in the reference point, or who was absent from work but had to work to return to. See employee.",Labour ,Persoon in diens,Umuntu osebenzako,Umntu oqeshiweyo,Umuntu oqashiwe,Motho yo a omago,Motho ya hirilweng,Mothapiwa; modiri,Umuntfu locashiwe,Mutholwa / muhirwa,Munhu loyi a thoriweke
377,Employee (Employment and Prices),"A person (permanently, temporarily or casually employed) who normally works the agreed hours in his/her present job.",Labour ,Werknemer (Werkverskaffing en Pryse),Isisebenzi,Umqeshwa (iNgqesho namaXabiso),Isisebenzi/ umsebenzi,Moomedi,Mohiruwa; mosebeletsi (kgiro le ditheko),Mosebeletsi (kgiro le theko),Mothapiwa; modiri,Umcashwa,"Mushumi / mutholwa/muhirwa (Mushumo na Mitengo), Muthoriwa (vuthori na mixavo)"
378,Employee labour at constant compensation,The current labour input at the levels of compensation of employees jobs ruling during a selected base period (1993 SNA93).,Labour ,Werknemersarbeid teen konstante besoldiging,Ukuthokozwa kwesisebenzi ngendlela efanako,Umsebenzi onembuyekezo efunyanwa rhoqo ngumqeshwa,Umsebenzi okhokhelwa iholo eingaguquki,Meongwana ya moomi ka putseleto ya go se fetoge,Mosebetsi wa bahiruwa ka dihlapiso tse tsitsitseng,Tiro ka tshuiso/phimolakeledi e e tsepameng,Umcashwa weliholo lelimile,Mushumi/ mutholwa /muhirwa kha mushumo wa ndilisotiwa,Mpimo wa vanhu lava ringaneleke ku tirha hi ndziriso lowu nga cinciki
379,Employee-related costs,"All compensation of employees, full-time and part-time, irrespective of whether the remuneration is paid out of revenue, capital or any other account.
Note:
Inclusions:
 Basic compensation
 Allowances
 Contribution to other benefit funds of employees such as medical aid, pension fund
 Contribution to other benefit funds of employees such as medical aid, pension fund
contributions, group life, etc.
Exclusions:
 Unemployment insurance
 Workmens compensation
 Other benefits such as housing subsidy etc.
 Uniform clothing and allowances allowances to councillors",Labour ,Werknemersverwante kostes,Iindleko zeensebenzi,iindleko ezimalunga nomsebenzi (nomqeshwa),Izindleko eziqondene nabaqashwa,Ditshenyagalelo ta mabapi le moomi,Ditjeo tse amang mosebetsi,Ditshenyegelomodiring / Ditshenyegelomothapiweng,Tindleko tebasebenti,Mbadelo dza mutholwa,Tihakelo ta mutirhi
380,Employer,A person or organisation that uses the services of one or more people for pay in cash or kind.,Labour ,Werkgewer,Umqatjhi,Umqeshi,Umqashi,Mongmoomo,Mohiri,Mothapi,Umcashi,Mutholi / muhiri,Muthori
381,Employment,"An activity in which a person performs work for pay, profit or family gain. Such a person can be self-employed, an employer, an employee or a working family member.",Labour ,Werk,Umsebenzi,Ingqesho,Ukusebenza,Moomo,Kgiro,Mmereko; tiro,Umsebenti,Mushumo,Ntirho
382,"Employment, informal",Employment that takes place in a business or organisation not registered for income tax or VAT.,Labour ,"Werk, informeel [informele werk]","Umsebenzi, -ngakahleleki","Ingqesho, engenamigqaliselo/ engamiselwanga",Umsebenzi ongenasimo esimile/ ongahlelelekile,Moomo wa go se be wa semolao,Kgirommotwana; kgiro e sa ralwang,Letogo,"Umsebenti, longakahleleki","Mushumo, zwawo","Ntirho, lowu nga riki wa ximfumo"
383,Employment to population ratio / labour absorption rate,See labour absorption rate,Labour ,Werkverskaffingbevolkingsverhouding / Arbeidabsorpsiekoers,Isilinganiso sabantu abasebenzako,izinga lokuqeshwa kwabantu /umlinganiselo wabantu abasebenzayo,Izinga labaqashiwe / Izinga labasebenzayo emphakathini,Reio / Reiti ya thwalo / Khiro ya batho,Karolo ya ba sebetsang lekgolong ho ba dilemong tsa ho sebetsa,Kabopapiso ya badiri malebana le baagi,Lizinga lekucasheka kwebantfu,Kutholele nga ndivhanele ya lushaka/murafho,Matholele ku ya hi mpimoxiave wa vanhu / Mpimo wa matholele ya vatirhi
384,Family gain,"A benefit to ones family as a result of working, other than pay to oneself, for example, housing or use of land.",Labour ,Gesinsvoordeel,Ukubuyelwa komndeni,Inzuzo yosapho,Inzuzo yasekhaya,Diputseleto ta lapa,Kuno ya lelapa,Poelo ya lelapa,Lokuzuzwa ngumndeni,Mbuelo ya mua/haya,Mbuyelo wa ndyangu
385,Formal sector,Sector of employment made up of all employing businesses that are registered in any way.,Labour ,Formele sektor,Ikoro ehlelekileko,Icandelo elinemigqalisela/ elimiselweyo,Umkhakha ohlelelekile,Lekala/lefapa la semolao,Indasteri e molaong; lekala le molaong,Lephata le le tlhomameng,Emabhizinisi lahlelekile,Sia /sekithara nzudzanywa,Xiyenge xa ximfumo
386,Full employment,"Situation when the economy is producing to its maximum sustainable capacity, using labour, technology, land, capital and other factors of production to their fullest potential.",Labour ,Volledige werkverskaffing,Ukusebenza okupheleleko,Ingqesho esisigxina,Ukuqashwa ngokugcwele,Moomo ka botlalo,Kgiro ka botlalo,Mmereko o o feletseng; tiro e e feletseng,Kucashwa ngalokuphelele,Mushumonalo / phuphumo,Ntirho wa nkarhi hinkwawo
387,Full-time employee,"Employee (permanent, temporary or casual) who normally works the agreed hours for a full days work, or, if agreed hours do not apply, for at least 35 hours a week.",Labour ,Voltydse werknemer,Isisebenzi sesikhathi esipheleleko,Umqeshwa osisigxina,Oqashwe ngokugcwele,Moomi wa nako ka moka,Mohiruwa wa nako tsohle,Modiri/mothapiwa wa leruri,Umcashwa ngalokugcwele,Mushumi wa tshohe,Mutirhi wa nkarhi hinkwawo
388,Gross earnings,"Payments for ordinary-time, standard or agreed hours and over-time hours during the reference period for all permanent, temporary, casual, executive and managerial employers/employees before taxation and other deductions. Inclusions: Payments in kind to farming employees such as meals, rations and free housing, but excluding rations and bonuses to farming contractors and their employees.",Labour ,Bruto verdienste,Ingeniso epheleleko,Intlawulo esisambuku,Isamba somholo/igrosi,Ditseno ka kakareto,Moputso o sekolokoto,Dituelo pele ga ditloso,Sambakhulu seliholo,Mbuelogue,Miholo hinkwayo
389,Hours worked,"The total time spent producing goods and services, including overtime, during the reference period.",Labour ,Ure gewerk,Ama-awa/ama-iri asetjenziweko,Iiyure ezisetyenziweyo,Amahora asetshenziwe,Diiri teo di omilwego,Dihora tse sebeditsweng,Diura tse di dirilweng,Ema-awa lasetjentiwe,Awaratshumelwa,Tiawara leti tirhiweke
390,Income (company),"All money received from sales of goods, services rendered, mineral rights leases; rental of land, buildings and other structures, plant, machinery, and motor vehicles; interest and dividends, royalties, franchise fees, copyright, trade names and patens rights, government subsidies and incentives, net profit on foreign loans, profit from redemption, liquidation or revaluation of liabilities, profile from the sale of realisation for cash or revaluation.",Labour ,Inkomste (maatskappy),Ingeniso; imali (ikhamphani),Ingeniso (inkampani/ikhampani),Imali engenayo (enkampanini),Ditseno (ta khamphane),Lekeno ( khamphani),Lotseno (setlamo),Malingena,Mbuelo (khamphani),Mbuyelo (khamphani)
391,Income (individual),"All money received from salary, wages or own business; plus money benefits from employer, such as contributions to medical aid and pension funds; plus all money from other sources, such as additional work activities, remittances from family members living elsewhere, state pension or grant, other pensions or grants, income from investments, etc.",Labour ,Inkomste (individu),umvuzo (womuntu ngamunye),Umvuzo womntu (umntu ngamnye),Imali engenayo (yomuntu),Moputso (wa motho),Lekeno (motho),Lotseno (motho-ka-esi),Liholo,Mbuelo (mue),Mbuyelo (munhu)
392,Informal employment,It includes all persons in the informal sector. Employees in the formal sector and persons employed in private households who are NOT entitled to basic benefits such as pensions or medical aid are also included.,Labour ,Informele werkverskaffing,Umsebenzi ongakahleleki,isingxungxo,Ukuqashwa okungenazinsizakalo,Letogo,Mosebetsi o se nang dibenefiti/menyetla/melemo,Letogo / Tirotlhokatshiamelo / Sekoropo,Litoho,Mushumo zwawo / Tshikoropo,Ntholo wo ka wu nga ri wa ximfumo
393,Informal sector (Employment and Price),"The informal sector consists of those businesses that are not registered in any way. They are generally small in nature, and are seldom run from business premises. Instead, they are generally run from homes, street pavements and other informal arrangements.",Labour ,Informele sektor (Werkverskaffing en Pryse),Irhwebo elingakahleleki,Icandelo elingamiselwanga (iNgqesho namaXabiso),Umkhakha ongahlelelekile,Lefapa la go se be la semolao,Indasteri e seng molaong (kgiro le theko),Lephata le le sa tlhomamang,"Tipaza, emabhizinisi langakahleleki",Sia / sekithara tshayanzudzanywa (Mushumo na Mitengo),Xiyenge xo kala xi nga ri xa ximfumo (vuthoriwa na mixavo)
394,Job,"A job comprises filled posts. One person may have more than one job. The LFS asks additional questions of multiple jobholders to get information, at least, about their primary and secondary jobs. On the other hand, QES covers the number of employed persons in enterprises/establishments, which do not know whether their employees have other jobs. Aggregating figures on employed persons over firms measure jobs not persons. Social security records or tax registrations might be another way of showing the relation between jobs and persons (ILO and Stats SA).",Labour ,Betrekking,Umsebenzi,Umsebenzi,Umsebenzi,Moomo/ modiro/ mmereko,Mosebetsi,Tiro; mmereko,Umsebenti,Mushumo,Ntirho
395,Job-leaver,"Unemployed person who had a job, but does not have one anymore because of their own decision.
Examples of reasons:
 Pregnancy
 Family / community responsibilities
 Going to school
 Changed residence
 Retired
 Other reasons",Labour ,Werkverlater,Umthokozimsebenzi,umntu oyeke okanye oshiye umsebenzi,Abayeke umsebenzi,Baitokolla-moomong / Modirong / Mmerekong,Batho ba tlohelletseng mosebetsi,Batlogelatiro,Labayekele umsebenti,Muutshelamushumo / Mulitshamushumo,Mutshiki wa ntirho
396,Job-loser,"Unemployed person who had a job, but does not have one anymore because of reasons beyond their control.
Examples of reasons:
 Lost their job
 Their job had ended
 They were laid off
 The business in which they had previously worked had been sold or had closed down",Labour ,Werkverloorder,Abalahlekelwe msebenzi,olahlekelwe ngumsebenzi,Abalahlekelwe / Abaphelelwe umsebenzi,Balokollwa-moomong / Modirong / Mmerekong,Batho ba felletsweng ke mosebetsi,Balatlhegelwatiro,Labaphelelwe ngumsebenti / Labadendiwe / Bomahlalela,Muxelelwa nga mushumo / Mufhelelwa nga mushumo,Mulahlekeriwi hi ntirho
397,Labour absorption rate,The proportion of the working-age population that is employed.,Labour ,Arbeidsopnemingskoers,Isilinganiso sabantu abasebenzako,umlinganiselo wengqesho,Izinga labasebenzi lokuqashela,Kelo ya go thwala baomi,Karolo ya bahiruwa; sekgahla sa kgiro ya basebetsi,Kelo ya go thapa,Lizinga lekucashwa kwebantfu,Tshikalambalo ya vhashumi,Mpimo wa matholelo ya vatirhi
398,Labour accounts,"A statistical system of core variables on labour that consists of a set of tables providing a systematic and consistent overview, mutually and over time, of the core variables (ILO).",Labour ,Arbeidstate,Ama-akhawundi wezemisebenzi,Iimeko zeenkcukacha kwezemisebenzi,Imidanti yomisebenzi,Dikgoboko thupeto ta baomi,Diakhaonte tsa basebetsi,Mananeo a badiri,Ema-akhawunti etemisebenti,Mbalelano dza vhashumi / mushumo,Tinkota ta vatirhi
399,Labour cost,All the expenses incurred by the employer for a particular task to be completed (ILO).,Labour ,Arbeidskoste,Iindleko zomsebenzi,Indleko zomsebenzi,Izindleko zokusebenza,Ditshenyagalelo ta (mong) moomo,Ditjeo tsa basebetsi,Ditshenyegelo tsa tiro,Tindleko tetemisebenti,Tshinyalelo ya mushumo,Tihakelo ta vatirhi
