eng,afr,zul,xho,ssw,nbl,nso,tsn,sot,ven,tso
integrate,integreer,hlanganisa,-dibanisa,hlanganisa,-hlanganisa,"tlaletša, kopanya, hlakanya",kopanya,hokela, baḓekanya,-pfanganisa
integrity,integriteit,ubuqotho,ubulungisa,bucotfo,imikghwa,"bothakga, potego, botlalo",thokgamo,seriti, tshirunzi,vutshembeki
integrity,integriteit,ukuhlangana,ubulungisa,bucotfo,isithunzi,"bothakga, potego, botlalo",botlalo,boleng, vhudzivha,vutshembeki
intellect,intellek,ubuhlakani,ingqondo,ingcondvo,ingqondo,"kgopolo, tlhaologanyo, bohlale",botlhale,kelello, maano,vutlhari
intelligent,intelligent,okuhlakaniphileyo,-hlakaniphileyo,kuhlakanipha,-hlakaniphileko,"hlalefilego, hlalefa, bohlale, tsebišo",-botlhale,hlalefa, ṱalifha,wo tlhariha
intend,van voorneme wees,hlosa,-zimisela,hlosa,-hlosa,"ikemišetša, rera, gopola",ikaelela,ikemisetsa, ḓiimisela,- tsakela
intense,intens,okwendlulele,-nzulu,-shubile,-khulu,"tiilego, kgolo, maatla","-bogale, kitlaneng",a bohloko, kalulaho,xa matimba
intention,voorneme,injongo,injongo,inhloso,isifiso,maikemišetšo/phegelelo/kgopolo,maikaelelo,boikemisetso, ndivho,ntsakelo
interact,op mekaar inwerk,xhumana,-sebenzisana,chumana,-thintana,tsenelelo,dirisana,amana, tshilisana,-tirhisana
interact,saamwerk,bambisana,-sebenzisana,chumana,-tjhidela,tsenelelo,dirisana,sebedisana, shumisana,-tirhisana
interlude,tussenspel,ikhefu,umculo wekhefu,sikhatsi,ukuphumula,"tlhabelelogare, tlhabelelwanomokgahlo",tsenngwagare,kgefutso, vhuawelo,ku tshama nkarhinyana
intermediate,intermediêr,okumaphakathi,-ephakathi,sigaba lesisemkhatsini,-phakathi,"magareng, bogare",-bogare,mahareng, vhukati,ya le xikarhi
internal,interne,okungaphakathi,-engaphakathi,ngekhatsi,-ngaphakathi,"ka gare, ka teng",-teng,ka hare, nga ngomu,endzeni
interpret,interpreteer,qonda,-chaza,humusha,-zwisisa,"fetolela, toloka, hlatholla",tlhalosa,hlalosa, saukanya,-hlavutela
interpret,tolk,tolika,-tolika,humusha,-tologa,"fetolela, toloka, hlatholla","toloka, tšhomolola",toloka, ḓologa,-toloka
interrelate,verbind,hlobana,-alamana,chumanisa,-hlangana,"tswalano, kopano",golagana,amana, tshimbilelana,ku va ni vuxaka lebyikulu
interval,tydsverloop,ikhefu,isithuba,umkhatsi,ukuphumula,"sebaka, lebaka, paka",kgaotso,kgefutso, vhuawelo,nkarhi wo wisa
intervene,inmeng,ngenelela,-phazamisa,ngenelela,-bandakanya,"tsenagare, tsena ka gare, namola, lamola","tsereganya, tsena gare",itshunyatshunya, dzhenelela,-nghenelela
interview,onderhoud,inhlolokhono,udliwano -ndlebe,ingcongcoluhlolo,ukuhlunga,"poledišano, potšišano, rerišana",potsotherisano,puisano, inthaviwu,inthavhiyu
interview,onderhoud voer,hlola ikhono,-dlana -iindlebe,-enta ingcocoluhlolo,-hlunga,"boledišana, anega, anegela",tshwara therisano,puisano, inthaviwa,-inthavhiyuwa
intrinsic,wesenlike,okwendabuko,-eyemvelo,umongo,-khanyako,setlhago,-mmannete,ya moshwelella,tshiṱaluli,vangamo
intuition,intuïsie,ukutshelwa yigazi,ithuku,kuva ngenhlitiyo,ihliziyo,tsebo ka tlhago,"tshebogo, poneloteng",monahano, luvhudzi,mapfalo
inverse,omgekeerde,okuphikisanayo,-egqwethiweyo,kuphikisana,-phambeneko,"fetogilego, fapanego, hlanotšego",-fapaaneng,hanana, khanedza,lexi fularhelaka
investigate,ondersoek,phenya,-phanda,phenya,-hlola,"nyakišiša, sekaseka",batlisisa,batlisisa, sedzulusa,-lavisisa
invoke,aanhaal,vukuza,-khunga,sebentisa,-lawula,"rapela, lopa",dirisa jaaka lebaka,sebedisa, bvukulula,-tirhisa
involve,behels,faka,-bandakanya,bandzakanaya,-faka hlangana,"tsenya, akaretša, kopanya, hlakanya",akaretsa,kenyeletsa, amba,-katsa
isolate,isoleer,hlukanisa,-ahlukanisa,susa,-hlukanisa,"beela thoko, kgetha",kgaphela thoko,kgetholla, khetha,ku veka etlhelo
issue,vraagstuk,indaba,umba,ludzaba,indaba,"taba, kgang, phetho, tlhagišo",ntlhaphisegelo,taba, fhungo,mhaka
issue,uitgawe,ushicilelo,upapasho,i-athikili,ikhupho,"taba, kgang, tlhagišo",kgatiso,kgatiso, nyanḓadzwa,nkandziyiso
journal,tydskrif,ijenali,ijenali,ijenali,ijenali,"jenale, pukutšatši",kwalopaka,jenale, dzhenaḽa,jenala
journal,joernaal,ijenali,yemihla ngemihla,ijenali,ijenali,"jenale, pukutšatši",jenale,jenale, dzhenaḽa,jenala
judicial,geregtelike,okuqondene nomthetho,-enkundleni,temajaji,-komthetho,tsebokahlolo,-boatlhodi,ya molao, zwa mulayoni,swa xinawu
justify,staaf,vikela,-gwebela,niketa tizatfu,-fakazela,"lokafatša, tokafatša",emelela,nnetefatsa, imelela,-yimelela
label,etiket,ilebula,ilebhile,ilebuli,ileyibula,"leibolo, setlankana sa sešupo",leibole,tlhaloso,ḽeibuḽu,lebulo
label,etiketteer,nika ilebula,-phawula ngelebhile,"lebula, bhala",-nikela,"leibolo, setlankana sa sešupo",leibola,hlalosa, ḽeibuḽa,-lebela
launch,loods,yethula,-ndulula,tfula,-hloma,"thoma, thomiša","thankgolola, kgakola",kgakola,rwela ṱari,-simeka
layer,laag,uqweqwe,umaleko,lucwencwe,ilarha,"llaga, tlhatlagano","motlhatlhagano, llaga",molalella, luvhemba,rikoko
layer,laag,isilinganiso,ucamba,lucwencwe,ilarha,"llaga, tlhatlagano",maemo,karolo, nṱha,tlhelo
lecture,klasgee,fundisa,ukufundisa,fundzisa,-fundisa,"thuto, thutišo",tlhatlhelela,rupella, ḽekhitshara,-letela
lecture,lesing,isifundo,-fundisa,inkhulomisifundvo,ukufundisa,"thuto, thutišo",tlhatlhelelo,thupello, ḽekhitsha,ndzetelo
legal,wetlike,okusemthethweni,imfundiso,-emtsetfweni,-ngokomthetho,"ya molao, ka molao",-semolao,ya molao, mulayoni,xinawu
legal,wetlike,okomthetho,-eyomthetho,-semtsetfweni,-komthetho,"ya molao, ka molao",-semolao,ya molao, mulayoni,xinawu
legislation,wetgewing,umthetho,-enxulumene nomthetho,umtsetfo,umthetho,tlhakamolao,peomolao,melao, mulayo,nawu
legitimate,wettig,okufanele,uwiso -mthetho,-fanele,-ngokusemthethweni,"ya molao, ka molao",- ka fa molaong,e molaong,mulayoni,swa le nawini
limit,uiterste,umkhawulo,-esemthethweni,lizinga,umkhawulo,"kgaoletša, magomo",tekanyetso,moedi, mpimo,mpimo
limitation,beperking,umkhawulo,umda,umkhawulo,umkhawulo,"kgaoletšo, magomo",tekanyetso,moedi, mpimo,mpimo
list,lys,bala,umda,luhlu,-yenza irhelo,lenaneo,dira lenane,etsa lenane, mutevhe,-longoloxa
literal,letterlik,okunjalo,-dwelisa,bunjalo,-bizekako,ntšukantšu,-bokao jwa gale,wa motheo,tou ralo,ra ntwisiso wa masungulo ntsena
literate,geletterd,okufundile,-ngamagama,kwati kubhala nekufundza,-kghonako,go bala le go ngwala,-kgona go kwala le go buisa,ngola/bala, vhuvhalivhuṅwali,ku hlaya
locate,opspoor,thola,-ofundileyo,funa,-funa,bea,bona,thola, ṱala,-kuma
locate,geleë,beka,-fumana indawo,beka,-akha,bea,baya mo lefelong,beha, tea,ku kumeka
logic,logika,isizathu,-misela indawo,umcabango lohlelekile,umqondo,"kwagalago, kwešišo, tlhaologanyo",kakanyo,lebaka, ndivhombuya,malongolokelo
logic,logika,ukukwazi ukucabanga,inzululwazi yokuqiqa,kucabangisisa,ukucabanga,"kwagalago, kwešišo, tlhaologanyo",lojiki,mahlale a monahano, ḽodzhiki,malongolokelo
logical,logies,okunomqondo,-enobuchule bokuqiqa,ngalokuhlelekile,-zwakalako,"ka tlhaologanyo, ka tlhatlologanyo",-kgodisang,e utlwahala,ḽodzhiki,leyi landzelelanaka
magnitude,omvang,ububanzi,ubukhulu,bukhulu,ukuqakatheka,bogolo,bogolo,boholo, tshileme,vukulu
maintain,handhaaf,gcina,-gcina,gcina njalo,-gcina,"phepo, lota, boloka, kišopele","babalela, somarela",baballa, tengenedza,-hlayisa
maintain,volhou,phikelela,-xhasa,bambelela,-tjho,"phepo, lota, boloka, kišopele",femela ntlha,nnetefatsa, simesa,-tiyisisa
major,vername,okukhulu,-enkulu,-khulu,omkhulu,"kgolo, godilego",-golo,holo, -hulwane,"xa vukulukumba , -nkulu"
major,hoofvak,isifundo esisemqoka,isifundo esiyintloko,sifundvo lesikhulu,ikhetho,"kgolo, godilego",go ithuta jaaka serutwasegolo,dithuto tsa motheo, ngudokhulu,"xa vukulukumba , -nkulu"
manifest,openbaar,veza,-cacisa,khombisa,-bonisa,"bonagatša, bontšha, hlagiša",senola,itlhahisa, ḓivhonadza,tikombisaka
manipulate,manipuleer,lawula,-sebenzisa,khohlisa,-lawula,"swara, swaraswaradira ka bohlale",tlhotlheletsa,laola, kongona,-kucetela
manipulate,manipuleer,lawula,-enza ngobuchule,sebentisa,-lawula,"swara, swaraswaradira ka bohlale",laola,tataisa, vhanyuludza,-tirhisa
manual,handearbeid,okwezandla,-eyezandla,-sebenta ngetandla,-ngokwezandla,"mašupatsela, taetšo",-diatla,wa matsoho, zwanḓa,ntirho wa mavoko
manual,handleiding,ibhukwana,incwadi yokufundisa,imanywali,imanyuwali,"mašupatsela, taetšo",manyuale,bukana ya tataiso, manyuaḽa,manyuwali
margin,kantlyn,indawo esekupheleni,umda,umnyele,imajini,"morato, mollwane",molelwane,lehlakore, magumo,majini
margin,grens,abaphila kude,udini,makhishwa inyumbatana,umkhawulo,"morato, mollwane",baikgatolosiwa,kenyeletsweng, lumemeni,emphewukeni
margin for error,foutgrens,umkhawulo wephutha,umda wempazamo,umkhawulo weliphutsa,umbandela,"morato wa phošo, mollwane wa phošo",seelo sa tekanyetsophoso,monyetla,luṱhaṱheni,vangwa ra mhamba ra xihoxo
material,materiaal,impahla,into eyenziweyo,intfo,imethiriyali,matheriale,matheriale,thepa, matheriaḽa,matheriyali
material,wesenlike,impahla,-ephathekayo,intfo,-okutlhogekako,matheriale,-golaganeng le dithoto,"thepa, dintho", nzulele,matheriyali
matrix,matriks,imethriki,isibumbelo,indzabuko,ibhoduluko,"tswala, popelo, sebopelo",popelo,motheo, tsimuo,mbango
matrix,matriks,imethriki,ephakathi kweeseli,imathriksi,ukuhlelwa,"tswala, popelo, sebopelo",materikisi,metrikse, muhanga,foromo
mature,volwasse,osekukhulile,-fezekileyo,kukhula,-khulileko,"godile, budule, butšwitše",-godileng,ya hodileng, vhinaho,ntswatsi
mature,ontwikkel,khula,-fezekisa,tfutfuka,-khula,"godile, budule, butšwitše",gola,hola, vhina,-kula
maximum,maksimum,okukhulu,-elona likhulu,Lizinga lelikhulu,ubukhulu,"botlalokgolo, maksimamo",-palogodimo,boholo,fhelelaho,mpimohenhla
maximum,maksimum,ubuningi,elona nani liphezulu,Linani lelikhulu kakhulu,inengi,"botlalokgolo, maksimamo",palogodimo,boholo,fhelelaho,mpimohenhla
meaningful,betekenisvol,okuzwakalayo,-enentsingiselo,-akhako,-zwakalako,"kwagalago, kwešišo, tlhaologanyo",-nang le bokao,bohlokwa,vhuedzaho,leswi twalaka
mechanism,meganisme,umshini,intsebenzo -matshini,kusebenta kwemshini,isisetjenziswa,bomotšhene,karolo ya motšhini,mokgwa, zwipiḓamutshini,matirhelo
mediate,bemiddel,lamula,-lamla,ngena emkhatsini,-lamula,"namola, boelanya, namolela","tsereganya, ruanya",namola, dzudzanya,ku kondletela ntwanano
mediate,bemiddel,xhumanisa,ngenelela,catulula,-kghonakalisa,"namola, boelanya, namolela",dira kgonagalo ya,hlophisa, dzudzanya,ku kondletela ntwanano
medium,medium,indlela yokuxhumana,indlela yothungelwano,indlela,indlela,dirišwago,tsela ya tlhaeletsano,mokgwa, zhendedzi,xihundzisamahungu
mental,verstandelike,okomqondo,-eyenqondo,ingcondvo,-kwengqondo,"ya kgopolo, ya hlogo, ya monagano",-tlhaloganyo,ya kelello, maluvhi,swa miehleketo
method,metode,indlela,indlela,indlelanchubo,indlela,"mokgwa, tsela, thulaganyo",mokgwa,mokgwa, ngona,endlelo
methodology,metodologie,indlela,ulwazi -nkqubo,indlelanchubo,amarherho,"ka tsela, ka mokgwa, ka thulaganyo",thutatsela,mekgwa, ngona,maendlelo
migrate,migreer,fuduka,-fuduka,suka eveni lakho,-fuduka,"khuduga, huduga","fuduga, falala",falla, pfuluwa,-rhurha
minimal,minimaal,okuncanyana,-encinane,-ncane kakhulu,-ncani,bonnyane,-seelo se se kwa tlase,bonyane,  -ṱuku,mpimo lowutsongo
minimum,minimum,okuncane,ubuncinane,linani lelincane kakhulu,ubuncani,"minimamo, botlalogare",palotlase,bonyane, fhasisa,mpimotsongo
minimum,minimum,okuphansi,-encinane,linani lelincane,-ncani,"minimamo, botlalogare",-palotlase,bonyane,  -ṱukusa,mpimotsongo
minor,gering,okuncane,-omncinane,ncane,-mbalwa,"monnyane, nyane",-potlana,tse nyenyane,  -ṱuku,switsongo
mode,vorm,indlela yokwenza,indlela,indlela,indlela,"mokgwa, tsela, thulaganyo",mokgwa,mekgwa, nḓila,ndlela
modification,modifikasie,ukulungiswa,ukulungisa,silungiso,indlela,"phepolo, phokotšo",phetolo,phetoho, tshandululo,antswiso
modify,wysig,lungisa,-lungisa,ntjintja,-tjhugulula,"fefola, fokotša bogale, fetola",fetola,fetola, shandula,-antswisa
momentum,momentum,umgqigqo,amandla,umdlandla,ibelo,"gola, kgolo",maatla,sekgahla, vhuandeli,matimba
monitor,monitor,bheka,-ongamela,landzelela,-hlola,"lekola, hlahloba",tlhokomela,laola, lavhelesa,-landzelerisa
motivate,motiveer,gqugquzela,-phembelela,khutsata,-khuthaza,a bona,tlhotlheletsa, kgothatsa, ṱuṱuwedza,-hlohletela
motivate (South African usage only),"motiveer (hierdie betekenis word slegs in SA gebruik, andersins “staaf/regverdig”)",yesekela (elesiNgisi lisetshenziswa eNingizimu Afrika kuphela),-xhasa,sekela (kusetjentiswa eNingizimu Afrika kuphela),-khupha,fahlela,tlhalosa,tiisa, tikedza,-seketela
motivation,motivering,ugqozi,impembelelo,sikhutsati,isizathu,tlhohleletšo,lebaka,kgothatso, tshiitisi,nhlohletelo
motive,motief,isisusa,isizathu,inhloso,ihloso,"lebaka, kgapeletšo",boitlhomo,lebaka, ndivho,nsusumeto
mutual,wedersydse,okufanayo,ukufana macala,bubili,-nikelanako,"swana, kwana",-tshwanang,ka bobedi, ṱhaḓulano,vuxaka bya ntirhisano
myth,mite,insumansumane,intsomi,insimu,inganekwana,"bokgale, nonwane ya kgale",naane,tshomo, lungano,swikholwakholwa
myth,mite,amanga,ibali elingakholwekiyo,insimu,inolwana,"bokgale, nonwane ya kgale",magatwe,tshomo, lungano,swikholwakholwa
negate,negeer,yilwa,-ukuthi hayi,vimbela,-phikisa,"ganetša, latola",timola,hanana, thivhela,-heta
negate,ontken,phika,-khanyela,-nganaki,-jamisa,"ganetša, latola","ganetsa, latola",hanyetsa, hanedza,-herisiwa
network,netwerk,inethiwekhi,uthungelwano,inethiwekhi,ithungelelwano,"netweka, kopano ya go tsebana, tsebano",kgolagano,dikgokahano,tshigwada,vuhlanganisi
neutral,neutraal,okuphakathi nendawo,-engathath’icala,-semkhatsini,-ubuhlangothi,"kemelathoko, go se kgetholle",-sa tseyeng letlhakore,bohareng,vhuimakati ,le xikarhi
neutral,neutraal,okungalumeli,-ephakathi,-semkhatsini,-ngathathiko ihlangothi,"kemelathoko, go se kgetholle",-sa tseyeng letlhakore,mahareng, tshiimakati,le xikarhi
nevertheless,ondanks,naphezu kwalokho,-nangona kunjalo,nanoma kunjalo,-ngaphandle,le ge go le bjalo,le fa go ntse jalo,leha, na u ṱwa,hambiswiritano
niche,nis,isikhundla,umtyhi,umsebenti lofanele umuntfu,umsebenzi,"niche, tiro ye o e ratago",nontinyana,boitsebelo, vhukimvi,xiyimo lexi hetisekeke
nominate,nomineer,qoka,-misela,phakamisa,-khetha,kgetha,tlhagisa leina,thonya, ta,-langha
nonetheless,nieteenstaande,naphezu kwalokho,-nangona,nanoma kunjalo,-ngaphandle,le ge go le bjalo,le fa go le jalo,leha,  na u ṱwa,hambiswiritano
norm,norm,imvama,isithethe,inkhambiso,umukghwa,"kelo, selekanyo",tlwaelo,moedi wa tlwaelo, nḓowelo,xipimo xa mahanyelo
normal,normaal,okwejwayelekile,-qhelekileyo,-tayelekile,-jayelekileko,tlwaelo,-tlwaelegileng,tlwaeleha, teaho,tolovelekeke
noteworthy,noemenswaardig,okubalulekile,-balulekileyo,-fanele kunakwe,ukuqakatheka,"šetšego, tumišago",-tshwanelang go amogela kgatlhegelo,ikgetholla, khungamihumbulo,ringaneleke ku tekeriwa enhlokweni
notion,nosie,umqondo,ingcinga,umcondvo,umbono,"kgopolo, mogopolo",mogopolo,mohopolo, muhumbulo,miehleketo
notwithstanding,desondanks,naphezu kokuba,nangona,nanoma kunjalo,-ngaphandle,le ge go le bjalo,le fa go ntse jalo,ho sa natswe, zwi sa langwi nga,hambileswi
novel,eienaardig,okusha,-tsha,incalisakuvela,-rarako,e mpsha,mogopolo o mošwa,motjha, phandanyito,swa xiyimo xa le henhla
novel,roman,inoveli,inoveli,inoveli,inovela,padi,padi,pale, nganea,novhele
nuclear,kernkrag,okunenuzi,-esazulwini,lokusekhatsi,-bumbileko,nyuklea,-nyutlelia,"setsi , nucleus", nukiḽia,nyutliliya
nuclear,kernkrag,okwenuzi,-esembindini,bungekhatsi noma i-nuclear,-kwenyutla,nyuklea,-nyutlelia,ya setsi, ṅukiḽia,nyutliliya
objective,mikpunt,injongo,injongo,umgomo,umnqopho,"šele, maikemišetšo",maikaelelo,sepheo, tshipikwa,xikongomelotsongo
objective,objektief,okungavuni,-engaphembelelwa,kungavuni ccala,-nqophako,"šele, maikemišetšo",-kwa ntle ga boitebo,hlokang leeme, sa dzhia sia,ku nga tirhisi vonelo
objective,objektief,okungaphandle kwengqondo,-engaphembelelwa,-nganganyelwe nguleminye imicondvo,-nqophako,"šele, maikemišetšo",-kwa ntle ga tlhaloganyo,wa mehopolo, thendavhaṅwe,ku nga tirhisi vonelo
oblige,verplig,phoqa,-bopha,phocelela,-katelela,"gapeletša, holofetša, thuša",gapeletsa,qobella, vhofha,-boheka
observe,oplet,buka,-qwalasela,"bona, caphela",-bona,"bona, ela tlhoko, lemoga, hlokomela","ela tlhoko, lemoga",hlokomela, limuwa,-lemuka
observe,waarneem,phawula,-khankanya,"buka, caphela",-phakamisa,"bona, ela tlhoko, lemoga, hlokomela",tshwaela,eletsa, ṱahisa,-xiyaxiya
observe,nakom,gcina umthetho,-thobela,gcina,hlonipha,"bona, ela tlhoko, lemoga, hlokomela",obamela,hlompha, tevhedza,-xixima
obsolete,verouderd,okungasasetshenziswa,-phelelwe lixesha,phelelelwe sikhatsi,-ngasafunekiko,"onetšego, hlobogilwego, talafetšego",-onetse,tsofala, fhirelwa,ku nga ha pfuni nchumu
obtain,verkry,nikwa,-fumana,tfola,-thola,"bona, hwetša, humana",bona,fumana, wana,-kuma
obvious,ooglopend,okusobala,-cacileyo,kunjalo,-bonakalako,"pepeneneng, molaleng, bonagalago",-bonalang,totobala, khagala,mhaka leyi nga erivaleni
occupy,beslaan,thatha indawo,-hlala,tsatsa indzawo,-sebenzisa,"dula go, šomiša, diriša",dirisa sebaka,sebedisa, ḓadza,ku teka xivandla
occupy,beset,ngena endaweni,-ngena,hlala endzaweni,-ngena,"dula go, šomiša, diriša",nna,hapa, vhivhedza,ku tshama
occupy,beklee,bamba izintambo,sebenza,-iba sesikhundleni,-iba,"dula go, šomiša, diriša",nna le maemo,amohela,shuma,ku va kona
occur,kom voor,tholakala,-funyanwa,tfolakala,-tholakala,"hlaga, diragala",fitlhela,etsahala, wanala,ku va kona
occur,plaasvind,enzeka,-enzeka,enteka,-enzeka,"hlaga, diragala",direga,etsahala, itea,ku va kona
odd,ongeveer,okucishe,-evisayo,-nyenti,-pheleleko,"makatšang, segišang, gakgamatša",-mafeta,tse itseng, no hovhelela,leswi nga nyawuleki
odd,vreemd,okwehlukile,-engaqhelekanga,-ngatayeleki,-rarako,"makatšang, segišang, gakgamatša",-gakgamatsang,tlwaeleha, songo ḓowelwaho,swo huma endleleni
offset,teenwerk,gudlula,-linganisa,cedza,-phikisana,"lekanya, tekatekano",lekalekanya,fedisa, thivhela,-tsanisa
ongoing,voortdurend,okuqhubekayo,-qhubekayo,chubekako,-ragako,"direga gabjale, tšwelapele go direga",-tswelelang,tswelang pele, vhukati,leswi yisiwaka emahlweni
opinion,opinie,umbono,uluvo,umbono,imizwa,"kgopolo, mogopolo",mogopolo,maikutlo, mihumbulo,vonelo
option,opsie,into ekhethwayo,ukhetho,umkhakha,ikhetho,"kgetha, kgetho",boitlhophelo,kgetho, nḓila,xihlawuriwa
orientate,oriënteer,lungiselela,-ukuziqhelanisa,fundzisa,-jayezwa,"tlwaetša, tlwaelo",itlwaetsa,sekamela, ḓitshenzhedza,- tolovetisa
orientate,oriënteer,qondisa,-ukuqhelisa,condza,-bandulwa,"tlwaetša, tlwaelo",kgatlhegela,sekamela, livhisa,-tolovetisa
outcome,uitkoms,umphumela,isiphumo,umphumela,umphumela,"poelo, botšo, bofelo",poelo,ditlamorao/sephetho, mvelelo,mbuyelo
output,uitset,umsebenzi owenziwe,imveliso,umkhicito,umphumela,poelo,ntshetsontle,"tjhai, kuno", mveledzwa,xikumiwa
overall,algeheel,jikelele,-equlathe konke,-phelele,-koke,"ka moka, ka kakaretšo",-akaretsang,ka kakaretso, guṱe,eka hinkwaswo
overlap,oorvleueling,ukuxhumana,ungeno,lokwenela ngale,ukuqongelana,"lepelela, okamela, phara",tshwaragano,tshwano,vhupfukeli,nghenelelano
overlap,oorvleuel,ukwedlulana,-ngenana,-ecela ngale,-ngezeka,"lepelela, okamela, phara",fetelela,fetella, pfukelana,-nghenelela
panel,paneel,iphaneli,icangci,iphaneli,iphaneli,"phanele, sehlopha",panele,boto, phaneḽe,fureme
panel,paneel,iphaneli,isigqeba,iphaneli,iphaneli,"phanele, sehlopha",lekoko,moifo, phaneḽe,phanele
paradigm,paradigma,isibonelo,umzekelo wokwenene,ipharadayimu,izinga,"pharadimi, mmotlolo",sekao,mohlala, tsumbo,xikombisonkulu
paradigm,paradigma,imibono,iseti yemicamango,luhlelosimo,imibono,"pharadimi, mmotlolo",sete ya dikai,mohopolo, kuhumbulele,xiendlelo
parallel,parallel,okufanayo,-enxuseneyo,fanana,-fanako,"bapetšego, mogaranafase, bapatšago",-bapileng,tshwana, vhambelaho,ku vambhela
parenthesis,parentese,incazelo ekubakaki,isivakalisi esiphakathi kwesinye,tinchazelo,abokaki,"mašakanabora, kgaretšo, kageletšo",masakana,tlhaloso, pharenthyisi,xikhohlwa
participate,deelneem,bamba iqhaza,ukuthatha inxaxheba,hlanganyela,-bandakanya,"tšeakarolo, kgathatema",tsaya karolo,phehisa, dzhena,ku teka xiave
particular,besondere,okuthile,-ethile,ngco,-khudlwana,itšego,-rileng,e ikgethileng,fombelaho,xo karhi
partisan,guerrilla,umlweliwezwe,umxhasi wecala elithile,balandzeli,umsekeli,"leloko la mokgatlo, leloko la sehlopha","motshegetsi, kerila",motshehetsi, mufanalwo,rhavela
passive,passief,okuvumayo,-ngashukumiyo,-thulile,-amukelekako,"sa rego selo, ituletšego fela",-sa re sepe,fokola, aṱamelaho,lexi nga hanyanyangiki
passive,passief,impambosi yokwenziwa,ukwenzisa,kwentiwa,umenziwa,"tirwa, ledirwi",tirwa,boetsuwa, ḽiambwaitwa,nkalankongoma
pendulum,pendule,iphendulamu,ipendyulam,iphendulamu,itjhuguluko,"phendulamo, tekehli",teketlhi,sefetohi, dembutete,xidewuli
perceive,bespeur,"qonda, qonda",-bona,vani,-bona,"bona, lemoga, ela tlhoko",lemoga,utlwisisa, fhaṱutshela,-ehleketelela
period,periode,isikhathi,ixesha elithile,sikhatsi,isikhathi,"nako, paka",lobaka,nako, tshifhinga,nguva
period,tydperk,isikhathi,isigaba sexesha,sikhatsi,isikhathi,"nako, paka",paka,nako, musala,nguva
perpetual,voortdurend,okunganqamuki,-ngunaphakade,chubeke njalo,-ngapheliko,"neng le neng, sa feleng",-sa feleng,e sa feleng,sa fheli,mbhulo
perpetual,aanhoudend,okuqhubekayo,-engapheliyo,chubeke njalo,-buyelelweko,"neng le neng, sa feleng",mo go sa khutleng,ho ipheta, sa fheli,mbhulo
persist,volhard,phokophela,-zingisa,phikelela,-phikelela,"phegelela, kgotlelela, tiišetša",tatalala,phehella, simesa,-phikelela
persist,aanhou,qhubeka,-hlala ikho,phikelela,-raga,"phegelela, kgotlelela, tiišetša",tswelela,phehella, pikelela,-vuyelela
perspective,uitgangspunt,umbono,-zingisa,umbono,umbono,ponego,ntlhatebo,kutlwisiso, kuvhonele,matwisiselo
perspective,perspektief,isiqondiso,umbono,indlela,ubunjalo,ponego,go swetsa ka nepagalo,tlhokomelo, ngona,ndlela yo karhi ya matwisiselo
persuade,oorreed,nxenxa,cenga,gcugcutela,-rherha,"fenya ka polelo, kgona, kgodiša",tlhotlheletsa,qobella, ṱuṱuwedza,-kucetela
pertinent,toepaslik,okubalulekile,-ephathelele,fanele,-faneleko,"lokelago, swanetšego, swanelago",-tshwanelang,tshwaneleha, lumbamaho,leswi faneleke no khomeka
pervade,deurtrek,sabalala,-tyhutyha,ngcwala,-rhatjheka,"tlala, tsenelela",tlala,kubela,ṱanganya,-hangalaka
phase,fase,isigaba,isigaba,sigaba,isigaba,"boemo, kgato, tebego, bobono","paka, kgato",kgato, tshifhinga,xiyimo
phase,infaseer,faka,-enza ngenqam,faka,-faka,"boemo, kgato, tebego, bobono",rulaganyetsa ka tolamo,kentswe, endeledza,-susa
phenomenon ,verskynsel,isenzeko esiyisimanga,isenzeko ,intfo ,isehlakalo,ponagalo,tiragalo,ketsahalo , zwiitei,xihumelelo
philosophy,filosofie,ifilosofi,ifilosofi,injulolwati,ifilosofi,filosofi,filosofi,filosofi, fiḽosofi,filosofi
physical,fisies,okomzimba,-ebambekayo,ngekwemtimba,-komzimba,"sebopego, popego, fisiki",-mmele,tsa mmele, nungo,swa le mirini
pivotal,deurslaggewend,okusemqoka,eyesikhonkwane esijikelezwayo,balulekile,-qakathekileko,"bopinagare, botikologi",-botlhokwatlhokwa,ya bohlokwa, na ndeme,swa nkoka swinene
plagiarise,plagiaat pleeg,pulajiyarasa,-ukuba intetho ebhalwe ngomnye,kopa,-kopa,go kopa ka ntle le go laetša temogo,utswa sekwalo,kopitsa, tswela,ku tirhisa vuxokoxoko bya van'wana onge i bya wena
plot,intrige,ukuhleleka,isakhiwo sebali,sibekandzaba,isakhiwo,"peakanyo, leano, bolotšana, setsha",poloto,poloto, puloto,kungu
pole,pool,ipali,incam yomhlaba,luhlangotsi,umbono,pala,mogopolo o o kgatlhanong,mahlakore, phambana,tlhelo
policy,beleid,inqubomgomo,umgaqo -nkqubo,inchubomgomo,umgomo,pholisi,pholisi,leano, phoḽisi,pholisi
portion,gedeelte,ingxenye,isahlulo,incenye,ingcenye,"karolo, kabelo",karolo,karolo, tshipiḓa,xiphemu
portion,verdeel,hlukanisa,-ahlulela,hlukanisa,-hlukanisa,"karol, kabelo",kgaoganya,arolela, kovhela,-ava
portray,uitbeeld,chaza,-zoba,khombisa,-veza,swantšha,tlhalosa,ipontsha,ḓiola,-tivonakarisa
